target sbox:
0xD1, 0x9F, 0xDB, 0xF3, 0x20, 0xE2, 0x1C, 0x6F, 0xBB, 0xA7, 0xA5, 0x99, 0x7E, 0x73, 0x0F, 0x0E, 
0xB3, 0xB7, 0x33, 0xE3, 0x65, 0x95, 0x8C, 0xB2, 0xC4, 0xA9, 0x48, 0xFD, 0x14, 0x45, 0xDE, 0x83, 
0xEF, 0xEA, 0x42, 0xB0, 0x6E, 0x24, 0x66, 0x97, 0x02, 0x2F, 0x84, 0x3C, 0x6B, 0x30, 0x8E, 0xFB, 
0xFA, 0x00, 0xAF, 0xB4, 0x41, 0x63, 0x08, 0x2E, 0x9D, 0x4C, 0x13, 0xFC, 0xCF, 0xFF, 0x75, 0xA8, 
0x3A, 0xBD, 0x78, 0xED, 0x5B, 0x04, 0x96, 0x58, 0x85, 0xCE, 0xE7, 0x05, 0xD6, 0xDA, 0x6C, 0xBF, 
0x51, 0x06, 0xA0, 0xE1, 0x7D, 0xD9, 0x4B, 0x74, 0xC1, 0xAE, 0x81, 0x44, 0xAD, 0x4E, 0x23, 0x60, 
0xC6, 0x01, 0xD4, 0xF1, 0x50, 0xDF, 0x43, 0x64, 0x29, 0xC7, 0x0C, 0xF7, 0xE0, 0xC0, 0x8F, 0x1F, 
0x37, 0x69, 0xD7, 0x03, 0x79, 0x7B, 0xE6, 0x1D, 0xEE, 0xF2, 0x6D, 0xF0, 0xAA, 0x9A, 0x38, 0x25, 
0xEB, 0x18, 0x9B, 0x53, 0xB9, 0xB8, 0x86, 0x68, 0x0B, 0x07, 0x4F, 0xAB, 0x7A, 0xE5, 0x52, 0xDC, 
0xC9, 0x46, 0x80, 0x55, 0x7C, 0x5D, 0x19, 0xDD, 0x0A, 0xF8, 0x3E, 0xB6, 0x5F, 0xD2, 0xC2, 0x8B, 
0x10, 0x5E, 0xD3, 0xF4, 0xBC, 0x11, 0x2C, 0x0D, 0xF6, 0x34, 0xC3, 0x3D, 0xC8, 0x98, 0xD0, 0x89, 
0xCA, 0x16, 0xA2, 0x28, 0x27, 0x9C, 0x76, 0x36, 0xEC, 0x77, 0x8D, 0x32, 0x1B, 0x87, 0xCD, 0x56, 
0xB5, 0xAC, 0x91, 0x40, 0xCB, 0x9E, 0xF9, 0x4A, 0x72, 0x1A, 0x93, 0x94, 0x8A, 0x3B, 0x35, 0xB1, 
0x7F, 0x2D, 0x70, 0x88, 0x15, 0x2A, 0x82, 0x92, 0x90, 0xFE, 0xE4, 0xCC, 0xA1, 0x5A, 0x2B, 0x57, 
0xD5, 0x71, 0x09, 0x6A, 0xBE, 0x3F, 0x22, 0xC5, 0x4D, 0x39, 0x49, 0x26, 0x47, 0x67, 0xA3, 0x5C, 
0x61, 0x1E, 0x31, 0xE8, 0xF5, 0x59, 0x21, 0xD8, 0xA6, 0xBA, 0xE9, 0x62, 0x17, 0x54, 0x12, 0xA4, 
NL=104
