target sbox:
0x71, 0xEE, 0xD0, 0xE5, 0x0B, 0x40, 0x48, 0x8E, 0xCF, 0xDE, 0x5D, 0x41, 0xDC, 0x9A, 0xE0, 0xF5, 
0x83, 0x4F, 0x61, 0xAE, 0xEF, 0xD7, 0xE2, 0xC8, 0xFC, 0x3F, 0x10, 0x78, 0xEA, 0xB1, 0x28, 0x50, 
0x33, 0xFA, 0x55, 0x42, 0xAF, 0xC0, 0x6E, 0x24, 0xCE, 0x99, 0xB8, 0x1F, 0x9D, 0x7E, 0x63, 0x46, 
0x95, 0x94, 0x25, 0xDD, 0x59, 0x1D, 0x9E, 0xA2, 0x4B, 0x39, 0x92, 0x4A, 0x3C, 0x9B, 0x3A, 0x7A, 
0x12, 0x21, 0x5E, 0xF0, 0xE9, 0xDB, 0x52, 0x2E, 0xBD, 0x44, 0x15, 0xAC, 0x65, 0xAD, 0xA1, 0xA3, 
0xED, 0xB4, 0x7B, 0x29, 0x17, 0xCA, 0x2F, 0x3D, 0x4E, 0x97, 0x57, 0xF1, 0xF3, 0xBE, 0xD5, 0x0F, 
0x8D, 0xEC, 0x34, 0x96, 0xD1, 0xD2, 0x87, 0xD6, 0xEB, 0x38, 0x4D, 0xFF, 0xF8, 0xB6, 0x02, 0x16, 
0x82, 0x0A, 0xA5, 0x13, 0xBC, 0x68, 0x1B, 0xB2, 0xA4, 0xB3, 0xA6, 0x2D, 0x49, 0x53, 0x0E, 0x27, 
0x62, 0x36, 0x88, 0x2B, 0x8A, 0x86, 0xA8, 0x1E, 0xE4, 0x00, 0xF6, 0x3B, 0x30, 0x76, 0x6B, 0x5F, 
0x7C, 0x22, 0x5A, 0x06, 0x89, 0x11, 0xC7, 0xE8, 0xC5, 0xD8, 0x2C, 0xC4, 0xB9, 0xBF, 0xE3, 0x1A, 
0x70, 0x05, 0x75, 0x45, 0x93, 0xC1, 0xE7, 0x85, 0x9C, 0x91, 0xAB, 0xCD, 0xBB, 0xBA, 0xFE, 0x8C, 
0x23, 0x6C, 0xB7, 0x8B, 0x37, 0x51, 0xE1, 0x31, 0xC2, 0x26, 0xD3, 0x5C, 0x19, 0xCB, 0xB5, 0x81, 
0x73, 0x90, 0x03, 0xF2, 0x6A, 0xAA, 0x69, 0xB0, 0x09, 0xDF, 0x0C, 0x47, 0xDA, 0xF9, 0x04, 0x2A, 
0xC9, 0x7D, 0x4C, 0x14, 0xC6, 0x35, 0x0D, 0xE6, 0x18, 0x54, 0x98, 0x72, 0x07, 0x84, 0x56, 0xFD, 
0x3E, 0x60, 0x32, 0xD9, 0x20, 0x1C, 0xC3, 0x08, 0xA7, 0x80, 0x01, 0x8F, 0x58, 0x74, 0xA0, 0xF4, 
0xFB, 0xA9, 0x6F, 0x79, 0x7F, 0x9F, 0xCC, 0x77, 0xF7, 0x64, 0xD4, 0x6D, 0x67, 0x43, 0x66, 0x5B, 
NL=104
