target sbox:
0x55, 0xF6, 0xDA, 0x59, 0xDD, 0xC0, 0x33, 0x5D, 0x9C, 0x42, 0x31, 0xD2, 0x70, 0xBF, 0x5F, 0x37, 
0x6F, 0x63, 0x65, 0x7B, 0x8D, 0x5A, 0x41, 0x85, 0xCE, 0xC3, 0x62, 0x8A, 0x3A, 0x2B, 0x35, 0xC5, 
0x7C, 0x2D, 0xF7, 0x94, 0x02, 0xD4, 0xED, 0x00, 0x2C, 0x28, 0xC7, 0xDC, 0x30, 0xCB, 0x87, 0x80, 
0xA7, 0x9F, 0xE6, 0xE0, 0x0E, 0x36, 0x32, 0x40, 0x79, 0x4D, 0xF0, 0x48, 0x7D, 0x74, 0xD6, 0x93, 
0xFB, 0x8F, 0xCC, 0xB4, 0x57, 0x18, 0xD5, 0x76, 0xBE, 0x43, 0x56, 0xF9, 0x5E, 0xE8, 0xAA, 0x73, 
0xDF, 0x13, 0xB6, 0x6D, 0xBA, 0x61, 0x47, 0xF1, 0x05, 0xCD, 0x53, 0x4B, 0x25, 0xEB, 0xEF, 0x06, 
0xAE, 0x39, 0xDE, 0xA2, 0x8E, 0xA6, 0x19, 0x51, 0x3F, 0x12, 0x0A, 0xA3, 0x64, 0xB7, 0xE2, 0x3B, 
0x2E, 0xD1, 0xF2, 0xBD, 0x75, 0xCA, 0x89, 0x20, 0x1C, 0x50, 0xDB, 0x24, 0x78, 0x2A, 0x9E, 0x5C, 
0xF3, 0x03, 0xFF, 0xF8, 0xB1, 0x82, 0xAF, 0xC8, 0x90, 0x3E, 0xC2, 0xAB, 0x22, 0x81, 0xA5, 0xD3, 
0x07, 0x68, 0xB9, 0x58, 0x38, 0x66, 0x86, 0xB5, 0xE4, 0x10, 0x1F, 0xE5, 0x11, 0x4C, 0xB0, 0xC9, 
0x6A, 0x0D, 0xD0, 0x0F, 0x15, 0x1A, 0xAC, 0x45, 0x17, 0x7F, 0x14, 0x7A, 0xEE, 0x4E, 0xEA, 0xE1, 
0x4A, 0x26, 0x8C, 0xD8, 0x21, 0xA0, 0xA1, 0x9B, 0x27, 0x84, 0x29, 0x8B, 0x91, 0xE7, 0x99, 0x6C, 
0xA9, 0x49, 0x67, 0x5B, 0xA4, 0x60, 0xC6, 0x4F, 0x34, 0xE9, 0x1E, 0x54, 0x3C, 0x3D, 0x69, 0x88, 
0x9D, 0x09, 0xF4, 0x46, 0xFD, 0xF5, 0x0C, 0x08, 0xC1, 0xB8, 0x23, 0x96, 0xE3, 0x6B, 0xA8, 0x01, 
0xEC, 0xD9, 0x44, 0x1D, 0x9A, 0x95, 0xC4, 0x0B, 0x52, 0xD7, 0x77, 0xFA, 0x16, 0xB3, 0x2F, 0xB2, 
0x7E, 0x1B, 0x04, 0xBB, 0x72, 0x97, 0x71, 0xFC, 0x92, 0x98, 0x83, 0xCF, 0xBC, 0xAD, 0x6E, 0xFE, 
NL=104
