target sbox:
0x58, 0x49, 0x15, 0x47, 0xB6, 0x03, 0x76, 0xC5, 0x46, 0xF0, 0x5A, 0x8A, 0x24, 0x4E, 0x71, 0x42, 
0x0A, 0xA5, 0xE1, 0xB5, 0x32, 0xED, 0x1E, 0x83, 0x27, 0x48, 0x9E, 0x68, 0x6B, 0x12, 0xFE, 0xB8, 
0xCB, 0x7F, 0x94, 0xF6, 0xE6, 0x23, 0x69, 0x1F, 0x19, 0xA9, 0x67, 0x34, 0x9F, 0x45, 0xDA, 0x8C, 
0xAD, 0x91, 0x72, 0x09, 0x63, 0x65, 0x22, 0x2C, 0x6A, 0xA7, 0x2E, 0x43, 0x6E, 0xD3, 0x60, 0x2A, 
0xE7, 0xDE, 0x85, 0x2F, 0x50, 0xD9, 0x75, 0xEC, 0x7E, 0x9B, 0x54, 0xA8, 0x38, 0xC7, 0x01, 0x39, 
0xA0, 0xD6, 0xA2, 0xC2, 0x4B, 0xE8, 0x17, 0x77, 0x81, 0xBF, 0x4D, 0x29, 0x02, 0xFF, 0xBA, 0xD8, 
0x21, 0xB7, 0xB1, 0xF4, 0x37, 0x16, 0x11, 0x88, 0xAB, 0x4C, 0x86, 0x99, 0xC0, 0xFB, 0x51, 0x30, 
0xDF, 0x08, 0x52, 0x2D, 0xA6, 0xD2, 0xB3, 0xF7, 0x2B, 0xC1, 0xEE, 0xB2, 0x6C, 0xB0, 0x5C, 0x33, 
0x5F, 0x25, 0x00, 0xEB, 0xD7, 0xE9, 0xB9, 0xDC, 0x1A, 0x40, 0xD0, 0x74, 0xB4, 0xC9, 0xDB, 0xD1, 
0x3F, 0xF8, 0x90, 0x44, 0x78, 0xFA, 0x9A, 0x4F, 0xC8, 0x5E, 0x98, 0x14, 0x66, 0xBD, 0x55, 0x28, 
0x6D, 0x06, 0xEA, 0x61, 0x95, 0xCE, 0xA3, 0xF2, 0x80, 0x05, 0x8E, 0xBB, 0x56, 0x62, 0xDD, 0x6F, 
0x3C, 0x84, 0x3E, 0xE2, 0xE3, 0x1C, 0x18, 0x7B, 0x13, 0x93, 0x10, 0x3D, 0x8B, 0x70, 0xFC, 0x3B, 
0x87, 0x7D, 0x35, 0x5D, 0xE4, 0xEF, 0x57, 0x8F, 0x7C, 0x9D, 0xAE, 0xBE, 0xC6, 0x0B, 0x92, 0xC3, 
0x0E, 0x7A, 0x79, 0x82, 0x59, 0x26, 0xF5, 0xCA, 0x41, 0xE5, 0x0D, 0xF3, 0xBC, 0xAC, 0x0F, 0x5B, 
0x96, 0xF1, 0xA4, 0xAF, 0xCC, 0xE0, 0xC4, 0x36, 0x8D, 0x97, 0x20, 0xA1, 0x1D, 0x9C, 0xF9, 0xCF, 
0x04, 0x0C, 0x1B, 0xD4, 0x64, 0x4A, 0xAA, 0x89, 0x73, 0xD5, 0x53, 0xFD, 0x3A, 0xCD, 0x31, 0x07, 
NL=104
