target sbox:
0x04, 0x5F, 0x76, 0xEA, 0x29, 0x0D, 0x64, 0xB7, 0xE7, 0xA3, 0x5A, 0x2B, 0x4B, 0x62, 0xF8, 0xBC, 
0x8E, 0x98, 0x90, 0xD9, 0x22, 0xFA, 0x99, 0x3B, 0x3C, 0xEC, 0xA7, 0x0B, 0xCF, 0x79, 0x6C, 0x02, 
0xC1, 0xE0, 0x5C, 0xFD, 0x13, 0x58, 0xC9, 0x48, 0xA6, 0xBA, 0x11, 0x9C, 0xF7, 0x70, 0x21, 0x91, 
0x73, 0x44, 0x26, 0xFB, 0x83, 0x9E, 0x5E, 0x5D, 0x6E, 0x8C, 0xF4, 0xDF, 0x82, 0xAC, 0x34, 0x3F, 
0x66, 0x35, 0xD0, 0x1A, 0xE8, 0x4C, 0x18, 0x0C, 0x53, 0x7D, 0xFF, 0x84, 0xF1, 0x16, 0xBF, 0x23, 
0x3E, 0x65, 0x6B, 0xEF, 0x01, 0xAB, 0x68, 0x8A, 0xEE, 0x28, 0x12, 0x60, 0xE5, 0x93, 0xB4, 0x17, 
0xAF, 0xD5, 0x89, 0xD8, 0xA9, 0x96, 0xD4, 0xB3, 0xC6, 0x05, 0xB2, 0x37, 0xF6, 0x2E, 0x95, 0xC7, 
0xF0, 0xA1, 0xAE, 0x00, 0xCE, 0xB8, 0x63, 0x69, 0xCD, 0x0F, 0x42, 0xDB, 0xCC, 0xC5, 0xAA, 0x14, 
0x40, 0x3A, 0xB0, 0xE2, 0xE1, 0xFE, 0xF2, 0xE3, 0x75, 0x3D, 0x43, 0x8F, 0x06, 0xA0, 0xD2, 0x80, 
0xDD, 0x2D, 0xC0, 0x1C, 0x10, 0x41, 0xB1, 0x94, 0x8D, 0xC2, 0xF9, 0xAD, 0x97, 0x36, 0x31, 0x9A, 
0x1B, 0x4D, 0x4A, 0x45, 0xA5, 0x19, 0x0A, 0x57, 0x7E, 0xA2, 0xF3, 0x39, 0x0E, 0xB9, 0xCB, 0x07, 
0x09, 0x56, 0x20, 0x2F, 0x1F, 0x47, 0x71, 0xB6, 0xBB, 0x49, 0xCA, 0xEB, 0x9B, 0x9F, 0x08, 0x38, 
0x7A, 0xBD, 0xE6, 0x24, 0xE4, 0x33, 0xBE, 0x4E, 0xED, 0xD7, 0xE9, 0x4F, 0xDE, 0x32, 0x88, 0x50, 
0x86, 0x74, 0x61, 0x1D, 0x6D, 0x51, 0xC4, 0x5B, 0x77, 0x9D, 0xF5, 0xC8, 0x03, 0xFC, 0x92, 0x59, 
0x2A, 0xA8, 0x78, 0x6F, 0x54, 0x7F, 0xD3, 0x27, 0x67, 0x46, 0x30, 0xC3, 0x7B, 0x85, 0x81, 0x87, 
0xD6, 0xDA, 0x1E, 0xDC, 0x55, 0x2C, 0x8B, 0xB5, 0x6A, 0xA4, 0x72, 0x15, 0x25, 0x52, 0xD1, 0x7C, 
NL=104
