target sbox:
0x84, 0xD2, 0xB2, 0x6A, 0x7B, 0xCF, 0x7D, 0x9B, 0x42, 0xE4, 0x57, 0xC6, 0x61, 0xFB, 0x7F, 0x4F, 
0x59, 0x1B, 0xAA, 0x2F, 0xB3, 0x05, 0x92, 0x9C, 0x3B, 0xB1, 0x65, 0x20, 0x09, 0x0D, 0xDF, 0xAD, 
0x80, 0xF9, 0x8B, 0xA4, 0xD8, 0x8A, 0x2D, 0xC5, 0x21, 0xFF, 0xEA, 0xBD, 0x88, 0xD6, 0x3F, 0x75, 
0xEC, 0xB9, 0x96, 0x31, 0x49, 0x5A, 0x12, 0xAF, 0x3C, 0x3A, 0xB4, 0x73, 0x03, 0xEF, 0x50, 0xA6, 
0x81, 0x26, 0x83, 0x6F, 0x58, 0x94, 0xDB, 0x8C, 0x01, 0xC2, 0xE8, 0x2C, 0x97, 0xAE, 0xA5, 0xCD, 
0x9E, 0x33, 0x69, 0xE7, 0x0F, 0x1A, 0x79, 0x63, 0xE9, 0xC3, 0xC4, 0xA2, 0xFA, 0xCC, 0x8E, 0x62, 
0x9D, 0xF3, 0xA3, 0x35, 0x55, 0x6B, 0x5F, 0x07, 0x8F, 0x1F, 0x14, 0x00, 0x5E, 0x6C, 0x1C, 0xBF, 
0x13, 0x7A, 0x24, 0x74, 0xB5, 0xBB, 0x15, 0x72, 0xD4, 0xBC, 0x54, 0xB6, 0xC0, 0xFD, 0x71, 0x56, 
0x87, 0x32, 0x66, 0x37, 0xF6, 0xD0, 0x36, 0x4E, 0xED, 0x4D, 0x0C, 0x0E, 0x85, 0x10, 0x95, 0xD3, 
0x70, 0x04, 0xDC, 0x93, 0x51, 0x4B, 0xCE, 0x2B, 0xBA, 0x7E, 0xA0, 0xB0, 0x38, 0xA7, 0x9A, 0x98, 
0x1E, 0x18, 0x5D, 0xFC, 0x9F, 0x0B, 0xF5, 0xE5, 0x86, 0x02, 0x99, 0x48, 0x52, 0xB7, 0x89, 0x3E, 
0xCB, 0xC8, 0x8D, 0x39, 0x23, 0x0A, 0x68, 0xB8, 0xEE, 0x2E, 0xA1, 0xDA, 0x34, 0xD5, 0xBE, 0x43, 
0x17, 0x78, 0x7C, 0x76, 0xE1, 0xA9, 0xD9, 0xD7, 0x91, 0xAB, 0x28, 0xDE, 0x5C, 0xE3, 0x11, 0x6E, 
0xF0, 0xD1, 0x60, 0x1D, 0x41, 0xE6, 0x40, 0x6D, 0xDD, 0xF7, 0x82, 0x06, 0xE0, 0x53, 0xC9, 0x45, 
0x5B, 0x90, 0x19, 0xF4, 0xEB, 0xA8, 0x67, 0x3D, 0x47, 0xF2, 0xF1, 0x77, 0x44, 0xCA, 0xC7, 0xF8, 
0x4C, 0x30, 0x29, 0x2A, 0x46, 0xAC, 0x25, 0x4A, 0xE2, 0x27, 0xFE, 0x16, 0x64, 0x22, 0x08, 0xC1, 
NL=104
