target sbox:
0xC7, 0x47, 0xD8, 0x9A, 0x83, 0x90, 0xEC, 0xBE, 0xDB, 0x6F, 0xFE, 0x31, 0x7D, 0xFB, 0x18, 0xF6, 
0x4F, 0xB5, 0x35, 0xDC, 0x13, 0xA3, 0x33, 0x40, 0x0F, 0x53, 0x96, 0x6E, 0x34, 0x95, 0xD1, 0x7C, 
0x85, 0xD4, 0x8B, 0x94, 0x24, 0xB1, 0x54, 0x58, 0xE6, 0x0A, 0x45, 0x5E, 0x7A, 0x84, 0xCF, 0x87, 
0xE1, 0x81, 0x9C, 0x57, 0x8F, 0x5B, 0xB7, 0x01, 0x42, 0xCC, 0xDF, 0xD7, 0xE8, 0xFC, 0x65, 0x60, 
0x1D, 0xDA, 0xAB, 0x14, 0x3E, 0xE3, 0xCD, 0xEB, 0x70, 0xE9, 0xE5, 0x6B, 0x23, 0x2E, 0xF4, 0x26, 
0xD2, 0x1C, 0x0B, 0x0D, 0x41, 0x67, 0x36, 0xC6, 0xB8, 0x66, 0xB2, 0x89, 0x71, 0xBF, 0x99, 0xCA, 
0x3A, 0x64, 0x48, 0xF2, 0x3C, 0xB4, 0xC2, 0x19, 0x04, 0xDE, 0xE0, 0xB0, 0x7B, 0x55, 0xA5, 0xCE, 
0x8E, 0x7F, 0x02, 0x52, 0xC4, 0x4E, 0x5A, 0x39, 0x4B, 0xAE, 0x4D, 0x50, 0x59, 0x9E, 0xA9, 0x3D, 
0x5C, 0x4C, 0x43, 0xCB, 0x69, 0xC8, 0xBA, 0x80, 0x79, 0x88, 0xBC, 0x74, 0x7E, 0x1E, 0xA2, 0x77, 
0xAD, 0xAF, 0x25, 0xBB, 0x20, 0x15, 0x3B, 0xA4, 0xA0, 0x76, 0x05, 0x32, 0x1B, 0x8A, 0x5F, 0x68, 
0x12, 0xC5, 0xF3, 0x49, 0xAC, 0x0E, 0x6C, 0xA6, 0x27, 0x56, 0x11, 0x17, 0x75, 0xA8, 0x30, 0xD3, 
0xA1, 0x93, 0x6D, 0x9D, 0xC1, 0xEA, 0xFD, 0xD5, 0xF1, 0x92, 0x28, 0xF9, 0x8D, 0xEF, 0x21, 0xAA, 
0xFA, 0x37, 0xEE, 0x61, 0x98, 0xD0, 0xB6, 0xD9, 0xD6, 0xFF, 0x72, 0x08, 0xC3, 0x03, 0x62, 0x91, 
0x2C, 0x1A, 0x07, 0x46, 0x73, 0xE7, 0x5D, 0x1F, 0x63, 0xC0, 0x2A, 0x38, 0xDD, 0x2F, 0xF7, 0xF0, 
0x00, 0xF8, 0x0C, 0x3F, 0x2B, 0xBD, 0xE4, 0x9F, 0x9B, 0xED, 0xC9, 0x86, 0x16, 0x6A, 0xB3, 0x06, 
0x09, 0x97, 0xE2, 0x10, 0xA7, 0xB9, 0xF5, 0x51, 0x8C, 0x29, 0x44, 0x82, 0x78, 0x22, 0x4A, 0x2D, 
NL=104
