target sbox:
0x16, 0xB3, 0x82, 0xEE, 0x4E, 0x10, 0x26, 0x06, 0x6D, 0xB2, 0xD1, 0x4A, 0x60, 0x12, 0xB0, 0xE0, 
0xC1, 0xA8, 0x0C, 0x07, 0x32, 0x05, 0x19, 0xF4, 0x00, 0xB4, 0xA9, 0x14, 0xF8, 0x3C, 0xA7, 0x9E, 
0x57, 0x8B, 0xDF, 0xF7, 0xBB, 0xAB, 0x68, 0xAE, 0xC8, 0x03, 0xED, 0x3D, 0x8E, 0x2E, 0x29, 0x4D, 
0x81, 0xAF, 0xB9, 0x67, 0xE6, 0x17, 0x93, 0x77, 0x13, 0x74, 0x76, 0xE2, 0xAA, 0x09, 0x43, 0x5C, 
0xA4, 0x5D, 0xAD, 0x73, 0x5E, 0xDC, 0xC4, 0x8F, 0x28, 0xD4, 0x1C, 0xBA, 0xC0, 0xEB, 0x7F, 0xD5, 
0x9C, 0xEC, 0x83, 0x94, 0x47, 0x6C, 0x8D, 0xD7, 0x7C, 0xC9, 0x0D, 0xD6, 0x1D, 0xCE, 0xE7, 0xA5, 
0x59, 0x9B, 0x33, 0x1A, 0x0F, 0x55, 0xB6, 0x54, 0x08, 0x95, 0xCC, 0x53, 0x4F, 0x5A, 0xFE, 0x50, 
0xC3, 0x48, 0x01, 0x2C, 0x25, 0x61, 0x69, 0x6E, 0x58, 0x85, 0xCD, 0x34, 0xFB, 0x3A, 0xFF, 0x52, 
0x92, 0xBE, 0x7D, 0xF3, 0x63, 0x89, 0x0B, 0xA2, 0x3E, 0xCA, 0x41, 0x38, 0xD9, 0x11, 0x62, 0xB1, 
0x87, 0xDB, 0xC2, 0xB7, 0x18, 0xD3, 0x22, 0xEA, 0xBF, 0xF1, 0x1B, 0x1F, 0xF6, 0xCB, 0x39, 0x65, 
0x6F, 0x40, 0xB5, 0xE5, 0x35, 0x5F, 0x27, 0x96, 0xF0, 0x99, 0xD8, 0x2B, 0x6A, 0xF9, 0xBC, 0xE3, 
0x8C, 0x37, 0x42, 0xBD, 0xC7, 0xAC, 0xD2, 0x20, 0xB8, 0x71, 0x9D, 0x2A, 0x04, 0x72, 0x75, 0xE9, 
0x7E, 0x23, 0x2D, 0xE1, 0xDA, 0x1E, 0xDD, 0x51, 0xA1, 0x24, 0x7A, 0x98, 0xF5, 0x86, 0x3F, 0x02, 
0x49, 0x56, 0xA0, 0x15, 0x97, 0x9F, 0x64, 0xA6, 0x70, 0x21, 0xD0, 0x30, 0xCF, 0x79, 0xFC, 0xF2, 
0x6B, 0x88, 0x90, 0xEF, 0x7B, 0x31, 0x4B, 0x9A, 0x78, 0x46, 0x91, 0x8A, 0x80, 0xC6, 0x5B, 0xFA, 
0xC5, 0x36, 0xE4, 0xFD, 0x4C, 0x0A, 0x2F, 0x0E, 0xA3, 0x84, 0x44, 0x45, 0xDE, 0xE8, 0x66, 0x3B, 
NL=104
