target sbox:
0x10, 0x54, 0x19, 0xAA, 0xC1, 0x6E, 0x1C, 0x3D, 0xA8, 0xA2, 0xB4, 0xBE, 0x1E, 0x9B, 0x08, 0xE0, 
0xC4, 0x81, 0x4E, 0xC5, 0x73, 0x63, 0x98, 0xDD, 0x0C, 0xE8, 0xDF, 0x3E, 0xC3, 0xEC, 0x44, 0xFB, 
0xDA, 0xCA, 0x8B, 0xF0, 0xD4, 0x15, 0x4D, 0x72, 0x01, 0x22, 0xC0, 0x31, 0x40, 0x77, 0xAE, 0xE1, 
0x97, 0x14, 0x5C, 0x36, 0x79, 0x57, 0x4A, 0xE7, 0x69, 0x5F, 0xD0, 0xB8, 0x52, 0x47, 0xB5, 0x64, 
0x86, 0xCE, 0xA4, 0x87, 0x1F, 0x07, 0x0A, 0x0E, 0x8D, 0x25, 0x4C, 0xD3, 0x8C, 0x6A, 0x5B, 0xC9, 
0x42, 0x03, 0xEF, 0x20, 0x02, 0xDE, 0x3F, 0x51, 0x75, 0xFA, 0xE9, 0xC2, 0x82, 0x8F, 0xC6, 0x7A, 
0x1B, 0x8A, 0xBF, 0x11, 0x48, 0x05, 0x3B, 0xEB, 0xF8, 0x9D, 0x38, 0x55, 0x53, 0x29, 0xBA, 0xD9, 
0x7D, 0xED, 0xF9, 0x7C, 0xDB, 0x94, 0x43, 0xC7, 0xD1, 0xD8, 0xFC, 0x33, 0x9F, 0xA7, 0xCC, 0x91, 
0x21, 0x45, 0x85, 0x78, 0x37, 0xFE, 0x84, 0x5A, 0x12, 0xAB, 0x90, 0xEA, 0xB6, 0xCF, 0x70, 0x58, 
0x92, 0x60, 0x30, 0xF4, 0x7B, 0xA9, 0x35, 0x65, 0xB9, 0x41, 0x4B, 0x83, 0xB1, 0xF2, 0x89, 0x34, 
0x9E, 0xAF, 0xBC, 0x59, 0x39, 0x56, 0x71, 0xB3, 0x88, 0xE5, 0x18, 0x49, 0x6C, 0x62, 0xDC, 0x2D, 
0xA0, 0x93, 0x67, 0xD2, 0x7F, 0xAC, 0xE2, 0x74, 0x1D, 0xB0, 0x17, 0xC8, 0xF1, 0x96, 0x46, 0xF6, 
0x6F, 0xB2, 0x5E, 0x13, 0x6D, 0x3C, 0xF5, 0x2F, 0x0D, 0x0F, 0xD6, 0xF3, 0x2E, 0xCB, 0xF7, 0x76, 
0xFD, 0xA3, 0xA1, 0x16, 0x4F, 0xE4, 0x5D, 0x95, 0xB7, 0x04, 0x99, 0x3A, 0xEE, 0x2B, 0x80, 0x2C, 
0xA5, 0x61, 0x26, 0x23, 0x7E, 0x2A, 0x27, 0x66, 0xBB, 0x8E, 0x68, 0xE6, 0xAD, 0x1A, 0x9C, 0x09, 
0x0B, 0x00, 0x32, 0xD5, 0xA6, 0x24, 0xFF, 0xE3, 0xCD, 0x9A, 0x28, 0x50, 0xD7, 0x06, 0xBD, 0x6B, 
NL=104
