target sbox:
0x54, 0xC6, 0x0F, 0xC8, 0xCE, 0x9B, 0x1D, 0xDE, 0x03, 0xC7, 0x84, 0x91, 0xB8, 0xEB, 0xEF, 0xFE, 
0xEE, 0x62, 0x05, 0x2E, 0x6D, 0x57, 0x55, 0xDB, 0xB5, 0x85, 0x5C, 0x8C, 0xDF, 0x44, 0x66, 0x04, 
0xB4, 0xC4, 0x34, 0x17, 0x73, 0x37, 0x38, 0x51, 0x23, 0x5F, 0xB7, 0x6A, 0xC1, 0x32, 0x07, 0x1C, 
0xAC, 0xD3, 0x88, 0xD7, 0x8B, 0xE1, 0xF2, 0x8E, 0xDA, 0x7A, 0x9E, 0xAE, 0xE6, 0x7F, 0x92, 0x64, 
0x76, 0x14, 0x6C, 0x22, 0xF4, 0xFB, 0xBD, 0xA2, 0x02, 0x82, 0x98, 0xA9, 0xBB, 0x87, 0x99, 0xBA, 
0xB3, 0x21, 0x61, 0xC2, 0x81, 0x1E, 0x89, 0xA7, 0x63, 0xE9, 0x26, 0x46, 0x3E, 0xFF, 0x71, 0x56, 
0x0A, 0xAB, 0xF1, 0x10, 0x00, 0xCF, 0xC9, 0x0B, 0xAF, 0x24, 0xC5, 0xD5, 0xA0, 0xE2, 0x68, 0xB1, 
0x2F, 0xF0, 0x43, 0x4E, 0x4C, 0xA4, 0x19, 0x09, 0xE3, 0xA1, 0x35, 0x9F, 0x75, 0x74, 0xF6, 0x7C, 
0x0E, 0x8F, 0x9A, 0xA3, 0x15, 0xF5, 0x4A, 0x41, 0x94, 0xD2, 0x95, 0xB2, 0xCA, 0xE5, 0x4D, 0x13, 
0x12, 0x11, 0x67, 0x16, 0x47, 0x1F, 0xD1, 0x2B, 0xC0, 0x1B, 0x59, 0xF8, 0x8A, 0x77, 0x0C, 0x5A, 
0xB0, 0x49, 0x69, 0xB9, 0xD8, 0x5E, 0xA6, 0x50, 0x5D, 0xA8, 0x45, 0xCD, 0x01, 0x0D, 0x7B, 0xAD, 
0x2C, 0x1A, 0x6F, 0x78, 0x28, 0x29, 0x2D, 0x06, 0x2A, 0x3F, 0xB6, 0x70, 0xBE, 0x8D, 0xD4, 0x58, 
0xEA, 0xF7, 0x83, 0x3B, 0xE7, 0xDC, 0xE0, 0x9D, 0xCB, 0xD6, 0xE8, 0x33, 0xAA, 0x40, 0x79, 0x80, 
0x08, 0xFA, 0x42, 0x93, 0xBC, 0x97, 0x36, 0x3C, 0xBF, 0xA5, 0x60, 0x5B, 0x86, 0xCC, 0xD9, 0x90, 
0x31, 0x6B, 0xFD, 0x4F, 0x3A, 0xF3, 0x30, 0x3D, 0x72, 0x53, 0x7D, 0xC3, 0xED, 0x27, 0x18, 0x6E, 
0xEC, 0xE4, 0x9C, 0x52, 0xFC, 0x65, 0xDD, 0x4B, 0x25, 0x7E, 0xF9, 0x20, 0x39, 0x96, 0x48, 0xD0, 
NL=104
