target sbox:
0xDF, 0x44, 0xB7, 0x0A, 0x7C, 0x43, 0xCF, 0xE5, 0xC0, 0x5F, 0x50, 0x2D, 0x6A, 0x4F, 0x48, 0x5D, 
0xA7, 0xB2, 0x91, 0x76, 0x85, 0xE2, 0xBE, 0xC3, 0x02, 0x29, 0x75, 0x58, 0x35, 0x95, 0xCD, 0x83, 
0x41, 0x5A, 0xF7, 0xD9, 0x93, 0xDA, 0xEE, 0x67, 0x4B, 0x6D, 0xDB, 0x5C, 0x98, 0x4A, 0x1E, 0xA1, 
0x37, 0x03, 0x60, 0xD4, 0xE7, 0xE3, 0xFE, 0x89, 0xB1, 0xE8, 0x7D, 0x25, 0xA3, 0x2E, 0x9D, 0x84, 
0x09, 0x42, 0x74, 0x88, 0xB6, 0xFB, 0xC5, 0xEC, 0x9B, 0x3B, 0xFF, 0xEF, 0x15, 0xB8, 0x23, 0x4C, 
0xD1, 0xD6, 0xC8, 0x90, 0x70, 0xA0, 0x0C, 0x10, 0x08, 0xBB, 0xBC, 0xA8, 0x8C, 0x0E, 0xDC, 0x59, 
0xE0, 0x9A, 0x6E, 0x3D, 0x65, 0xC2, 0x73, 0x22, 0x5E, 0xAB, 0x6C, 0x05, 0x57, 0xF6, 0xAC, 0x99, 
0xD2, 0x9C, 0xD8, 0x0D, 0x2C, 0xA9, 0x68, 0x56, 0xC7, 0x12, 0xCA, 0x3E, 0xE9, 0x7F, 0xDE, 0xB9, 
0x5B, 0x66, 0xD7, 0x2B, 0x20, 0x55, 0xE4, 0xBD, 0xF1, 0xF8, 0xED, 0x53, 0x61, 0xCC, 0x33, 0x94, 
0x36, 0x8F, 0x87, 0x6B, 0xB4, 0xD5, 0xB5, 0x3A, 0x54, 0xFC, 0x01, 0x69, 0xA4, 0x7E, 0x51, 0x34, 
0x8D, 0x64, 0x8E, 0xEA, 0x6F, 0x27, 0x28, 0x11, 0x16, 0xD3, 0x78, 0x3F, 0x9F, 0x30, 0x2A, 0x63, 
0x1F, 0x97, 0x3C, 0x04, 0xBF, 0x00, 0x24, 0x2F, 0x32, 0xCB, 0xAE, 0x1C, 0xA6, 0x52, 0xFD, 0x92, 
0xE1, 0xF2, 0x9E, 0x4E, 0x81, 0xA2, 0xB0, 0x8B, 0xE6, 0xAD, 0x13, 0x71, 0x1D, 0x21, 0xFA, 0xAA, 
0x19, 0x62, 0x45, 0x07, 0x8A, 0xC6, 0xC1, 0xCE, 0x06, 0xF4, 0x7B, 0xA5, 0xC4, 0xDD, 0xBA, 0xD0, 
0xAF, 0x14, 0xF5, 0x46, 0x72, 0xC9, 0x1B, 0x0B, 0x31, 0xF3, 0x4D, 0x77, 0x0F, 0x17, 0x96, 0x26, 
0x80, 0x86, 0x18, 0x7A, 0x40, 0x1A, 0x47, 0x38, 0xB3, 0x39, 0xF9, 0xF0, 0xEB, 0x79, 0x82, 0x49, 
NL=104
