target sbox:
0x84, 0x39, 0xE1, 0x0C, 0x77, 0xB5, 0xCC, 0x3D, 0x5F, 0xB2, 0x13, 0xD3, 0x52, 0x25, 0xB6, 0xF2, 
0x8C, 0x6D, 0x6C, 0x56, 0x9B, 0x74, 0xDB, 0x73, 0xBE, 0x08, 0x48, 0xFE, 0x71, 0x27, 0x34, 0xEC, 
0xED, 0x88, 0xD6, 0x55, 0x49, 0xD1, 0xB4, 0x1A, 0xCB, 0x36, 0xA8, 0x51, 0x43, 0xCF, 0x1E, 0x98, 
0x23, 0x62, 0x4C, 0x38, 0x3E, 0xF3, 0xBF, 0x8A, 0x7C, 0xD0, 0x2F, 0x5A, 0xEA, 0xB7, 0x0D, 0xC6, 
0x54, 0x2A, 0xC0, 0x1D, 0xA0, 0xD9, 0x37, 0x97, 0x17, 0x92, 0xDA, 0xA7, 0x24, 0xF9, 0xB8, 0x42, 
0x28, 0x3B, 0x75, 0xEB, 0xF5, 0x72, 0x86, 0x99, 0x61, 0xE0, 0xFB, 0xF7, 0x80, 0x8F, 0x96, 0x7E, 
0x41, 0xA2, 0x40, 0x66, 0x21, 0x14, 0xDE, 0x53, 0x87, 0x8D, 0xD4, 0xF1, 0xC7, 0x60, 0x19, 0x50, 
0x2B, 0xA3, 0xAF, 0xAC, 0x15, 0x89, 0x93, 0x09, 0xE5, 0x4E, 0x3A, 0x5D, 0x5E, 0xE7, 0xB0, 0x03, 
0x01, 0x31, 0x02, 0x0B, 0x7A, 0xDC, 0x22, 0xAD, 0x00, 0x1C, 0x1F, 0x69, 0x7D, 0xC1, 0xFD, 0x83, 
0xC8, 0xC9, 0x6A, 0xF4, 0x2D, 0xC5, 0x94, 0x3C, 0x79, 0xD5, 0x44, 0xCD, 0x20, 0xA1, 0x07, 0x85, 
0xB9, 0x7F, 0xEF, 0xF8, 0xD2, 0xFF, 0x95, 0x5B, 0x8B, 0xE6, 0x06, 0xE8, 0x2E, 0x0A, 0xBB, 0x76, 
0x9C, 0xF6, 0x45, 0x30, 0xAE, 0x0F, 0x12, 0xE9, 0xE2, 0xA9, 0x78, 0x47, 0x4F, 0xD8, 0x65, 0x81, 
0x11, 0x33, 0x59, 0xC3, 0xAB, 0x1B, 0x29, 0xE3, 0xCA, 0x70, 0xAA, 0x05, 0x04, 0x6F, 0x4D, 0x68, 
0x63, 0x18, 0x2C, 0x3F, 0x35, 0x9E, 0x91, 0x5C, 0xBA, 0xFC, 0x6E, 0x0E, 0x6B, 0xBD, 0x32, 0x7B, 
0xB3, 0x10, 0x8E, 0xC2, 0xA6, 0x67, 0xDF, 0xA4, 0x16, 0x46, 0xC4, 0x90, 0x58, 0xA5, 0x57, 0xF0, 
0xFA, 0x9F, 0x9A, 0x26, 0x4B, 0xEE, 0xDD, 0xE4, 0xB1, 0x9D, 0x82, 0xBC, 0x64, 0xD7, 0xCE, 0x4A, 
NL=104
