target sbox:
0x26, 0xA4, 0xAB, 0x05, 0x3C, 0x2C, 0xA9, 0xE4, 0x44, 0xDF, 0xD5, 0x6C, 0x70, 0xD6, 0x69, 0xCD, 
0x62, 0x4D, 0x23, 0x9E, 0x06, 0xCA, 0x7C, 0x89, 0xBD, 0x48, 0xE0, 0x29, 0xFA, 0xF6, 0xB8, 0x17, 
0x55, 0x58, 0x19, 0xD7, 0x2F, 0xCE, 0x83, 0x85, 0x34, 0x31, 0xE8, 0x9C, 0x08, 0x45, 0x52, 0xAA, 
0x78, 0xCC, 0x99, 0xC4, 0x97, 0x1E, 0x0C, 0x5D, 0x3E, 0x2B, 0xC0, 0x54, 0x57, 0xF8, 0x2A, 0x73, 
0xCB, 0x32, 0xDA, 0xC2, 0x38, 0xE5, 0x25, 0x65, 0x66, 0xBE, 0x2E, 0x9A, 0x86, 0x24, 0x33, 0xF9, 
0xBF, 0x5E, 0x67, 0xB5, 0xA3, 0xD9, 0x15, 0x98, 0x01, 0x87, 0xB0, 0x6E, 0x5A, 0x5B, 0x07, 0x3D, 
0x7B, 0xA5, 0x1B, 0xC7, 0x93, 0x59, 0xC8, 0xAC, 0xED, 0xA6, 0x75, 0x03, 0xEA, 0x92, 0x42, 0xFD, 
0x0A, 0x49, 0x2D, 0x10, 0xEE, 0xEC, 0x0D, 0xBA, 0xCF, 0x95, 0xD0, 0x63, 0x0F, 0xD4, 0x00, 0x41, 
0x74, 0xDD, 0x1C, 0x6D, 0xAF, 0x7F, 0xBC, 0x88, 0x20, 0x09, 0x56, 0x7A, 0x46, 0x30, 0x9F, 0x3F, 
0x4F, 0xD1, 0xBB, 0x90, 0x7E, 0x1A, 0x8D, 0x40, 0x43, 0x22, 0x6B, 0xE7, 0xF5, 0x47, 0xB9, 0x37, 
0x04, 0x8C, 0xC5, 0xF2, 0xFC, 0xC1, 0x91, 0xB1, 0x3B, 0xB2, 0xF1, 0xB7, 0xA7, 0x12, 0x9D, 0x76, 
0x1F, 0x4A, 0xB6, 0x61, 0x27, 0x02, 0xE6, 0xAD, 0xA1, 0x13, 0xC6, 0x14, 0x35, 0x96, 0x53, 0xB3, 
0x51, 0x1D, 0xA2, 0x0E, 0x60, 0xF7, 0xB4, 0x21, 0x39, 0xDE, 0xEB, 0x5F, 0xF0, 0xF3, 0xE3, 0x79, 
0x0B, 0xAE, 0x64, 0x71, 0x3A, 0x28, 0x16, 0xA0, 0x6F, 0x8A, 0xFF, 0x8B, 0x80, 0x84, 0x94, 0x36, 
0xC9, 0x4E, 0x4B, 0x50, 0xC3, 0xDC, 0xDB, 0xA8, 0x82, 0x6A, 0xE2, 0x8E, 0x72, 0xD3, 0xD2, 0x9B, 
0x4C, 0x81, 0x77, 0xE9, 0xF4, 0x18, 0x5C, 0xEF, 0x7D, 0xE1, 0xFB, 0x11, 0xFE, 0xD8, 0x8F, 0x68, 
NL=104
