target sbox:
0xE0, 0xCA, 0xB0, 0x34, 0xE2, 0x36, 0xF9, 0xB4, 0x28, 0xBB, 0xF4, 0x8C, 0x61, 0x10, 0x39, 0x81, 
0xF3, 0x9E, 0xC0, 0x76, 0x69, 0x99, 0xA0, 0x6B, 0x78, 0x38, 0x60, 0x27, 0x96, 0x9C, 0xA1, 0x66, 
0xD8, 0xEC, 0xB5, 0xEA, 0x0E, 0xB1, 0x75, 0x07, 0x2D, 0x3F, 0x89, 0x0C, 0xF8, 0xD2, 0xE4, 0x77, 
0x15, 0x71, 0x04, 0xE3, 0x23, 0xDC, 0x70, 0x5D, 0x3C, 0x3B, 0x11, 0x1C, 0x13, 0x53, 0xA7, 0xD9, 
0x45, 0x29, 0xDE, 0xC6, 0x79, 0xEF, 0xCD, 0x2F, 0xCC, 0x26, 0x19, 0x95, 0xB6, 0x93, 0x8F, 0xF7, 
0x8E, 0xB9, 0x4D, 0xA4, 0x37, 0x56, 0xE5, 0x43, 0x7A, 0x0D, 0x00, 0xD6, 0x73, 0xE6, 0x97, 0xC3, 
0xF0, 0x9D, 0xDA, 0x59, 0x42, 0xFB, 0xB2, 0xC2, 0xBA, 0x63, 0xDF, 0x74, 0x83, 0x41, 0xBD, 0x32, 
0x3E, 0x0A, 0x88, 0x4E, 0xBC, 0xEE, 0x06, 0x64, 0x49, 0x84, 0xD0, 0x1E, 0xE9, 0xD3, 0x17, 0xFC, 
0x7D, 0x72, 0x35, 0x3D, 0xD4, 0xA2, 0x03, 0x5A, 0x05, 0xAA, 0xB7, 0xBF, 0xD7, 0xA8, 0x12, 0x2E, 
0x7F, 0x94, 0xC8, 0x55, 0x50, 0xEB, 0xED, 0x1B, 0xC9, 0xA3, 0xA6, 0x51, 0x52, 0xDB, 0xD1, 0x47, 
0xA5, 0x6A, 0xDD, 0x1D, 0x5E, 0x33, 0xE7, 0x25, 0xC5, 0xB8, 0xAC, 0xAB, 0xFA, 0x0B, 0x57, 0x86, 
0x02, 0xFF, 0xC7, 0x1A, 0x16, 0x8D, 0xE1, 0x4C, 0x8A, 0x6D, 0x30, 0x1F, 0x7E, 0x4F, 0x40, 0x65, 
0xAE, 0x09, 0xBE, 0x9F, 0x7C, 0xC4, 0xE8, 0x44, 0xF1, 0x2C, 0x54, 0xB3, 0x22, 0x3A, 0x7B, 0x67, 
0x31, 0xAF, 0x21, 0x9A, 0x46, 0x14, 0x6E, 0xA9, 0x62, 0x87, 0x18, 0x2B, 0xCB, 0x4B, 0x0F, 0x92, 
0x2A, 0x90, 0xF2, 0xCF, 0x6F, 0xF5, 0x08, 0x9B, 0x24, 0x5F, 0x68, 0xC1, 0x82, 0x58, 0x48, 0x20, 
0x5C, 0xF6, 0x80, 0x4A, 0x91, 0xFD, 0xFE, 0x01, 0x8B, 0x5B, 0x85, 0xAD, 0x6C, 0x98, 0xD5, 0xCE, 
NL=104
