target sbox:
0x72, 0xC7, 0xC2, 0x12, 0x50, 0x80, 0x7F, 0xBA, 0x73, 0xED, 0xA9, 0xB7, 0x93, 0x3B, 0xD6, 0x26, 
0x76, 0xD3, 0x0B, 0xB4, 0xAF, 0x49, 0x04, 0x77, 0xDC, 0x10, 0xA6, 0xB9, 0x39, 0xFA, 0x85, 0x71, 
0x14, 0xB0, 0x62, 0x70, 0xCF, 0x5D, 0x47, 0x51, 0x86, 0x7B, 0x03, 0x5A, 0x3A, 0x46, 0xD2, 0x17, 
0x40, 0x16, 0x27, 0x97, 0x87, 0x88, 0x23, 0x4D, 0x02, 0xDA, 0x29, 0xDF, 0x31, 0x7C, 0xAE, 0xAB, 
0x45, 0x19, 0xF5, 0x68, 0x98, 0x32, 0x4E, 0x9F, 0x8D, 0x20, 0x8F, 0x75, 0xC4, 0xAA, 0x0A, 0x56, 
0x07, 0x1E, 0x30, 0xD1, 0x9A, 0x41, 0x1D, 0x9C, 0x36, 0xC0, 0x43, 0x5E, 0xBB, 0x55, 0xE4, 0x3C, 
0x2D, 0xE6, 0x64, 0x4A, 0x79, 0x2F, 0x54, 0xCE, 0x65, 0xB2, 0xB6, 0x91, 0x99, 0xA2, 0xA7, 0xE2, 
0xFD, 0xD5, 0xF8, 0xCB, 0xB1, 0xDD, 0x42, 0x2B, 0x7D, 0xC3, 0x74, 0x13, 0xD8, 0xA4, 0xB8, 0x0F, 
0x78, 0x25, 0x00, 0x34, 0x6E, 0xEF, 0x01, 0xF0, 0xF6, 0x38, 0x89, 0xF4, 0x8A, 0xBC, 0x94, 0xA1, 
0x28, 0xE3, 0xC1, 0x0C, 0x90, 0x6C, 0xD7, 0xDE, 0x95, 0x82, 0x11, 0xD9, 0xC6, 0x37, 0xBD, 0xD4, 
0x0E, 0xE8, 0xB3, 0x53, 0x09, 0x6D, 0x44, 0xF9, 0xF2, 0x5F, 0xC8, 0x8B, 0xE7, 0xDB, 0xFF, 0x33, 
0xFB, 0x18, 0x5C, 0x7A, 0x83, 0x96, 0xE5, 0x4B, 0xD0, 0x81, 0x57, 0xA3, 0xBF, 0x2C, 0x7E, 0x52, 
0xE9, 0xC9, 0x63, 0x1F, 0xF3, 0x61, 0x4F, 0x60, 0xB5, 0xBE, 0x3E, 0x9D, 0xC5, 0xF7, 0x6F, 0x59, 
0xFE, 0x1A, 0x5B, 0xEB, 0x22, 0x9B, 0xEA, 0x8C, 0x05, 0xAD, 0x0D, 0xCC, 0xA0, 0xA5, 0x8E, 0x06, 
0x66, 0xFC, 0x84, 0x48, 0x1C, 0x08, 0xEE, 0x58, 0x4C, 0xCA, 0x2A, 0x6A, 0xAC, 0x9E, 0xE1, 0x3F, 
0x1B, 0xEC, 0x24, 0xE0, 0x3D, 0x6B, 0x2E, 0x92, 0xF1, 0x21, 0x67, 0xCD, 0x15, 0x35, 0x69, 0xA8, 
NL=104
