target sbox:
0xB7, 0x63, 0x66, 0xA6, 0xF7, 0xE5, 0x8E, 0x0F, 0xAD, 0x31, 0xD6, 0xF3, 0x4E, 0x34, 0x52, 0x3D, 
0x12, 0xE9, 0x4A, 0x25, 0xB3, 0x35, 0x6F, 0x5D, 0x39, 0xE8, 0x3A, 0xF5, 0x6D, 0xD8, 0x76, 0x43, 
0x08, 0xE3, 0xE0, 0x15, 0xF6, 0x57, 0xBE, 0x37, 0x62, 0xF8, 0x1A, 0xA3, 0x29, 0x4C, 0x87, 0xBD, 
0x13, 0x3B, 0xBB, 0x0B, 0x09, 0x05, 0x9B, 0xB9, 0x7F, 0x86, 0xAF, 0x41, 0x51, 0x69, 0x49, 0x38, 
0xE4, 0x73, 0x5B, 0x02, 0xA7, 0xEC, 0x53, 0x68, 0x81, 0x20, 0x54, 0x98, 0x33, 0xAC, 0x5A, 0xCC, 
0x4D, 0x65, 0x2C, 0xFA, 0xFE, 0x36, 0x9F, 0x22, 0x55, 0xA4, 0x2A, 0x83, 0x10, 0x9E, 0xB4, 0x77, 
0xF4, 0x9D, 0xD0, 0xA5, 0xDE, 0xAB, 0x71, 0x9A, 0x67, 0xC7, 0x74, 0x32, 0x5E, 0x18, 0x3C, 0x06, 
0xC2, 0x7A, 0x89, 0x88, 0xE1, 0x01, 0x1F, 0xBC, 0x4F, 0x23, 0xEB, 0xCA, 0xD7, 0x3F, 0xDA, 0x44, 
0x2D, 0x03, 0xBA, 0x8A, 0x5C, 0x2F, 0x1D, 0x80, 0xC0, 0x8C, 0xF9, 0x61, 0x27, 0x78, 0xFD, 0x94, 
0xEE, 0xC9, 0xE2, 0x7C, 0x95, 0xCB, 0x30, 0xB6, 0xD9, 0x7E, 0xEF, 0x50, 0x1E, 0x60, 0x0A, 0xC8, 
0x0C, 0x59, 0x00, 0x07, 0xC4, 0x4B, 0x8D, 0xE6, 0xE7, 0x46, 0xFB, 0x42, 0xCD, 0x93, 0x8F, 0xB0, 
0x16, 0xCF, 0xA0, 0xDF, 0xC3, 0x2B, 0x6A, 0x1C, 0x90, 0xDD, 0x7B, 0xD5, 0x1B, 0xFC, 0x56, 0xD1, 
0x58, 0x91, 0x24, 0xA9, 0x6B, 0x40, 0xC1, 0x0D, 0xC6, 0x45, 0xFF, 0x70, 0xB1, 0x0E, 0xBF, 0x99, 
0x84, 0xB5, 0x26, 0xD4, 0x82, 0xA8, 0xEA, 0xF1, 0xAE, 0x48, 0x8B, 0x96, 0xA2, 0x19, 0x17, 0xC5, 
0x79, 0xF2, 0xD3, 0x11, 0xED, 0x72, 0x64, 0xB8, 0x75, 0x85, 0xAA, 0x14, 0xF0, 0xB2, 0xDC, 0x5F, 
0x28, 0x92, 0xA1, 0x3E, 0x7D, 0x6E, 0x97, 0xDB, 0x9C, 0x47, 0x2E, 0x21, 0xD2, 0xCE, 0x6C, 0x04, 
NL=104
