target sbox:
0xA7, 0x8F, 0xFD, 0xA4, 0x16, 0x43, 0x0D, 0x7E, 0xFA, 0xC9, 0x65, 0x24, 0x96, 0x55, 0xD5, 0xD9, 
0x82, 0x9B, 0x68, 0x8E, 0xE1, 0x6B, 0x6F, 0xB1, 0x60, 0xA6, 0x61, 0x6D, 0xE4, 0x5E, 0x48, 0x9A, 
0x09, 0xAD, 0x4E, 0x22, 0x4B, 0x93, 0x01, 0x0E, 0x83, 0xDD, 0xB9, 0xD2, 0x5B, 0xA1, 0x36, 0xAE, 
0x89, 0xCB, 0x04, 0x75, 0x59, 0x8C, 0x02, 0x2C, 0xC5, 0x74, 0x70, 0x17, 0xEE, 0xFC, 0x4D, 0xE5, 
0xC6, 0xEA, 0x27, 0xAA, 0xA9, 0xF6, 0x5F, 0x78, 0x34, 0x44, 0xE7, 0x03, 0x7C, 0x73, 0x52, 0x76, 
0x0F, 0x81, 0xE2, 0x4F, 0xE3, 0x31, 0xAC, 0xA8, 0x23, 0x1E, 0xF2, 0xC2, 0xF5, 0x9F, 0xF7, 0x0C, 
0xFB, 0x9E, 0xC7, 0xB0, 0x05, 0xCF, 0x57, 0x18, 0x30, 0xCA, 0x25, 0x42, 0x5A, 0xF4, 0xD6, 0x19, 
0x1A, 0x88, 0xBB, 0xB7, 0x14, 0x98, 0xE8, 0xEF, 0x6C, 0x7B, 0x87, 0x2A, 0xF3, 0x4A, 0x51, 0xAB, 
0x4C, 0x86, 0x3F, 0xA5, 0x0A, 0xAF, 0xDA, 0x29, 0x47, 0x35, 0x1B, 0x63, 0x92, 0x54, 0x49, 0xF1, 
0x8D, 0x3B, 0x3E, 0xDE, 0xB2, 0x46, 0xFF, 0x3D, 0x45, 0xB6, 0x8B, 0x10, 0xBF, 0xC1, 0x39, 0xD3, 
0xA0, 0x58, 0xE0, 0x9C, 0xE9, 0xB5, 0xCE, 0xDB, 0x90, 0xC3, 0x50, 0xF0, 0xC4, 0x41, 0x2B, 0x20, 
0x77, 0x6E, 0x8A, 0xD4, 0xD0, 0x21, 0x28, 0x38, 0x5C, 0x91, 0x67, 0xED, 0x33, 0xEC, 0x6A, 0x3C, 
0xDC, 0x62, 0xD1, 0x15, 0x26, 0xC8, 0x06, 0xBE, 0xCD, 0x84, 0x9D, 0x11, 0x72, 0x7F, 0xF9, 0x69, 
0x00, 0x71, 0xCC, 0xDF, 0x40, 0x66, 0x3A, 0xB3, 0xA3, 0x79, 0x99, 0xBC, 0xD7, 0x1C, 0x7D, 0x94, 
0x08, 0x7A, 0x97, 0xFE, 0x95, 0xA2, 0xBA, 0xE6, 0xB8, 0xC0, 0xD8, 0x37, 0x32, 0x64, 0xF8, 0xEB, 
0xBD, 0x07, 0x2D, 0x2F, 0x56, 0x53, 0x1D, 0x80, 0x2E, 0x1F, 0x5D, 0x85, 0x13, 0x0B, 0xB4, 0x12, 
NL=104
