target sbox:
0x7A, 0x67, 0x04, 0x81, 0x3B, 0x44, 0x66, 0xFF, 0xC7, 0xDC, 0xBB, 0x26, 0xAB, 0x7E, 0x84, 0x71, 
0x38, 0x9C, 0x3F, 0x90, 0x37, 0x87, 0x49, 0x40, 0x80, 0xEA, 0x5D, 0x5E, 0xF4, 0x72, 0x6D, 0x47, 
0x2C, 0xA7, 0xEB, 0x0A, 0xDA, 0x0E, 0xA4, 0x2E, 0xA5, 0xF0, 0x14, 0x6E, 0xAE, 0x45, 0x4E, 0xB2, 
0xE6, 0xA9, 0xC1, 0x19, 0xDE, 0xAD, 0x99, 0xD4, 0x96, 0xD5, 0x64, 0x2B, 0x7F, 0x15, 0xFA, 0xBC, 
0xA2, 0x53, 0xF1, 0x42, 0x35, 0x7B, 0x60, 0x1E, 0x21, 0xDF, 0x30, 0x0C, 0xBF, 0x69, 0xF3, 0x24, 
0xBD, 0xC6, 0xE4, 0xD8, 0x52, 0x97, 0xD3, 0xF6, 0xB0, 0x88, 0x4D, 0xD0, 0x16, 0xCC, 0xFE, 0x94, 
0x29, 0xC9, 0x54, 0x55, 0x86, 0xDD, 0x51, 0x70, 0xB8, 0xC5, 0x1C, 0x63, 0xF9, 0xE3, 0x2F, 0x79, 
0xCF, 0xC2, 0xE9, 0x01, 0x6C, 0x0D, 0xC8, 0x3E, 0xA6, 0x5F, 0xB6, 0xAC, 0x9F, 0xFC, 0xB7, 0x11, 
0xEE, 0x8E, 0x0B, 0xED, 0x57, 0x48, 0xB5, 0x9A, 0x17, 0xE0, 0x76, 0x08, 0xD9, 0x22, 0xC0, 0x8B, 
0x98, 0x31, 0xC3, 0xE7, 0x4B, 0xE8, 0x4C, 0x9E, 0x6F, 0xBE, 0x89, 0xD6, 0x77, 0xDB, 0xA1, 0x61, 
0x12, 0x7C, 0x1A, 0x41, 0x9D, 0xEF, 0x8F, 0x33, 0xB4, 0x10, 0xA0, 0x73, 0xB1, 0x2D, 0x62, 0x85, 
0x65, 0x8C, 0x1F, 0x1B, 0xFB, 0xCA, 0x5B, 0x46, 0x1D, 0x58, 0x4F, 0x07, 0x25, 0x82, 0x50, 0xCD, 
0x13, 0xCE, 0x68, 0xC4, 0x7D, 0xB3, 0xCB, 0x34, 0x95, 0x93, 0xA8, 0x02, 0xF8, 0x23, 0xE5, 0x05, 
0xA3, 0x5C, 0xD2, 0xAF, 0xBA, 0x32, 0x3C, 0x18, 0x75, 0x78, 0x39, 0x6B, 0x6A, 0xE2, 0x59, 0xF5, 
0x00, 0x28, 0x20, 0x36, 0x03, 0xEC, 0xB9, 0x2A, 0xFD, 0x4A, 0xAA, 0x91, 0x0F, 0xE1, 0x3D, 0xD1, 
0x06, 0x43, 0x27, 0x9B, 0x74, 0x56, 0xF2, 0xD7, 0x83, 0xF7, 0x8A, 0x92, 0x8D, 0x3A, 0x09, 0x5A, 
NL=104
