target sbox:
0xC8, 0xB7, 0x85, 0xE9, 0x80, 0x25, 0x7A, 0x65, 0x5E, 0x38, 0x02, 0x12, 0x9D, 0x1C, 0x4F, 0x01, 
0xD6, 0xF1, 0xEF, 0xF2, 0xF5, 0xAB, 0x90, 0xE5, 0x3B, 0x66, 0xB6, 0x82, 0x35, 0xCF, 0xA6, 0xCD, 
0xBA, 0x4D, 0x9A, 0x47, 0x15, 0x21, 0x58, 0x0C, 0x8C, 0xF3, 0x7E, 0xB4, 0x5A, 0x5C, 0x1A, 0xD3, 
0x9C, 0xE8, 0xFA, 0xC0, 0xB3, 0xDC, 0xE4, 0x78, 0x62, 0x00, 0x77, 0x2E, 0x8B, 0xEB, 0x1B, 0xF8, 
0xFB, 0xBD, 0xC4, 0xF6, 0x69, 0x4C, 0x83, 0x27, 0x0A, 0x4B, 0xC9, 0xAC, 0x1E, 0x6B, 0x95, 0x94, 
0xA0, 0x96, 0x64, 0xAD, 0x3D, 0x8E, 0x57, 0xAA, 0xD8, 0x68, 0x88, 0x09, 0x26, 0x63, 0x50, 0xA2, 
0x79, 0x5F, 0x20, 0xA9, 0xB5, 0xBB, 0x8F, 0x74, 0x3A, 0x34, 0x54, 0x97, 0x9E, 0x6A, 0xE0, 0x40, 
0xD4, 0x5B, 0x67, 0x56, 0x3F, 0xC3, 0xE3, 0xFF, 0x29, 0xE1, 0xA3, 0xB1, 0x04, 0x10, 0x86, 0x07, 
0x99, 0x84, 0x39, 0x0E, 0xF7, 0x45, 0xD5, 0x13, 0x08, 0x31, 0xCB, 0xBF, 0xAF, 0x70, 0xFD, 0x2C, 
0x51, 0xBE, 0x46, 0x73, 0x53, 0x8D, 0x2D, 0x17, 0x5D, 0x1F, 0x49, 0x91, 0x30, 0x06, 0x37, 0x05, 
0x76, 0xFE, 0x6C, 0x61, 0xD0, 0x7B, 0xAE, 0x92, 0xE2, 0xD2, 0xCC, 0xBC, 0x24, 0x03, 0x8A, 0x32, 
0xC1, 0xC7, 0xDD, 0x41, 0x43, 0x16, 0xC5, 0xA7, 0x72, 0xEA, 0x22, 0x6E, 0x18, 0x71, 0x81, 0x9F, 
0x33, 0x2A, 0xE6, 0xDF, 0xB2, 0x48, 0xEE, 0xB9, 0xA5, 0xF0, 0xD7, 0x11, 0xD9, 0xA4, 0x23, 0x7F, 
0x7C, 0xC2, 0xCE, 0x0D, 0xD1, 0x6D, 0xCA, 0x44, 0xF4, 0xEC, 0x89, 0xDB, 0xC6, 0x42, 0xE7, 0xED, 
0x60, 0x14, 0xA1, 0xB0, 0xF9, 0x1D, 0x93, 0x4A, 0x2B, 0xB8, 0x9B, 0x0F, 0x19, 0x2F, 0x87, 0xFC, 
0x36, 0xDE, 0x0B, 0x59, 0x7D, 0x3E, 0x75, 0x52, 0x28, 0x3C, 0x98, 0xDA, 0xA8, 0x6F, 0x55, 0x4E, 
NL=104
