target sbox:
0xFB, 0x58, 0x11, 0xC4, 0xE3, 0x35, 0x76, 0x87, 0xAA, 0x06, 0xA1, 0x7E, 0xB7, 0x05, 0xAD, 0xD4, 
0x8A, 0x72, 0x57, 0xD9, 0x8F, 0x78, 0x6D, 0xF8, 0x98, 0x61, 0x44, 0x5E, 0xFF, 0x1C, 0xCB, 0x6C, 
0xFE, 0x86, 0x8E, 0x1F, 0x8D, 0xE5, 0x54, 0x50, 0x12, 0xA5, 0x07, 0xB5, 0x91, 0x28, 0x15, 0x6A, 
0x22, 0x7C, 0x9A, 0x3B, 0xAC, 0x9D, 0x09, 0x34, 0x43, 0xDD, 0x36, 0xCA, 0x6F, 0xAE, 0xA0, 0x6E, 
0x29, 0xDE, 0x1D, 0xD1, 0xB0, 0xD5, 0x30, 0xBA, 0x26, 0x3A, 0x03, 0xC8, 0x7B, 0x3F, 0xC0, 0x96, 
0x81, 0xE0, 0x8B, 0x65, 0x13, 0x0A, 0x27, 0xCD, 0x39, 0x69, 0xB4, 0xD3, 0x90, 0xF0, 0xF4, 0x21, 
0x97, 0x19, 0xA2, 0xE8, 0xBE, 0x8C, 0xE4, 0xE7, 0x17, 0xC1, 0x66, 0xA4, 0x64, 0x04, 0x83, 0xAB, 
0xF6, 0x33, 0x99, 0x4A, 0x9F, 0x4C, 0xE2, 0xFC, 0x1E, 0x0D, 0x20, 0x67, 0x14, 0xE6, 0x4F, 0x4B, 
0x2B, 0x0E, 0x94, 0xDB, 0xC3, 0xC2, 0x41, 0x49, 0xF1, 0xF5, 0x4E, 0x2D, 0xB6, 0xD2, 0x40, 0x9E, 
0x3D, 0xC9, 0xCE, 0x3E, 0x25, 0x1B, 0xEC, 0x16, 0x79, 0x3C, 0x2C, 0x75, 0x24, 0xED, 0xE1, 0x68, 
0xB3, 0x7D, 0x38, 0x56, 0x18, 0xC7, 0xAF, 0xBC, 0x5F, 0x10, 0x45, 0x71, 0xFA, 0x2A, 0x5D, 0xBB, 
0xEE, 0x52, 0x0F, 0x4D, 0x42, 0x2E, 0x88, 0xDC, 0x01, 0x5A, 0xC6, 0xCF, 0xA7, 0xBF, 0xC5, 0x7F, 
0x32, 0x62, 0xCC, 0xEF, 0x48, 0xF2, 0x00, 0x1A, 0x6B, 0x92, 0xD6, 0x53, 0x93, 0x70, 0x55, 0x0B, 
0x89, 0x5B, 0x59, 0x60, 0xFD, 0xEB, 0xB9, 0xDF, 0xF3, 0x23, 0x82, 0xF7, 0x9B, 0x77, 0xA3, 0x31, 
0x73, 0xDA, 0xA8, 0x47, 0x0C, 0x2F, 0x5C, 0xA9, 0xB1, 0x08, 0x37, 0x7A, 0xD0, 0xE9, 0x46, 0xB2, 
0x85, 0x84, 0x63, 0x74, 0xBD, 0xF9, 0xD8, 0x9C, 0xB8, 0xA6, 0x80, 0x95, 0x51, 0x02, 0xEA, 0xD7, 
NL=104
