target sbox:
0x07, 0x22, 0x5D, 0x89, 0x92, 0x6E, 0x47, 0xC1, 0xBF, 0xB8, 0x9A, 0x6B, 0x4C, 0x85, 0xE4, 0xF0, 
0x74, 0x13, 0x05, 0x18, 0x75, 0x83, 0xB5, 0x55, 0x42, 0xE7, 0x79, 0x36, 0xDD, 0x63, 0x9B, 0x04, 
0x11, 0x3A, 0x25, 0xE2, 0x52, 0x4F, 0xD5, 0x87, 0xE9, 0x56, 0x99, 0x50, 0x54, 0xEA, 0x1A, 0x19, 
0x68, 0xBC, 0x73, 0xAA, 0xDE, 0x97, 0xE5, 0x58, 0x08, 0x69, 0x46, 0x62, 0xA1, 0x41, 0xDF, 0xCD, 
0x28, 0x37, 0x5F, 0xB2, 0x71, 0xF5, 0x01, 0x35, 0x43, 0x2D, 0x2C, 0xC9, 0xD9, 0xA2, 0x32, 0xEB, 
0xFE, 0x4B, 0xA5, 0x1B, 0xAB, 0x86, 0x09, 0x64, 0x26, 0xD4, 0xE6, 0x3B, 0xE1, 0x8E, 0x2A, 0x70, 
0x53, 0x15, 0xF1, 0x06, 0x12, 0x16, 0x84, 0xF4, 0x8F, 0xFC, 0xCF, 0xA7, 0x02, 0xAD, 0xB6, 0x3E, 
0x3D, 0xCC, 0x96, 0x49, 0xB4, 0xF7, 0x81, 0x0F, 0xF9, 0x24, 0xF8, 0x23, 0xCA, 0x1D, 0xCE, 0xD2, 
0x95, 0x94, 0x6A, 0x77, 0xC0, 0x6C, 0xEF, 0xD0, 0x7F, 0xA4, 0xA3, 0xB9, 0x9C, 0xB0, 0x44, 0x10, 
0xE8, 0x5B, 0xC2, 0x90, 0xA6, 0xA8, 0x8A, 0x7E, 0x9F, 0x2F, 0xCB, 0x76, 0x31, 0x29, 0x5A, 0x34, 
0xAC, 0xDB, 0xFD, 0x9D, 0xFF, 0x1F, 0x5C, 0x0E, 0x7A, 0x0C, 0x0B, 0xAE, 0xF2, 0x3F, 0x38, 0x1E, 
0x45, 0x6F, 0xEC, 0xC4, 0x3C, 0x4E, 0xD3, 0xA0, 0xAF, 0x66, 0xC5, 0x27, 0xC7, 0x61, 0x82, 0xD8, 
0xD1, 0x21, 0x39, 0x7B, 0xB3, 0x4A, 0xB7, 0xFB, 0x57, 0x78, 0x7D, 0xC3, 0x17, 0x88, 0x8B, 0xD6, 
0xBD, 0x1C, 0x6D, 0x67, 0x72, 0x65, 0x33, 0xE0, 0x2B, 0x51, 0xA9, 0x9E, 0xBA, 0xF3, 0xFA, 0x91, 
0x4D, 0x60, 0xBE, 0xE3, 0x00, 0xC8, 0x98, 0xD7, 0xEE, 0x14, 0x0A, 0xDA, 0x59, 0x40, 0xED, 0x03, 
0xBB, 0x8C, 0xDC, 0xB1, 0x20, 0x5E, 0x8D, 0x80, 0x2E, 0x7C, 0x0D, 0xF6, 0x93, 0xC6, 0x30, 0x48, 
NL=104
