target sbox:
0x18, 0xB1, 0xB8, 0x5A, 0x97, 0xC3, 0x28, 0x63, 0xC7, 0x99, 0x05, 0x0C, 0xA4, 0x5E, 0xA2, 0x4E, 
0x92, 0x7E, 0x2D, 0xF3, 0x1E, 0x6C, 0xF4, 0xBB, 0x9A, 0xA5, 0xCC, 0x3D, 0xFE, 0x40, 0xEE, 0x35, 
0x7F, 0xAA, 0x5B, 0x62, 0x56, 0xD3, 0xCF, 0x6D, 0xDF, 0xE0, 0xFA, 0x3F, 0xC1, 0xEC, 0x0E, 0x10, 
0xDB, 0xE3, 0xEB, 0x8E, 0x70, 0xD9, 0x16, 0xDA, 0x65, 0x8D, 0x86, 0x51, 0xDE, 0xEA, 0xA7, 0x9B, 
0xF9, 0x27, 0xAE, 0xBA, 0x2B, 0x1D, 0x2F, 0x4B, 0x19, 0xFF, 0x21, 0x38, 0x20, 0x49, 0x93, 0x6E, 
0x12, 0x3E, 0x4F, 0xA1, 0x61, 0xB4, 0x5C, 0x96, 0x7A, 0x02, 0x87, 0x09, 0xE1, 0x1F, 0xE4, 0x07, 
0x8F, 0x43, 0x2A, 0xE5, 0x36, 0x81, 0x76, 0x31, 0x5F, 0xE6, 0xC8, 0xBD, 0x7B, 0x77, 0x34, 0x71, 
0x1C, 0xC9, 0x82, 0x68, 0xAD, 0xE2, 0xD5, 0x3A, 0x0B, 0x95, 0xB5, 0x55, 0xD8, 0x08, 0x4D, 0x75, 
0x26, 0x6A, 0xAF, 0x94, 0x78, 0x57, 0x90, 0x80, 0x0F, 0x15, 0x23, 0x52, 0xBE, 0x44, 0x9D, 0xCD, 
0x60, 0xE8, 0xAB, 0x22, 0x98, 0xED, 0xC4, 0xC6, 0xB3, 0xFB, 0xB0, 0x30, 0x8C, 0x42, 0x45, 0x06, 
0x6B, 0xA9, 0x33, 0xA6, 0x7C, 0x66, 0xD6, 0x04, 0xF0, 0x50, 0xF5, 0xE9, 0x2C, 0x83, 0x0A, 0x25, 
0x8A, 0xA8, 0x9F, 0xAC, 0xD2, 0x8B, 0x69, 0xE7, 0xCA, 0x41, 0xEF, 0x37, 0x5D, 0x79, 0x9E, 0xA3, 
0x3B, 0x00, 0x24, 0xC0, 0xCB, 0x0D, 0x29, 0x1B, 0x39, 0xFD, 0xDD, 0x46, 0x84, 0xB6, 0xC2, 0x32, 
0x03, 0x74, 0x53, 0xF8, 0xB7, 0x64, 0x01, 0x6F, 0xF1, 0x91, 0x4C, 0xCE, 0x1A, 0xD4, 0xF7, 0xFC, 
0x88, 0xF2, 0x54, 0x72, 0x7D, 0x85, 0x14, 0xB2, 0x3C, 0xC5, 0x13, 0x67, 0xD0, 0x59, 0xF6, 0x58, 
0xDC, 0x89, 0x47, 0xD1, 0xBF, 0x4A, 0x17, 0x2E, 0x11, 0x48, 0xB9, 0xD7, 0x9C, 0xBC, 0x73, 0xA0, 
NL=104
