target sbox:
0xDB, 0x2D, 0x6A, 0x21, 0x99, 0x49, 0xB0, 0x2E, 0x1E, 0xC5, 0x91, 0x0C, 0xEF, 0x1B, 0x3A, 0xC3, 
0x65, 0xF5, 0xFC, 0x4F, 0x60, 0x7C, 0x25, 0x45, 0xA0, 0x90, 0xE7, 0x2F, 0xD3, 0x97, 0xE4, 0xF6, 
0xB7, 0xF3, 0x67, 0xF2, 0x31, 0x7D, 0xCD, 0xF4, 0xCC, 0x92, 0x08, 0xD7, 0xB1, 0x44, 0xB2, 0xDE, 
0xA6, 0x46, 0x7B, 0xCE, 0xA4, 0xE9, 0xF7, 0xA8, 0x47, 0x3F, 0xB9, 0x4D, 0x69, 0x5F, 0x01, 0x8B, 
0xBF, 0x39, 0xE1, 0x5B, 0x50, 0x9F, 0xBC, 0x24, 0xFF, 0x8E, 0xA5, 0x9B, 0x0A, 0x35, 0xCA, 0x1C, 
0x0D, 0xCF, 0x8F, 0x18, 0xC8, 0x22, 0x0E, 0xE0, 0xD9, 0x68, 0x74, 0x05, 0x6E, 0x75, 0x5A, 0xE3, 
0xF9, 0x02, 0xAC, 0xB5, 0x59, 0xF1, 0xEB, 0xB4, 0x30, 0x07, 0x93, 0x3D, 0x52, 0x5C, 0xF0, 0xC9, 
0x11, 0xE6, 0x09, 0xA2, 0x86, 0x10, 0xE2, 0x79, 0x56, 0xDA, 0x33, 0x2A, 0x0F, 0xAD, 0x15, 0xAF, 
0xDD, 0x20, 0xFB, 0xB3, 0x43, 0x51, 0x88, 0x1D, 0x5E, 0x4B, 0xFD, 0xEA, 0xBE, 0x9D, 0x4E, 0xD1, 
0xEC, 0x8A, 0x54, 0x1A, 0x77, 0x94, 0xA7, 0x63, 0x3C, 0xBB, 0xAB, 0x37, 0x8D, 0x58, 0x6F, 0x83, 
0x95, 0x26, 0x96, 0x12, 0xE8, 0xAE, 0x53, 0x6C, 0xF8, 0x48, 0x81, 0xE5, 0x80, 0x98, 0xB6, 0xBA, 
0x41, 0x19, 0x16, 0x38, 0x4A, 0x2B, 0x32, 0x0B, 0xD8, 0x84, 0xD2, 0x6D, 0x78, 0x7E, 0x7F, 0x55, 
0x06, 0x04, 0xD0, 0xA1, 0x34, 0x76, 0xEE, 0x61, 0x64, 0xB8, 0x29, 0xCB, 0x36, 0xD4, 0x72, 0x3E, 
0x03, 0xDF, 0x00, 0xA3, 0x89, 0xBD, 0x57, 0x9A, 0xDC, 0x23, 0xC2, 0x13, 0x14, 0xFE, 0xC4, 0x9E, 
0x73, 0x5D, 0x85, 0xC7, 0xC0, 0xFA, 0x62, 0x6B, 0xA9, 0x9C, 0x87, 0x40, 0x7A, 0xED, 0x70, 0x27, 
0x4C, 0x8C, 0x71, 0x28, 0x66, 0xC6, 0xD5, 0x1F, 0x42, 0x2C, 0x3B, 0xD6, 0x82, 0xC1, 0xAA, 0x17, 
NL=104
