target sbox:
0xF0, 0x57, 0xF9, 0x83, 0xA6, 0xA3, 0x1A, 0x1D, 0x78, 0x12, 0x80, 0x9E, 0xC3, 0x6D, 0x8B, 0x6E, 
0x46, 0xDE, 0x8C, 0xCA, 0x16, 0x31, 0xDA, 0x93, 0x11, 0x7B, 0x55, 0x5E, 0xBB, 0xDF, 0xEE, 0xD3, 
0x88, 0x2B, 0x69, 0xCB, 0xDD, 0x02, 0x87, 0x06, 0x5B, 0xF6, 0x01, 0xD0, 0x91, 0x09, 0x37, 0x1F, 
0x40, 0x5D, 0x4F, 0xAB, 0x2C, 0x03, 0x90, 0x9D, 0xD6, 0xEC, 0x9C, 0xAF, 0x84, 0x21, 0xE7, 0xCD, 
0x86, 0xB6, 0x9F, 0x00, 0x10, 0xFE, 0x39, 0xB0, 0x17, 0x8A, 0xB9, 0x04, 0x61, 0x43, 0x59, 0x0C, 
0x0A, 0x38, 0x50, 0xAC, 0xB7, 0x70, 0xF2, 0x3E, 0x2A, 0x23, 0xEF, 0x79, 0x89, 0xC6, 0xA0, 0xB2, 
0xD8, 0xFA, 0x74, 0xE4, 0xE1, 0x49, 0x82, 0x36, 0x5C, 0xC1, 0x3C, 0xF1, 0xA2, 0x35, 0xC5, 0xA7, 
0x28, 0x19, 0x6C, 0xFC, 0x24, 0x0F, 0x48, 0x76, 0xE0, 0x85, 0xEB, 0x5A, 0xA4, 0x52, 0x3A, 0x8E, 
0xCF, 0xA9, 0xCE, 0x7D, 0x54, 0xAD, 0x13, 0x0D, 0x0B, 0x95, 0x92, 0x8F, 0xD7, 0xBE, 0x81, 0xC2, 
0x45, 0x53, 0x4E, 0xD4, 0xA8, 0x47, 0x6F, 0xA5, 0x29, 0x07, 0xF4, 0x6A, 0x2F, 0x62, 0xF8, 0x63, 
0xED, 0x68, 0x7F, 0x33, 0xBA, 0x99, 0xBC, 0xC4, 0x25, 0x8D, 0x32, 0xE5, 0x97, 0x9A, 0x4B, 0x18, 
0x60, 0x05, 0xFB, 0x26, 0xE6, 0xB1, 0x64, 0xE9, 0xD2, 0x42, 0x66, 0xEA, 0x30, 0xCC, 0xFF, 0xF3, 
0x7E, 0x5F, 0x72, 0x3B, 0xDC, 0x51, 0xDB, 0x6B, 0x2E, 0xBF, 0xAE, 0x15, 0x94, 0x1C, 0x20, 0xE2, 
0xE3, 0xD1, 0x7C, 0xC9, 0x08, 0x2D, 0x22, 0x58, 0xB3, 0xF7, 0xB4, 0xE8, 0x9B, 0xB8, 0xF5, 0x4D, 
0x4A, 0xC7, 0x1B, 0x4C, 0xC8, 0x34, 0xAA, 0x3D, 0x75, 0xBD, 0x27, 0x1E, 0x56, 0xFD, 0x7A, 0x96, 
0x65, 0x73, 0x67, 0x41, 0xC0, 0x0E, 0x3F, 0x44, 0x14, 0xD5, 0xB5, 0x71, 0x77, 0x98, 0xA1, 0xD9, 
NL=104
