target sbox:
0x41, 0xB1, 0x85, 0x1D, 0x18, 0x27, 0x98, 0xF0, 0xA6, 0x26, 0xAE, 0x46, 0xF3, 0x19, 0x83, 0xE3, 
0x4B, 0xB8, 0x62, 0x2F, 0x48, 0x30, 0x12, 0xEB, 0xE6, 0x23, 0x78, 0x5A, 0xA0, 0xEC, 0x51, 0x42, 
0x88, 0xD5, 0xEE, 0xB4, 0x67, 0xEA, 0x2C, 0xCC, 0x7F, 0x72, 0xFF, 0x96, 0x38, 0xDE, 0x7B, 0xF9, 
0xEF, 0x9B, 0x6B, 0xB0, 0x76, 0x9F, 0x80, 0xC3, 0x55, 0x82, 0x9A, 0xCE, 0x61, 0xE9, 0xC6, 0x70, 
0x91, 0xB2, 0x5F, 0x6F, 0x14, 0x68, 0xD9, 0x2A, 0x57, 0x99, 0x8A, 0x0E, 0x75, 0xE0, 0xAA, 0xC1, 
0xAD, 0xFB, 0xCF, 0x07, 0xE7, 0x08, 0x28, 0x7C, 0x32, 0xB6, 0x45, 0xF1, 0x03, 0x05, 0x60, 0xAF, 
0x1C, 0xBB, 0x9E, 0xF5, 0xA5, 0xC5, 0x06, 0x2D, 0x92, 0xB7, 0x3B, 0x4E, 0x39, 0x9D, 0xB3, 0x54, 
0xFA, 0xA2, 0xFE, 0x21, 0x6E, 0xCD, 0x2E, 0x95, 0x25, 0x5D, 0xD2, 0xD0, 0x84, 0x6A, 0xBA, 0xE2, 
0x5C, 0xC7, 0x50, 0x49, 0x56, 0x04, 0x1E, 0x09, 0xE4, 0xBF, 0x37, 0xA9, 0xAC, 0xA8, 0xDB, 0xD3, 
0xBD, 0xF4, 0x13, 0xF6, 0x33, 0x3D, 0xC0, 0x97, 0x4A, 0x36, 0x7A, 0x73, 0x64, 0xF7, 0x4D, 0x5B, 
0x1F, 0x10, 0xFC, 0xC9, 0xE1, 0xA3, 0x2B, 0x24, 0x43, 0x93, 0x16, 0xC8, 0x53, 0x3C, 0x22, 0x3F, 
0x31, 0x65, 0xA7, 0x8F, 0x0D, 0x0A, 0x20, 0xD8, 0xA1, 0x0B, 0x4C, 0x02, 0x00, 0xBC, 0xC2, 0xB9, 
0xCB, 0x6D, 0x77, 0x86, 0x47, 0xF2, 0x1A, 0xCA, 0x8B, 0x79, 0x59, 0x9C, 0xDF, 0x6C, 0x52, 0xE5, 
0xD6, 0x63, 0xF8, 0x01, 0x74, 0x89, 0x11, 0x29, 0x94, 0xFD, 0xBE, 0x8D, 0x81, 0x7D, 0x17, 0x44, 
0x8C, 0xED, 0x4F, 0x7E, 0x71, 0x40, 0xD7, 0x1B, 0xDD, 0x66, 0x34, 0x15, 0x0C, 0x35, 0x87, 0x5E, 
0x3A, 0xC4, 0xE8, 0x3E, 0xD1, 0x69, 0x8E, 0xAB, 0x90, 0xD4, 0xA4, 0xB5, 0x0F, 0xDC, 0xDA, 0x58, 
NL=104
