target sbox:
0x9E, 0x81, 0x72, 0x06, 0x25, 0x56, 0x2B, 0xEF, 0x4E, 0xDD, 0xA7, 0x4D, 0x7A, 0xFF, 0xB4, 0x36, 
0x5A, 0xCD, 0xDF, 0xC7, 0x0E, 0x9D, 0xC2, 0x80, 0x05, 0xEE, 0x38, 0xE5, 0xF9, 0xE8, 0xB9, 0x3A, 
0x40, 0xE0, 0x27, 0xC8, 0x6F, 0x7D, 0xCC, 0xC3, 0x73, 0x96, 0x49, 0xB6, 0x86, 0x0D, 0x09, 0x2F, 
0x0A, 0x83, 0x18, 0xBD, 0xD7, 0x85, 0x26, 0x92, 0xEA, 0xDB, 0x34, 0x5B, 0x28, 0xD1, 0x51, 0x69, 
0x1B, 0xF5, 0x4A, 0x19, 0xC6, 0x2A, 0xB2, 0xFE, 0x59, 0xBA, 0xCB, 0x39, 0xF7, 0x00, 0x7C, 0xB0, 
0xD6, 0x47, 0x24, 0x8A, 0x35, 0x74, 0x23, 0x5E, 0x8C, 0x98, 0x87, 0xD4, 0xED, 0x31, 0x08, 0xFC, 
0x63, 0x2D, 0xB8, 0x43, 0x8E, 0x77, 0x67, 0xA4, 0x21, 0x9A, 0x97, 0xFD, 0xAD, 0xF1, 0xB3, 0x20, 
0x89, 0xD8, 0xEC, 0xDC, 0xA2, 0x12, 0xB1, 0xF6, 0x71, 0xC9, 0x4C, 0x3F, 0x50, 0x4B, 0x9B, 0x5D, 
0xE9, 0xF8, 0x48, 0x03, 0x88, 0x46, 0x15, 0x45, 0xE3, 0x3B, 0xB5, 0x93, 0x95, 0xFB, 0x6B, 0x6D, 
0xAC, 0x52, 0x11, 0x14, 0xCA, 0x82, 0x55, 0x70, 0x2E, 0x04, 0xA3, 0xF4, 0xA0, 0x64, 0x2C, 0xCE, 
0x58, 0xDE, 0xEB, 0x42, 0x9C, 0x54, 0x7E, 0xC0, 0x41, 0x1C, 0x0F, 0x17, 0xF3, 0xBB, 0xE1, 0x16, 
0x7B, 0x10, 0xA6, 0x29, 0x53, 0xAF, 0x1A, 0xBF, 0x01, 0x32, 0x8B, 0x6E, 0x84, 0x30, 0xA5, 0x37, 
0x0C, 0x33, 0xE6, 0x1E, 0x75, 0x62, 0xF0, 0x99, 0xAB, 0x3D, 0x68, 0x65, 0x02, 0xFA, 0x5F, 0x8D, 
0xC5, 0xC1, 0x61, 0x22, 0xD2, 0xE7, 0x6C, 0x78, 0xB7, 0x8F, 0x44, 0xA8, 0x90, 0x6A, 0xD5, 0x66, 
0x4F, 0x3E, 0x1D, 0xA9, 0xE2, 0xBC, 0xAE, 0x94, 0xCF, 0xD3, 0x0B, 0x7F, 0x79, 0xE4, 0xBE, 0x5C, 
0x9F, 0x3C, 0xC4, 0xA1, 0xF2, 0x91, 0xD0, 0x07, 0xAA, 0x76, 0x13, 0xD9, 0x1F, 0x60, 0x57, 0xDA, 
NL=104
