target sbox:
0x59, 0x45, 0xFD, 0x03, 0x1F, 0xD5, 0xE9, 0x4E, 0x04, 0x3A, 0x7B, 0x9A, 0x9F, 0xEF, 0x91, 0x12, 
0x0E, 0x68, 0x49, 0xF8, 0x97, 0x9D, 0xC4, 0x98, 0xA2, 0xB0, 0xC0, 0x1D, 0x72, 0xA0, 0x3D, 0x81, 
0x16, 0xC6, 0x0B, 0xFC, 0x6B, 0x24, 0x7C, 0xD8, 0xF4, 0xDA, 0xD9, 0x60, 0xDF, 0xE8, 0x51, 0x53, 
0x8D, 0x8A, 0xF9, 0xD2, 0x83, 0xB9, 0x1A, 0xFA, 0x65, 0x37, 0xD4, 0x6D, 0xDC, 0xC9, 0x7A, 0xB3, 
0x57, 0x25, 0x00, 0xAD, 0xA1, 0x9E, 0x09, 0x36, 0x27, 0x14, 0x74, 0x40, 0x1B, 0xD7, 0x9B, 0x3F, 
0xB5, 0x01, 0x43, 0x0C, 0x22, 0x19, 0xEE, 0x5D, 0x2E, 0xE7, 0x30, 0x8B, 0xBB, 0xD3, 0x08, 0xC2, 
0x11, 0x93, 0xCD, 0x07, 0x67, 0xF1, 0xC7, 0xCE, 0x2D, 0x05, 0x4C, 0xD0, 0x1C, 0x41, 0x4A, 0x56, 
0x2A, 0x6E, 0x5C, 0xED, 0x5B, 0xB1, 0xC1, 0x21, 0x84, 0xC3, 0x5E, 0xE4, 0x78, 0x79, 0x85, 0x73, 
0xDB, 0xBF, 0x8F, 0x7F, 0x61, 0x75, 0xAF, 0xAE, 0x2C, 0x10, 0x6F, 0x6C, 0x33, 0xE1, 0x88, 0xE3, 
0xBA, 0xA9, 0x55, 0x86, 0xEC, 0x80, 0x82, 0xAB, 0x35, 0x4D, 0xA8, 0x13, 0x4F, 0x18, 0x29, 0x4B, 
0x69, 0x54, 0xBC, 0x77, 0x2F, 0x50, 0x52, 0xC5, 0x3C, 0x8C, 0x42, 0x3B, 0x5F, 0xD6, 0x28, 0xDD, 
0xB6, 0x47, 0x94, 0x0A, 0xB7, 0xEA, 0x46, 0x92, 0x3E, 0x0F, 0x58, 0xE6, 0x99, 0x34, 0xB2, 0xFE, 
0x87, 0x76, 0xAC, 0xCC, 0xCF, 0x32, 0xF7, 0xE0, 0x2B, 0x70, 0x1E, 0xF5, 0x9C, 0x0D, 0x90, 0x06, 
0x38, 0x31, 0xFF, 0xA6, 0xB4, 0xFB, 0xDE, 0x5A, 0x15, 0xA5, 0xCA, 0x62, 0x66, 0x6A, 0x44, 0xB8, 
0x89, 0x8E, 0x17, 0xE5, 0xF6, 0x7E, 0x71, 0x48, 0x96, 0x39, 0xCB, 0x23, 0xF2, 0x02, 0x63, 0x64, 
0xAA, 0x20, 0xE2, 0x26, 0x95, 0xA7, 0xC8, 0xBE, 0xF0, 0xBD, 0xEB, 0xA3, 0x7D, 0xD1, 0xA4, 0xF3, 
NL=104
