target sbox:
0xD1, 0xF5, 0x77, 0x88, 0x0C, 0x06, 0x78, 0xDA, 0x1D, 0x65, 0x80, 0xED, 0xA6, 0x3E, 0x6B, 0x41, 
0x0F, 0xD5, 0xEE, 0x50, 0xB2, 0x9F, 0x83, 0x6D, 0x9A, 0xFF, 0x3D, 0x63, 0x33, 0x3B, 0x75, 0x91, 
0x70, 0x40, 0x1E, 0x9B, 0xC9, 0x31, 0xC8, 0xA1, 0xB7, 0x14, 0x76, 0x15, 0xBD, 0xCB, 0x95, 0xA3, 
0x9C, 0x5C, 0x98, 0x8D, 0x28, 0xAC, 0xBA, 0x68, 0x39, 0xA4, 0x09, 0x6F, 0xE2, 0xFD, 0x74, 0xF4, 
0xAB, 0xB1, 0x85, 0x1F, 0xEB, 0x84, 0x12, 0x3F, 0x7D, 0x5B, 0xF0, 0x4B, 0x62, 0x58, 0xBC, 0x6C, 
0x30, 0xEC, 0x16, 0x4C, 0xF7, 0xA5, 0x2D, 0x1A, 0x3C, 0x72, 0x71, 0x9D, 0x86, 0xDB, 0x2C, 0x69, 
0x37, 0x26, 0x00, 0x93, 0x49, 0xE1, 0x43, 0x6A, 0xC2, 0xA9, 0x60, 0x67, 0xE6, 0xFA, 0xEA, 0x4E, 
0x13, 0x5A, 0xDF, 0x38, 0xB9, 0x17, 0x45, 0x20, 0x99, 0x89, 0x61, 0x4A, 0xF6, 0x04, 0xB8, 0x47, 
0x7F, 0xD8, 0xD9, 0xF9, 0x2E, 0x90, 0x8C, 0xBF, 0xC0, 0x96, 0xF8, 0x23, 0xAE, 0x55, 0x03, 0x66, 
0xBE, 0x4D, 0xFB, 0xFC, 0x64, 0x0D, 0x42, 0x7A, 0x0A, 0xE5, 0x7C, 0xDE, 0x7B, 0xC3, 0x8A, 0xD3, 
0x1C, 0xC5, 0xB3, 0x18, 0x57, 0x92, 0x10, 0x36, 0x2A, 0x6E, 0xCD, 0xC4, 0x59, 0xB6, 0x5F, 0xEF, 
0xCF, 0xB4, 0xA7, 0x05, 0x02, 0xB5, 0xD7, 0xF2, 0xCC, 0x9E, 0x44, 0xCE, 0xE3, 0xBB, 0xE0, 0x24, 
0xC1, 0xDD, 0x0B, 0x34, 0x52, 0x5E, 0xB0, 0x56, 0x3A, 0x22, 0x01, 0xA8, 0xF1, 0x2B, 0x54, 0x48, 
0xAD, 0xE4, 0x82, 0x53, 0x27, 0x35, 0xF3, 0x19, 0x0E, 0x07, 0x2F, 0x1B, 0x25, 0xD2, 0x79, 0xD4, 
0x4F, 0xD6, 0x8B, 0xCA, 0xE8, 0xE9, 0xC6, 0xD0, 0x8E, 0x7E, 0xE7, 0x08, 0xA2, 0x94, 0x21, 0x87, 
0x32, 0x97, 0x46, 0x8F, 0x5D, 0x51, 0x81, 0x11, 0xA0, 0xAA, 0xC7, 0x29, 0x73, 0xAF, 0xDC, 0xFE, 
NL=104
