target sbox:
0xB5, 0x05, 0x7D, 0x41, 0xB4, 0xEF, 0x8F, 0x16, 0xCE, 0xDA, 0x1D, 0x9E, 0xA5, 0x3A, 0x01, 0x85, 
0x77, 0x5D, 0x24, 0x6B, 0x80, 0x6A, 0xC2, 0xBB, 0x4A, 0xBF, 0xBA, 0xDE, 0x52, 0xC3, 0xCC, 0x8C, 
0xDB, 0x69, 0x2B, 0x5C, 0x65, 0x35, 0x04, 0x81, 0x9C, 0x5E, 0xF6, 0xFE, 0x78, 0x7F, 0xD9, 0xC8, 
0x9A, 0xF2, 0xD7, 0xE9, 0x6F, 0x95, 0x8E, 0xD5, 0xB8, 0x21, 0xAF, 0x29, 0x03, 0x2D, 0x90, 0x6C, 
0xFA, 0x66, 0x07, 0x8A, 0xB9, 0x19, 0x18, 0x73, 0x30, 0x4B, 0x3D, 0x63, 0xCF, 0x34, 0x72, 0x45, 
0x47, 0x22, 0xFC, 0x0A, 0x37, 0x3C, 0x44, 0x4E, 0x6E, 0x7C, 0xF4, 0x1A, 0xAB, 0xE4, 0xA1, 0x74, 
0x62, 0x42, 0xD1, 0xD0, 0xBC, 0xE7, 0xCB, 0x64, 0xE3, 0xAD, 0xFF, 0xAE, 0x4F, 0x40, 0xB6, 0x1E, 
0xAC, 0x87, 0x3B, 0xC9, 0x4D, 0x1F, 0x7E, 0x4C, 0xC0, 0x48, 0xA8, 0xED, 0x8D, 0x02, 0x0D, 0xEE, 
0x28, 0x61, 0x2F, 0x13, 0xBE, 0x23, 0xA3, 0x9F, 0x53, 0xEB, 0xF3, 0x5A, 0x58, 0xC5, 0x6D, 0x67, 
0x59, 0x60, 0xB7, 0x5F, 0x82, 0x33, 0xE2, 0x17, 0x09, 0x11, 0xB1, 0x06, 0xF8, 0x3E, 0xE6, 0x84, 
0xA7, 0xD6, 0x3F, 0x94, 0x2A, 0x51, 0x8B, 0xC7, 0x2E, 0x7A, 0x91, 0x50, 0xBD, 0xDD, 0xA2, 0x75, 
0xDF, 0xC4, 0x68, 0x5B, 0x1B, 0xF0, 0xAA, 0xFD, 0x38, 0xD4, 0x1C, 0xE5, 0x55, 0x00, 0x0F, 0xA4, 
0x98, 0x93, 0x56, 0xCD, 0x92, 0xB3, 0x43, 0x25, 0x86, 0xA6, 0x12, 0xD3, 0xB0, 0xE1, 0xF7, 0x10, 
0x26, 0x97, 0x0B, 0x27, 0xC1, 0x99, 0xDC, 0x9B, 0x32, 0x71, 0x0C, 0x96, 0xD2, 0xE0, 0x70, 0xA9, 
0x49, 0x57, 0xD8, 0xEC, 0x2C, 0xE8, 0x31, 0x83, 0xC6, 0x39, 0xF1, 0x88, 0xA0, 0x15, 0x46, 0xCA, 
0x20, 0x76, 0x54, 0x08, 0xF5, 0x79, 0x36, 0xF9, 0x89, 0x9D, 0x0E, 0xEA, 0x14, 0xB2, 0x7B, 0xFB, 
NL=104
