target sbox:
0xF2, 0x83, 0xAA, 0xDE, 0xAC, 0xF8, 0xA4, 0x2B, 0xC2, 0x3A, 0x8E, 0xCA, 0xE6, 0xCD, 0xCE, 0x8F, 
0x60, 0x79, 0x40, 0x42, 0x81, 0x29, 0xF1, 0x5C, 0x88, 0xB4, 0x21, 0xBC, 0x4F, 0xFB, 0xC6, 0xB2, 
0x6D, 0x9C, 0x13, 0xD4, 0x94, 0x71, 0x0C, 0x55, 0x1B, 0xD1, 0x25, 0x24, 0xD8, 0x03, 0x80, 0xE5, 
0x50, 0x91, 0xF7, 0x8C, 0x39, 0x6B, 0xF9, 0xD5, 0xEA, 0x7A, 0x41, 0x6F, 0x86, 0x8B, 0xBE, 0x01, 
0x46, 0xA5, 0xE7, 0xAE, 0x61, 0x96, 0x3F, 0xF3, 0x5E, 0xCC, 0xFA, 0x2E, 0x44, 0x07, 0x74, 0x51, 
0xB3, 0xC8, 0x0B, 0x3D, 0xB7, 0xE3, 0x57, 0x0E, 0x1F, 0xE8, 0xC0, 0x97, 0x5D, 0x22, 0x56, 0x4A, 
0x8A, 0x3C, 0xA1, 0x2D, 0xD3, 0x1C, 0xB0, 0x20, 0xA3, 0xA0, 0xAF, 0x90, 0xDC, 0x32, 0x30, 0x93, 
0x63, 0x58, 0xDD, 0xB8, 0x9A, 0xEF, 0xB9, 0x64, 0x4B, 0x36, 0x53, 0x09, 0x05, 0xA7, 0x7E, 0x7D, 
0x59, 0xC1, 0xDA, 0x7C, 0x2A, 0x14, 0xDF, 0xF0, 0x6A, 0x77, 0x3E, 0x68, 0x84, 0x1E, 0x5F, 0x10, 
0xE9, 0x87, 0x73, 0xF6, 0x4D, 0xA6, 0xF5, 0x3B, 0x1A, 0x7B, 0x27, 0xEE, 0xFF, 0x18, 0x11, 0xFE, 
0xED, 0xDB, 0x17, 0x76, 0x15, 0x33, 0x0F, 0x5B, 0x08, 0x52, 0x34, 0xF4, 0x65, 0xE1, 0x9E, 0x02, 
0xD7, 0xD9, 0x9F, 0x49, 0xFD, 0x4C, 0x66, 0x31, 0xBB, 0x85, 0x82, 0x70, 0xD2, 0xC7, 0x98, 0xC4, 
0x37, 0xCB, 0xAD, 0xB5, 0x26, 0x0A, 0x99, 0x19, 0x6E, 0x38, 0x95, 0xA8, 0xEC, 0x7F, 0xC9, 0x78, 
0xD6, 0x48, 0x4E, 0xC5, 0xE2, 0x69, 0x6C, 0x9D, 0xA9, 0xBF, 0x12, 0xB6, 0x9B, 0x43, 0xBA, 0xBD, 
0x2C, 0x23, 0x75, 0x62, 0x67, 0x5A, 0x0D, 0xE4, 0x8D, 0xC3, 0x04, 0xE0, 0x45, 0xFC, 0xD0, 0x54, 
0xB1, 0x2F, 0x00, 0xA2, 0x16, 0x92, 0x72, 0x28, 0xCF, 0x35, 0xAB, 0x47, 0x06, 0xEB, 0x89, 0x1D, 
NL=104
