target sbox:
0xA7, 0xA1, 0x11, 0x80, 0xEB, 0xEC, 0x82, 0x67, 0x23, 0x22, 0x68, 0x20, 0x00, 0x5F, 0xE1, 0xFA, 
0xCC, 0x18, 0x09, 0xF8, 0x02, 0x34, 0xC2, 0x7F, 0x57, 0x17, 0x45, 0x64, 0xD1, 0x5B, 0xBB, 0xE6, 
0xE3, 0x10, 0xC0, 0x94, 0xD5, 0x55, 0x2A, 0x1A, 0xCF, 0xF6, 0x0B, 0x96, 0xA4, 0xDB, 0x15, 0xC4, 
0xBF, 0x4F, 0xE0, 0x9B, 0x31, 0x56, 0x6B, 0x46, 0x71, 0xED, 0xCD, 0xBC, 0x86, 0x8E, 0xCE, 0x8F, 
0xF0, 0x93, 0x5E, 0x8C, 0xE7, 0x16, 0x52, 0xC9, 0xC1, 0x84, 0xAC, 0x28, 0x62, 0x81, 0x21, 0x70, 
0x4D, 0x44, 0x01, 0x2E, 0xB6, 0xDC, 0x90, 0x14, 0x06, 0x9E, 0xAD, 0x4C, 0xEE, 0xFC, 0x99, 0x27, 
0x05, 0xDA, 0xFB, 0x30, 0xE9, 0x75, 0x63, 0xA2, 0x3A, 0xAA, 0x04, 0xC5, 0x29, 0x5C, 0x6D, 0xB5, 
0x47, 0x9A, 0x42, 0x53, 0x03, 0x2B, 0x9D, 0x3D, 0xD2, 0xC3, 0x7D, 0x4B, 0x48, 0x4E, 0x2C, 0x0E, 
0x26, 0xE5, 0x7E, 0xF1, 0x4A, 0x40, 0x74, 0x32, 0x54, 0xC7, 0x19, 0x0C, 0xC8, 0x98, 0x9C, 0x39, 
0xDF, 0x97, 0xDE, 0x1C, 0xCA, 0x1D, 0xAF, 0x6C, 0x3E, 0x8D, 0xD9, 0x37, 0x88, 0x50, 0xFE, 0xAB, 
0xE2, 0xBE, 0x1E, 0xD4, 0x69, 0x41, 0x0D, 0xB4, 0x77, 0x2F, 0xF9, 0x73, 0xD6, 0x49, 0xD3, 0xCB, 
0x5A, 0xD0, 0xB1, 0x6A, 0x58, 0x36, 0x24, 0x3F, 0xA0, 0xA5, 0x91, 0x3C, 0x66, 0x33, 0x38, 0xEA, 
0xFD, 0x43, 0x35, 0xF4, 0x13, 0x87, 0xA3, 0x1B, 0x79, 0x60, 0x2D, 0x6E, 0xA8, 0x07, 0xBD, 0x6F, 
0x7A, 0x08, 0xD8, 0xC6, 0x89, 0x8B, 0x7C, 0x72, 0xB0, 0x0F, 0x8A, 0xF5, 0x92, 0xA6, 0xE4, 0xAE, 
0xD7, 0xFF, 0x76, 0x1F, 0xEF, 0x0A, 0xB8, 0x83, 0x65, 0xF3, 0xE8, 0x12, 0xB3, 0x59, 0x78, 0x61, 
0xB7, 0x3B, 0xB9, 0xDD, 0x95, 0x25, 0x85, 0xBA, 0x5D, 0x51, 0xF7, 0x7B, 0xA9, 0xB2, 0x9F, 0xF2, 
NL=104
