target sbox:
0x2D, 0x4F, 0x96, 0x73, 0x7F, 0x1A, 0x9D, 0xF0, 0xBF, 0xA4, 0x18, 0xCD, 0xA1, 0xE3, 0x7B, 0x8E, 
0xD9, 0x48, 0xA7, 0xD0, 0x13, 0xF2, 0x38, 0xEE, 0x4C, 0x0B, 0xE4, 0x79, 0x9F, 0xE9, 0x7E, 0x1F, 
0xFF, 0xE6, 0xB4, 0x8F, 0xA5, 0x60, 0xB8, 0x5E, 0xA6, 0xC8, 0x0D, 0xDE, 0x74, 0x46, 0x26, 0xD3, 
0x3F, 0x43, 0x22, 0xC4, 0x3D, 0xDD, 0xC0, 0x7D, 0x55, 0x8D, 0x4B, 0x08, 0x05, 0x33, 0xC7, 0xAA, 
0xA2, 0xAD, 0x9B, 0x87, 0xB6, 0x1C, 0x90, 0xCA, 0xC2, 0x5F, 0xF9, 0x3A, 0x6F, 0x36, 0xA3, 0xFE, 
0x65, 0x59, 0x3C, 0x25, 0xF1, 0xDB, 0xCE, 0x24, 0xB1, 0xAF, 0x42, 0xF8, 0x66, 0x91, 0x99, 0x95, 
0x20, 0x6B, 0x5B, 0x61, 0x35, 0x64, 0x11, 0x28, 0x6A, 0x32, 0x84, 0x67, 0x21, 0x47, 0x0C, 0x4E, 
0x6D, 0xE2, 0x07, 0x53, 0x94, 0x9C, 0xD2, 0xCF, 0x7A, 0x29, 0x0A, 0xB3, 0xE8, 0x58, 0x80, 0xF6, 
0xBB, 0x15, 0x0E, 0x02, 0xD6, 0x5A, 0x34, 0xAC, 0x68, 0xF4, 0x00, 0xAB, 0xBE, 0x49, 0x3B, 0x45, 
0x27, 0xFB, 0x12, 0x3E, 0xE0, 0x10, 0xD1, 0xD7, 0xCC, 0xA0, 0x2E, 0x0F, 0xC3, 0x4A, 0xCB, 0xD8, 
0xD4, 0x2A, 0x75, 0x23, 0xFA, 0x82, 0xE5, 0x56, 0xEC, 0x17, 0x69, 0x14, 0xB7, 0xB9, 0x37, 0x52, 
0x39, 0x70, 0xC1, 0x2C, 0xC9, 0x57, 0xEA, 0xC5, 0x98, 0xBA, 0xEF, 0xEB, 0x40, 0x77, 0x54, 0xE7, 
0x8B, 0x31, 0x06, 0x88, 0x09, 0x6C, 0xF7, 0x50, 0x83, 0x7C, 0x92, 0x1E, 0x41, 0x9A, 0x78, 0x16, 
0xBD, 0xC6, 0xF3, 0xB5, 0x51, 0x81, 0xB0, 0x6E, 0xDF, 0xED, 0xB2, 0xF5, 0x30, 0x76, 0x44, 0xDA, 
0x2B, 0x72, 0xA8, 0x86, 0x4D, 0xE1, 0x1B, 0xAE, 0x85, 0x63, 0xDC, 0x62, 0xA9, 0x01, 0xBC, 0x1D, 
0x5C, 0xD5, 0x97, 0xFD, 0xFC, 0x04, 0x2F, 0x03, 0x8C, 0x5D, 0x71, 0x9E, 0x19, 0x93, 0x89, 0x8A, 
NL=104
