target sbox:
0xBE, 0x74, 0xF6, 0xB9, 0xC9, 0xA6, 0x3D, 0xC6, 0x7B, 0x8B, 0xC2, 0x6F, 0xD7, 0x8C, 0x1C, 0x16, 
0xE0, 0x89, 0x44, 0x8E, 0xDA, 0x08, 0x40, 0xB5, 0x45, 0xFC, 0x9C, 0xF3, 0xFE, 0x13, 0xC7, 0x0E, 
0x92, 0xB3, 0x7F, 0xA1, 0xA3, 0x0B, 0x8A, 0xEC, 0xD9, 0x84, 0x41, 0xAC, 0x24, 0x10, 0x1B, 0xC1, 
0x93, 0x4A, 0x53, 0x90, 0xC4, 0x31, 0x0D, 0x5B, 0x95, 0x75, 0x57, 0x28, 0x34, 0xFF, 0x66, 0xE8, 
0x5C, 0x56, 0x3B, 0xAD, 0xF5, 0x20, 0x88, 0xB4, 0x91, 0x1A, 0x65, 0xD5, 0x3F, 0xDD, 0x50, 0xA2, 
0xCC, 0x35, 0xBF, 0xF4, 0x55, 0x26, 0xCE, 0x96, 0x23, 0x79, 0x77, 0xEE, 0x2D, 0x7D, 0x9E, 0x3C, 
0x5D, 0xCF, 0xE5, 0x46, 0xD0, 0xF1, 0xB7, 0xDB, 0x6B, 0x4C, 0x07, 0xD1, 0xB8, 0x4B, 0x83, 0xEF, 
0x69, 0x9D, 0x67, 0xF8, 0x86, 0x71, 0xDF, 0x18, 0x7C, 0x4E, 0x54, 0xC3, 0xF9, 0xAA, 0x09, 0x73, 
0xE3, 0xE7, 0x68, 0xDE, 0xA5, 0xFB, 0x04, 0x52, 0x60, 0xE4, 0x4F, 0x78, 0xBD, 0x6D, 0xD8, 0x9A, 
0x43, 0x22, 0xAB, 0x32, 0x8D, 0x76, 0x97, 0xCD, 0x2F, 0x2C, 0x64, 0x33, 0x59, 0x00, 0xD6, 0xD4, 
0x7A, 0xC0, 0x58, 0x6E, 0x06, 0x01, 0xA0, 0xAE, 0x8F, 0x38, 0x72, 0x48, 0xA9, 0x15, 0xDC, 0x39, 
0x2B, 0xCB, 0x9B, 0xFA, 0x47, 0x3E, 0x1D, 0xE2, 0x6C, 0x30, 0x49, 0x9F, 0xC8, 0xBA, 0x1E, 0x94, 
0xB2, 0x36, 0x2A, 0x42, 0x12, 0x61, 0xA4, 0xA7, 0xEB, 0xAF, 0x87, 0x19, 0x81, 0x29, 0xF2, 0x0F, 
0x99, 0xB0, 0xF0, 0xD2, 0xE1, 0xA8, 0xED, 0x62, 0xF7, 0x7E, 0x21, 0xBC, 0x2E, 0x25, 0x0A, 0x03, 
0x3A, 0xD3, 0x4D, 0x37, 0xFD, 0x85, 0xB6, 0x05, 0x27, 0xC5, 0x98, 0x1F, 0x14, 0x0C, 0xB1, 0x82, 
0x6A, 0xBB, 0x11, 0xEA, 0x70, 0x5A, 0x63, 0xE9, 0x80, 0x02, 0x51, 0x5F, 0x17, 0xCA, 0x5E, 0xE6, 
NL=104
