target sbox:
0xB5, 0xC5, 0x5B, 0x45, 0x3B, 0xDD, 0x39, 0x08, 0x91, 0x49, 0x30, 0x02, 0x80, 0x3D, 0x28, 0x01, 
0xF8, 0x63, 0xDB, 0x33, 0x44, 0x2F, 0x85, 0x6D, 0x83, 0xA1, 0xE7, 0x2A, 0x79, 0xA6, 0xCF, 0x51, 
0x16, 0x23, 0x64, 0xCC, 0x12, 0xB9, 0x7C, 0x1E, 0xF6, 0xBF, 0xAC, 0x9E, 0x4B, 0x00, 0x0F, 0xEF, 
0xE2, 0xD5, 0x67, 0xD8, 0x8E, 0x8B, 0x8F, 0xCA, 0x50, 0x38, 0xC2, 0xDE, 0xE3, 0x2B, 0x60, 0xBD, 
0x86, 0x2E, 0xEE, 0x52, 0xEC, 0x48, 0xA5, 0x9A, 0xA8, 0xF2, 0x6A, 0x96, 0x06, 0xE6, 0xBB, 0xF5, 
0x98, 0x42, 0x7F, 0x74, 0x55, 0x24, 0x77, 0x18, 0x05, 0x81, 0x9F, 0x1F, 0x29, 0xB3, 0x19, 0x4E, 
0x10, 0xAA, 0x5D, 0x31, 0xF1, 0x0C, 0x0A, 0x9D, 0x1C, 0x56, 0xE0, 0x32, 0x27, 0xF7, 0xB0, 0xFD, 
0x95, 0xB7, 0xB4, 0xAF, 0x8D, 0x0E, 0xB2, 0xBA, 0x15, 0xD7, 0xE9, 0xFC, 0x04, 0x93, 0x7E, 0x4A, 
0x37, 0x65, 0xEA, 0x41, 0xC1, 0x3E, 0x8A, 0x82, 0x72, 0x88, 0x17, 0xD9, 0xA7, 0x54, 0x6E, 0x71, 
0x21, 0x59, 0x8C, 0x2C, 0xDF, 0x14, 0xEB, 0x58, 0x62, 0x7A, 0x84, 0xC4, 0x03, 0x20, 0x36, 0xF0, 
0xA4, 0xCD, 0x1A, 0x34, 0x3A, 0x43, 0x5A, 0x1D, 0x07, 0x73, 0x99, 0x53, 0x40, 0x26, 0x97, 0xD0, 
0xC0, 0x69, 0xE5, 0xC8, 0x1B, 0x6F, 0xD6, 0x75, 0xA3, 0xAD, 0x9B, 0x11, 0x4C, 0xA2, 0xA0, 0x22, 
0xCE, 0x13, 0xFE, 0x5F, 0xAB, 0x4F, 0x94, 0xFB, 0xBC, 0x9C, 0x47, 0x76, 0x66, 0xED, 0x5C, 0xBE, 
0xD1, 0x25, 0xD4, 0xDA, 0x90, 0x3F, 0xB6, 0xA9, 0xFF, 0x7B, 0xE4, 0x2D, 0x4D, 0x57, 0xAE, 0xDC, 
0x92, 0xB8, 0xC9, 0x7D, 0xE1, 0xC6, 0xB1, 0x0D, 0xD3, 0x87, 0x5E, 0xC7, 0xD2, 0x0B, 0x09, 0x61, 
0xC3, 0xCB, 0x6B, 0x78, 0x35, 0x68, 0x70, 0xFA, 0xE8, 0x3C, 0x6C, 0xF9, 0xF4, 0x89, 0x46, 0xF3, 
NL=104
