target sbox:
0xD1, 0x07, 0x05, 0xA1, 0x17, 0xFC, 0xCF, 0x58, 0xD5, 0xA0, 0x8F, 0x0B, 0x29, 0xBA, 0xF2, 0xAC, 
0xF0, 0x30, 0x77, 0x3F, 0x19, 0x51, 0xE7, 0xD6, 0xFD, 0xDF, 0x67, 0xBE, 0x00, 0x23, 0xA4, 0x5F, 
0x2A, 0x1D, 0xE3, 0x32, 0x8C, 0x24, 0x45, 0x74, 0x03, 0x28, 0x9D, 0x20, 0x69, 0xF1, 0xBC, 0x31, 
0x1E, 0x06, 0x6A, 0xCA, 0x65, 0xF6, 0xA8, 0x2F, 0x99, 0x61, 0x95, 0x1B, 0x97, 0xC6, 0x33, 0x48, 
0x42, 0x54, 0x73, 0x09, 0x93, 0xE4, 0x80, 0x82, 0x64, 0xB5, 0x57, 0x7A, 0x14, 0x81, 0x5B, 0xFA, 
0xB6, 0xA9, 0xBD, 0x9A, 0x5D, 0xDE, 0xB2, 0x78, 0xE0, 0xBF, 0xB1, 0xCE, 0xF5, 0xA7, 0x6D, 0x8B, 
0x2B, 0xF9, 0xB0, 0x53, 0xE6, 0xC4, 0x89, 0x85, 0xC8, 0xED, 0xC9, 0x0E, 0x44, 0x75, 0x8D, 0xEB, 
0xCB, 0x8A, 0x70, 0x91, 0x10, 0xBB, 0xC1, 0x27, 0x11, 0x52, 0x6B, 0x37, 0x3E, 0x2C, 0xF8, 0x47, 
0xC7, 0x4E, 0x96, 0xD7, 0x02, 0x4B, 0x88, 0xC3, 0xB7, 0x21, 0xF7, 0x7D, 0xDC, 0x08, 0xAB, 0x6F, 
0xF3, 0x90, 0xC2, 0xEE, 0x3D, 0x9F, 0x3C, 0x1F, 0x87, 0xA6, 0x04, 0xAA, 0xDD, 0x39, 0x01, 0xD3, 
0x1C, 0xA5, 0xE1, 0xAE, 0x68, 0x50, 0x25, 0xB3, 0xD9, 0x9C, 0x0A, 0x46, 0x7C, 0xA3, 0x12, 0x38, 
0xE5, 0xA2, 0xC5, 0xB8, 0x1A, 0x15, 0x98, 0x3B, 0x13, 0xEA, 0xC0, 0xEC, 0x62, 0x6E, 0x94, 0x34, 
0x76, 0x26, 0x83, 0x7E, 0x3A, 0x71, 0xAD, 0x5C, 0x36, 0x4A, 0x8E, 0x56, 0x4C, 0xE9, 0x0C, 0xD4, 
0xB9, 0x41, 0x84, 0x86, 0x2E, 0x16, 0xB4, 0x55, 0x49, 0xFF, 0x0D, 0x2D, 0x79, 0x60, 0xEF, 0x6C, 
0xFE, 0x7B, 0xE8, 0x59, 0xCC, 0x4D, 0xCD, 0x18, 0x63, 0xD8, 0x0F, 0x4F, 0xE2, 0x9B, 0x92, 0x9E, 
0x43, 0x5E, 0x5A, 0xDA, 0xDB, 0x66, 0xAF, 0xD0, 0xFB, 0x35, 0x72, 0xD2, 0xF4, 0x40, 0x22, 0x7F, 
NL=104
