target sbox:
0x34, 0x3D, 0x2E, 0x73, 0xA6, 0x33, 0xBF, 0xD9, 0xAD, 0x69, 0xDF, 0x1D, 0xF8, 0x29, 0xCA, 0x2D, 
0x10, 0x79, 0xC6, 0x59, 0x1A, 0x52, 0x5E, 0xA2, 0x09, 0xBB, 0xD4, 0x1B, 0x47, 0xE0, 0xD0, 0x87, 
0x15, 0x45, 0x30, 0x3E, 0x8F, 0x1C, 0x86, 0xDB, 0xFF, 0x41, 0x3A, 0x67, 0x80, 0x62, 0xD3, 0x24, 
0xF5, 0xE1, 0xCE, 0xB0, 0xEC, 0x02, 0x7C, 0x11, 0x54, 0xC8, 0x37, 0xA7, 0xA8, 0x36, 0x50, 0x07, 
0x66, 0x8A, 0xC9, 0xEE, 0x56, 0x6F, 0x42, 0x68, 0x17, 0x58, 0x75, 0x19, 0xE4, 0x4F, 0x91, 0x9E, 
0x9B, 0x14, 0x53, 0xA9, 0x51, 0x97, 0x7A, 0x6D, 0xFB, 0x13, 0x2B, 0x18, 0xED, 0x6C, 0xC4, 0x72, 
0xAC, 0x96, 0xC3, 0xF7, 0x08, 0xCB, 0x89, 0x63, 0x61, 0xB8, 0x00, 0x2A, 0xB3, 0x85, 0x60, 0x38, 
0x1E, 0xA3, 0xE7, 0xB2, 0x49, 0xC0, 0x5A, 0x95, 0x76, 0x32, 0x23, 0x3B, 0xA4, 0xF2, 0x21, 0x6E, 
0x7F, 0x8B, 0xF3, 0x98, 0x0D, 0x39, 0x16, 0x64, 0x35, 0x31, 0x4B, 0xFC, 0x1F, 0x0A, 0xE8, 0x22, 
0x3F, 0xBC, 0x6A, 0x40, 0x2F, 0xD1, 0x28, 0x43, 0x93, 0xC5, 0x0F, 0x12, 0x78, 0x90, 0x83, 0xF4, 
0xC1, 0x0C, 0x5B, 0xF1, 0xFA, 0x71, 0xDA, 0x05, 0x25, 0xA1, 0xD8, 0x77, 0x3C, 0x0E, 0x81, 0x27, 
0x7B, 0x92, 0x9F, 0xE9, 0x6B, 0x57, 0x88, 0xC2, 0x5C, 0x74, 0x9A, 0x8D, 0x4D, 0x99, 0xFE, 0xB1, 
0xF9, 0x7E, 0xAE, 0x70, 0xD5, 0xDD, 0x9D, 0xD6, 0xAF, 0x4A, 0xCF, 0x55, 0xB7, 0x46, 0x84, 0x82, 
0x94, 0xF6, 0x01, 0xB5, 0x5D, 0xBD, 0xEF, 0x0B, 0x20, 0x65, 0x4E, 0xEB, 0xD7, 0x4C, 0xB9, 0xCC, 
0xE6, 0x26, 0xE3, 0xDC, 0xFD, 0x48, 0x5F, 0xE2, 0xC7, 0xB6, 0xD2, 0xA5, 0xCD, 0xB4, 0xEA, 0xE5, 
0x9C, 0x7D, 0xBE, 0x04, 0x44, 0x06, 0xA0, 0x2C, 0xBA, 0xF0, 0x8E, 0x03, 0x8C, 0xAB, 0xAA, 0xDE, 
NL=104
