target sbox:
0x97, 0x99, 0xDC, 0xD8, 0xC6, 0x62, 0xFA, 0xE0, 0x25, 0x70, 0xBD, 0x63, 0x77, 0x3C, 0xBC, 0x06, 
0x74, 0x6D, 0xE3, 0x39, 0xA3, 0x78, 0x7E, 0x45, 0x95, 0xB9, 0xB4, 0x6F, 0x3B, 0xB5, 0x7B, 0x1C, 
0x71, 0x1E, 0xED, 0xE5, 0xBF, 0xD6, 0x32, 0x17, 0x2A, 0x7C, 0xE2, 0x7A, 0x66, 0x61, 0x83, 0xF0, 
0x7F, 0xD4, 0x2B, 0xEC, 0xC3, 0x1F, 0x2C, 0xFD, 0xA8, 0x51, 0x15, 0xD7, 0xE8, 0xD5, 0x2D, 0xE9, 
0x93, 0x05, 0x6E, 0x1A, 0xAF, 0x79, 0x28, 0xCE, 0x26, 0xE6, 0x9D, 0xEE, 0xAC, 0xF6, 0x5C, 0xAA, 
0x22, 0x4C, 0xDF, 0xCF, 0x5A, 0x72, 0x16, 0xF1, 0x8F, 0x57, 0x0E, 0x0A, 0xCB, 0x1D, 0x3D, 0xDD, 
0xB6, 0xC2, 0x65, 0x56, 0x21, 0xDA, 0x84, 0xC8, 0xB1, 0xB8, 0x98, 0xB2, 0x02, 0x90, 0xAD, 0x64, 
0x0F, 0x4F, 0x20, 0xE1, 0x34, 0x14, 0x73, 0x4B, 0x13, 0x86, 0x23, 0x29, 0xFC, 0x1B, 0x8D, 0xF2, 
0xCC, 0x38, 0x80, 0x5F, 0x96, 0xD1, 0xB3, 0x92, 0xFB, 0x07, 0x76, 0x40, 0xF3, 0x4D, 0x42, 0xE7, 
0x35, 0x3A, 0x08, 0x7D, 0xC1, 0xA4, 0x85, 0xBB, 0x75, 0x9A, 0x3E, 0x53, 0xA0, 0x9E, 0x10, 0xD3, 
0x5E, 0xAE, 0x01, 0xB7, 0xF4, 0xC5, 0xBE, 0x50, 0xC0, 0xD9, 0x09, 0x3F, 0xF9, 0xA7, 0x36, 0x4A, 
0x30, 0x0D, 0x58, 0x68, 0xCA, 0x52, 0x59, 0x88, 0xF7, 0x94, 0x00, 0xC7, 0x24, 0x49, 0x44, 0x18, 
0x6B, 0x9C, 0x2E, 0x9B, 0x47, 0x5B, 0xC9, 0x69, 0x82, 0x27, 0x81, 0xA9, 0xA1, 0x43, 0x9F, 0x8E, 
0x12, 0xD2, 0xF5, 0xDE, 0x0B, 0x11, 0x19, 0xCD, 0x89, 0xDB, 0xB0, 0xEA, 0xEB, 0x55, 0x48, 0x6C, 
0xFF, 0x91, 0x54, 0xE4, 0xBA, 0x8C, 0x4E, 0x60, 0xFE, 0x6A, 0xA6, 0x8A, 0x5D, 0x2F, 0x03, 0x31, 
0x87, 0xF8, 0x41, 0x46, 0xEF, 0xD0, 0xA5, 0x67, 0x0C, 0x8B, 0xAB, 0x37, 0x33, 0xA2, 0x04, 0xC4, 
NL=104
