target sbox:
0x3B, 0x2D, 0xD8, 0x5D, 0xBA, 0x3C, 0xDA, 0x27, 0x4B, 0x0A, 0x4D, 0x87, 0xB5, 0x81, 0x49, 0xE4, 
0x3E, 0x88, 0x32, 0x59, 0x8F, 0x2A, 0x5B, 0x5E, 0xFD, 0x82, 0xC0, 0xA4, 0x54, 0x7C, 0x1D, 0x9B, 
0x16, 0xBB, 0x61, 0xA1, 0xB7, 0xF4, 0xA8, 0xAB, 0x8A, 0xB0, 0x40, 0x30, 0x56, 0xD2, 0x13, 0xBE, 
0x0B, 0x0C, 0x3F, 0x11, 0xB2, 0x53, 0x4F, 0xC7, 0x0F, 0x34, 0xDB, 0xCF, 0x46, 0xAA, 0xFF, 0xE7, 
0xA7, 0x09, 0x26, 0xD4, 0xD5, 0xF1, 0x66, 0x67, 0x93, 0x55, 0x2B, 0xEA, 0xF3, 0x51, 0xA6, 0x64, 
0xBD, 0x58, 0x8D, 0x85, 0x79, 0x38, 0x89, 0x28, 0xE1, 0x14, 0x18, 0xDD, 0xED, 0x5A, 0x1B, 0x20, 
0x86, 0xA9, 0x7F, 0x39, 0x5C, 0x21, 0x29, 0x74, 0x4A, 0x70, 0xB8, 0x05, 0x4C, 0x3D, 0x9A, 0xEC, 
0x1C, 0x01, 0xF5, 0xC2, 0x8C, 0x2F, 0x83, 0xAF, 0x92, 0xCE, 0xC4, 0xC1, 0x7E, 0x1F, 0xE6, 0x84, 
0x25, 0x72, 0xE8, 0xC9, 0x7D, 0xAE, 0x6A, 0xD6, 0x35, 0x02, 0xEF, 0x03, 0xD0, 0xC5, 0x78, 0x10, 
0x7B, 0x48, 0xD9, 0xA5, 0xF0, 0x4E, 0x44, 0xA0, 0x96, 0x52, 0x37, 0x6C, 0xF9, 0xDF, 0xFA, 0x99, 
0x8E, 0x08, 0xB6, 0xB4, 0x7A, 0xC3, 0x3A, 0x33, 0x31, 0x90, 0xC6, 0x1A, 0x5F, 0x9E, 0x65, 0x95, 
0xFB, 0xD1, 0xDE, 0xD3, 0xB9, 0xB1, 0xCB, 0x1E, 0x23, 0x6F, 0x94, 0xB3, 0xE9, 0xCA, 0x71, 0xEE, 
0x15, 0x24, 0x17, 0xFE, 0x60, 0xBC, 0x97, 0xA2, 0x63, 0x00, 0xCC, 0xE0, 0x6E, 0xF2, 0x41, 0xD7, 
0x12, 0x0D, 0x0E, 0x9F, 0xE3, 0x69, 0x43, 0x2E, 0xEB, 0x8B, 0x73, 0x77, 0xA3, 0xAD, 0xE5, 0x19, 
0x62, 0x50, 0xF7, 0x91, 0xE2, 0xF6, 0xC8, 0x9D, 0x06, 0x36, 0x57, 0x6D, 0x6B, 0x07, 0x47, 0x04, 
0x75, 0xF8, 0xAC, 0xCD, 0xFC, 0xDC, 0x22, 0xBF, 0x68, 0x2C, 0x42, 0x76, 0x9C, 0x98, 0x80, 0x45, 
NL=104
