target sbox:
0x60, 0xAC, 0x0F, 0x6C, 0x36, 0xB6, 0x8F, 0x5F, 0xD8, 0x02, 0x31, 0x57, 0x58, 0xA5, 0x29, 0x77, 
0x41, 0x5A, 0x2A, 0x97, 0x62, 0x3A, 0x4A, 0x87, 0x8B, 0x42, 0xEA, 0x8E, 0xEC, 0xD0, 0xC1, 0x2C, 
0xD5, 0x38, 0x25, 0xEE, 0x75, 0xB9, 0xDE, 0xF1, 0x03, 0xDB, 0x50, 0x26, 0xD4, 0x9F, 0x0D, 0xC5, 
0x7C, 0x45, 0x4F, 0x76, 0xC3, 0x1D, 0x48, 0xA2, 0xB0, 0x2E, 0x66, 0x73, 0xF6, 0xCE, 0xF9, 0x61, 
0xFB, 0x22, 0x7A, 0x85, 0x20, 0x70, 0x8D, 0x1C, 0x83, 0x30, 0x71, 0x8A, 0x06, 0x9B, 0xE8, 0x04, 
0x08, 0x12, 0xE5, 0x9E, 0xB8, 0x86, 0xA7, 0xCC, 0x1F, 0x6F, 0xB1, 0xBA, 0x27, 0xD3, 0x3E, 0xE4, 
0xB2, 0x94, 0x07, 0x8C, 0x4E, 0xAB, 0x7B, 0xC6, 0xB5, 0xCF, 0xB3, 0xF3, 0xEF, 0x4B, 0x65, 0x82, 
0x14, 0x9A, 0xFE, 0x79, 0xD6, 0x52, 0xDC, 0x51, 0xD9, 0x78, 0x84, 0x88, 0xD1, 0xF4, 0xE1, 0x0C, 
0x35, 0x2D, 0x96, 0x92, 0x24, 0x81, 0x54, 0x67, 0xBD, 0x47, 0xFA, 0x3F, 0x0E, 0x64, 0xB7, 0x95, 
0x18, 0xF7, 0x3B, 0xE9, 0xD7, 0x2B, 0x53, 0x4D, 0x6E, 0xFC, 0xA0, 0x72, 0xEB, 0xCA, 0x5E, 0xF0, 
0xE7, 0x17, 0xC0, 0xE2, 0xA1, 0x34, 0x1B, 0x6B, 0x16, 0x40, 0x80, 0x7E, 0x5D, 0x49, 0xED, 0xA8, 
0x19, 0x0A, 0xF2, 0x37, 0xBF, 0x1A, 0xC7, 0x7D, 0x69, 0x05, 0xA3, 0xC8, 0xAF, 0x6D, 0x01, 0xBE, 
0x91, 0x5B, 0xD2, 0x6A, 0x5C, 0x33, 0xF5, 0x15, 0x21, 0xA6, 0xE6, 0x93, 0x7F, 0xC4, 0x1E, 0x46, 
0xA4, 0x63, 0xDA, 0x10, 0x9C, 0x90, 0x39, 0x55, 0x11, 0x09, 0xE3, 0xCD, 0xCB, 0x98, 0x99, 0x13, 
0xA9, 0x2F, 0xC9, 0xE0, 0xAA, 0xDD, 0xAE, 0x32, 0x28, 0xFD, 0x59, 0x0B, 0x00, 0xF8, 0xBC, 0x89, 
0x74, 0x56, 0x3D, 0x4C, 0xB4, 0x43, 0x9D, 0xFF, 0xAD, 0xBB, 0x44, 0x23, 0xC2, 0x68, 0x3C, 0xDF, 
NL=104
