target sbox:
0x61, 0xCA, 0xF6, 0x45, 0x46, 0x67, 0xAD, 0x0A, 0x06, 0x56, 0x0B, 0x6B, 0x8F, 0x42, 0x54, 0x85, 
0xCE, 0x08, 0xE2, 0xB4, 0x8B, 0xF4, 0x1A, 0x18, 0x36, 0x7E, 0x5C, 0x8C, 0xDF, 0x04, 0xA5, 0xEC, 
0x3D, 0xF1, 0x9F, 0x71, 0x40, 0xC4, 0x77, 0x14, 0x78, 0x32, 0xD0, 0x15, 0x47, 0xA3, 0x84, 0xE1, 
0x25, 0x4B, 0xB7, 0xBF, 0x93, 0x72, 0xF2, 0x26, 0xE5, 0x8A, 0x51, 0x4A, 0xF7, 0x89, 0xF8, 0xBC, 
0x10, 0x5F, 0xAC, 0xAE, 0xAF, 0x70, 0x9B, 0x50, 0x5E, 0x60, 0x24, 0xE6, 0x7A, 0xC3, 0x17, 0xD9, 
0xF3, 0x49, 0x38, 0xE7, 0xB2, 0x29, 0x81, 0x6C, 0x05, 0xB9, 0xCD, 0x57, 0x4C, 0x02, 0xD7, 0xBE, 
0xEB, 0x20, 0x69, 0xF5, 0xA9, 0x99, 0x92, 0xE4, 0x9C, 0xA6, 0x88, 0x11, 0xC2, 0xEE, 0x6F, 0xDA, 
0xB5, 0xD3, 0x3F, 0x55, 0x74, 0x4E, 0x0D, 0x0C, 0x80, 0x5B, 0x3A, 0x97, 0xD5, 0x90, 0x5D, 0x76, 
0x68, 0xCB, 0xB3, 0x6D, 0xA4, 0x2F, 0x00, 0x8D, 0xB1, 0x9E, 0xAB, 0x5A, 0xFC, 0x13, 0x12, 0x98, 
0xBA, 0xA8, 0x9D, 0xA2, 0xD1, 0x2C, 0x44, 0x6A, 0x1F, 0xAA, 0x4F, 0x2B, 0x7F, 0xEA, 0xD8, 0x82, 
0x31, 0xC7, 0x39, 0x8E, 0x9A, 0xCF, 0xC1, 0xE9, 0xFA, 0xF9, 0x3B, 0x95, 0x37, 0x63, 0x1D, 0x83, 
0x6E, 0x7D, 0x07, 0x35, 0xA0, 0xF0, 0x1E, 0x73, 0x0E, 0xA1, 0x87, 0x64, 0x3E, 0xFB, 0x21, 0xFF, 
0xDD, 0x52, 0x23, 0x09, 0xD4, 0xEF, 0x62, 0x4D, 0x28, 0x2D, 0x2E, 0x7B, 0x01, 0x59, 0x58, 0x53, 
0xC5, 0xE8, 0x66, 0x7C, 0x27, 0xBD, 0xC8, 0xD6, 0x41, 0x79, 0x16, 0x48, 0xB6, 0x22, 0x30, 0x65, 
0x3C, 0xD2, 0xBB, 0x1B, 0xFD, 0xE3, 0xA7, 0xDE, 0x43, 0xCC, 0x86, 0xED, 0xDB, 0xE0, 0xC0, 0x19, 
0x1C, 0x91, 0xDC, 0xB8, 0x2A, 0x75, 0xB0, 0x34, 0x0F, 0xC6, 0x33, 0x94, 0x03, 0xFE, 0xC9, 0x96, 
NL=104
