target sbox:
0xC0, 0x33, 0xA3, 0x07, 0x87, 0x56, 0x7F, 0xF2, 0x50, 0xA2, 0x89, 0x11, 0x5A, 0x4C, 0x0E, 0x26, 
0x93, 0x1B, 0xD9, 0x1A, 0xB6, 0x04, 0xD7, 0x3C, 0x54, 0x6B, 0x18, 0x1E, 0x2A, 0x1F, 0x40, 0x69, 
0x84, 0x82, 0x4A, 0xD4, 0x08, 0xF5, 0x78, 0x66, 0xE0, 0x53, 0xE5, 0xDF, 0x8A, 0x0F, 0xD5, 0x52, 
0x1C, 0x7D, 0x97, 0x5B, 0x8F, 0x8E, 0x57, 0xA0, 0x8C, 0x7E, 0x7B, 0x39, 0xAB, 0x6A, 0xA1, 0x77, 
0xB0, 0xEE, 0x58, 0x60, 0xF8, 0x9E, 0x63, 0xFF, 0x98, 0x09, 0x2E, 0x00, 0xBA, 0xFD, 0xF6, 0x28, 
0xBB, 0x75, 0xC6, 0x16, 0x2F, 0x14, 0x43, 0x48, 0xEB, 0x8D, 0x15, 0x9D, 0x0B, 0x25, 0xAA, 0x71, 
0xBC, 0xB7, 0x12, 0xDE, 0xA9, 0x68, 0xF9, 0x5E, 0xC4, 0x35, 0x7C, 0x65, 0xA6, 0x38, 0xCB, 0xFB, 
0xAC, 0x10, 0xAE, 0xE3, 0xFE, 0xBF, 0x6E, 0x3E, 0xC1, 0x20, 0xC8, 0xE9, 0x94, 0x0D, 0xC3, 0x4B, 
0x9C, 0xCC, 0xE1, 0xA4, 0xEF, 0x0C, 0x24, 0xDC, 0xBE, 0x2D, 0x64, 0x42, 0xF1, 0xC2, 0xD3, 0x85, 
0xFC, 0x27, 0x44, 0x55, 0xED, 0xB1, 0x6F, 0x72, 0x9B, 0xCD, 0x88, 0x9F, 0xDB, 0xC9, 0xDA, 0x62, 
0xF7, 0x34, 0xD2, 0x21, 0xB5, 0xE7, 0x83, 0x99, 0xF4, 0x3F, 0xC5, 0x74, 0x61, 0x1D, 0x79, 0x95, 
0x2B, 0x59, 0xBD, 0x3B, 0xB8, 0x4D, 0xCE, 0x86, 0x37, 0xE8, 0x7A, 0x46, 0x19, 0x05, 0xAD, 0x4E, 
0x0A, 0x41, 0x3A, 0x13, 0x9A, 0x5D, 0x2C, 0xB3, 0x49, 0x96, 0x76, 0xE2, 0xF3, 0xE6, 0x90, 0x92, 
0x6D, 0x47, 0x01, 0x06, 0x6C, 0xC7, 0x03, 0x32, 0xA8, 0xD1, 0xD8, 0xF0, 0xE4, 0x8B, 0xA7, 0x73, 
0xCA, 0x29, 0x80, 0x30, 0x51, 0x22, 0xDD, 0xFA, 0x31, 0x91, 0x36, 0x3D, 0x23, 0x81, 0x45, 0x67, 
0x70, 0xB4, 0xB9, 0x17, 0x02, 0xD6, 0x4F, 0xA5, 0xD0, 0x5C, 0xCF, 0xEC, 0x5F, 0xEA, 0xAF, 0xB2, 
NL=104
