target sbox:
0x8A, 0x0C, 0x28, 0x74, 0x41, 0x06, 0xDC, 0x3C, 0x80, 0x67, 0x98, 0x45, 0xFB, 0x23, 0x5E, 0x36, 
0xE4, 0x1A, 0x16, 0x29, 0x84, 0xD6, 0xAE, 0xE8, 0xAD, 0x65, 0xE3, 0x13, 0xD1, 0x60, 0xDD, 0xBF, 
0xE0, 0x1D, 0x31, 0xC6, 0x04, 0x5F, 0xB7, 0x6B, 0x6A, 0xC8, 0xFD, 0xFC, 0x25, 0x37, 0x82, 0x69, 
0xBB, 0x0D, 0xF1, 0x58, 0x79, 0x77, 0x68, 0x61, 0x35, 0xA8, 0x62, 0xC0, 0x08, 0x9B, 0x10, 0x49, 
0x87, 0x2C, 0x6E, 0x6C, 0xEE, 0xF4, 0x46, 0x86, 0xCC, 0x88, 0xC5, 0x50, 0xBC, 0x8F, 0x7C, 0x5A, 
0x70, 0x4B, 0xB6, 0x83, 0xFE, 0x9C, 0x7F, 0xF5, 0x85, 0x07, 0x2F, 0xF9, 0x26, 0x6F, 0xF3, 0x52, 
0x7B, 0x05, 0x3B, 0x9F, 0xC9, 0xC7, 0xA0, 0x2B, 0xA7, 0xB9, 0x53, 0x3F, 0xD9, 0xAC, 0x93, 0x96, 
0x48, 0x30, 0x0B, 0xB0, 0x0A, 0x71, 0x90, 0x8B, 0x8D, 0xD7, 0xE6, 0xB5, 0xD4, 0x1E, 0xF2, 0x02, 
0x7E, 0x00, 0xE1, 0xBD, 0x57, 0x47, 0xDB, 0x4C, 0x5B, 0x20, 0x54, 0x6D, 0xA2, 0xA1, 0x0F, 0xC3, 
0xAF, 0x51, 0x94, 0xB1, 0x95, 0x14, 0xAB, 0x1C, 0x8C, 0xFA, 0xF8, 0x3D, 0xCE, 0x7D, 0xA4, 0xD0, 
0x4F, 0x34, 0x72, 0xEB, 0xF7, 0x2D, 0x66, 0x76, 0xC4, 0xE7, 0x19, 0x38, 0x0E, 0x03, 0x89, 0x01, 
0x2A, 0xB8, 0x27, 0xB3, 0x2E, 0xDE, 0x9A, 0x32, 0xFF, 0xC1, 0xF0, 0x5D, 0x8E, 0xBE, 0x9D, 0xC2, 
0x12, 0x3A, 0x33, 0x17, 0x11, 0x24, 0x63, 0xEA, 0xEF, 0x39, 0x4E, 0x44, 0x81, 0xB2, 0xCB, 0xE5, 
0xD2, 0x42, 0xD8, 0x09, 0x3E, 0x64, 0x22, 0x92, 0x78, 0x99, 0x21, 0xEC, 0xF6, 0xE9, 0xCF, 0x40, 
0x97, 0x5C, 0xD3, 0xE2, 0x73, 0x7A, 0xED, 0xDA, 0xD5, 0xB4, 0x56, 0x1B, 0x4D, 0xAA, 0x75, 0x59, 
0x43, 0x9E, 0x15, 0xA6, 0xA9, 0xA5, 0x1F, 0xBA, 0x55, 0xCD, 0x91, 0xCA, 0x4A, 0xDF, 0xA3, 0x18, 
NL=104
