target sbox:
0x72, 0x1D, 0x69, 0xD8, 0x24, 0x66, 0x38, 0xC3, 0xEA, 0xF7, 0x96, 0x37, 0x81, 0x36, 0x97, 0x1C, 
0x2A, 0xC0, 0xD7, 0x1F, 0x7F, 0x22, 0x6D, 0x0C, 0x8A, 0x45, 0xBA, 0x47, 0x17, 0xBB, 0xCC, 0xFD, 
0x08, 0x9E, 0x31, 0xCE, 0x04, 0x12, 0xE8, 0x4E, 0xF5, 0xC2, 0xED, 0x2B, 0x77, 0xFC, 0xC6, 0xA9, 
0x6E, 0x5E, 0x5C, 0x30, 0x93, 0x87, 0xE3, 0x35, 0x75, 0xC8, 0x71, 0x79, 0xD3, 0x2D, 0xD1, 0xEF, 
0x6B, 0x76, 0x21, 0x18, 0x41, 0xFF, 0x52, 0xEE, 0x56, 0x8B, 0x6C, 0xF4, 0x16, 0x33, 0x46, 0x5D, 
0xD2, 0xDD, 0x3D, 0xFB, 0xE7, 0xBE, 0x73, 0x49, 0x15, 0xE5, 0x55, 0xBF, 0x8D, 0x3E, 0x9D, 0xCF, 
0x63, 0xD0, 0xBD, 0x0D, 0x27, 0xAB, 0x60, 0xC4, 0x1E, 0x98, 0x74, 0x2F, 0xC1, 0x78, 0x23, 0x2E, 
0x86, 0xB9, 0xF8, 0x91, 0xE2, 0xCB, 0xA1, 0xA7, 0xFA, 0x26, 0x3C, 0x9F, 0x5F, 0x88, 0x51, 0x95, 
0xF1, 0xC9, 0x44, 0x05, 0x4C, 0x67, 0xB3, 0xB1, 0xA8, 0x70, 0x10, 0xDB, 0x8F, 0xB7, 0x1A, 0xE9, 
0x40, 0x11, 0x89, 0xA2, 0xDF, 0xA0, 0xB4, 0xDC, 0xA5, 0xE1, 0x00, 0xE4, 0x09, 0x03, 0xAF, 0xAA, 
0xF9, 0xB8, 0x62, 0x39, 0x84, 0xBC, 0x07, 0x32, 0x61, 0x82, 0xD4, 0xE6, 0x9C, 0xD5, 0xEC, 0xB2, 
0xA6, 0x80, 0x0F, 0xF0, 0xF6, 0xA4, 0xAD, 0x54, 0x8E, 0x4A, 0x4B, 0x9B, 0x19, 0xCD, 0x3F, 0x3B, 
0xAE, 0x0B, 0x50, 0x01, 0x57, 0x14, 0x53, 0x94, 0x7E, 0x58, 0xF3, 0x7C, 0xA3, 0x06, 0x42, 0xDA, 
0xD9, 0x02, 0xE0, 0x99, 0xFE, 0xD6, 0x68, 0x0A, 0x28, 0x48, 0x83, 0x7B, 0x6A, 0x1B, 0x0E, 0xF2, 
0x64, 0xEB, 0xC7, 0x59, 0x4F, 0xC5, 0x13, 0x92, 0xB6, 0x9A, 0x5B, 0x25, 0x8C, 0x7D, 0xAC, 0x34, 
0x43, 0xB5, 0xB0, 0x65, 0x7A, 0x90, 0xDE, 0x4D, 0xCA, 0x3A, 0x2C, 0x20, 0x29, 0x5A, 0x6F, 0x85, 
NL=104
