target sbox:
0x13, 0xE1, 0x6D, 0x01, 0xE6, 0x10, 0xEC, 0x57, 0x6C, 0x49, 0x7E, 0xEB, 0x48, 0xED, 0x90, 0x95, 
0xA9, 0xAB, 0x3C, 0x4A, 0x9F, 0xF8, 0x5B, 0xAD, 0xC4, 0xA3, 0xE7, 0x98, 0x7F, 0x0E, 0xBA, 0x06, 
0x30, 0xF7, 0x89, 0x25, 0xAA, 0x1E, 0x1F, 0x99, 0x24, 0x1C, 0xC2, 0xFD, 0xE9, 0x47, 0x00, 0xC6, 
0x45, 0xF3, 0x3D, 0xC8, 0x2B, 0xA6, 0x17, 0xB9, 0xAF, 0x07, 0x14, 0xBE, 0xCD, 0x70, 0xFF, 0x40, 
0x85, 0xE8, 0x8F, 0x19, 0xE0, 0xF1, 0xC3, 0xDD, 0x7C, 0xB4, 0x02, 0xA7, 0xD0, 0xAC, 0x32, 0xF2, 
0x5F, 0x58, 0xE4, 0x8D, 0xE2, 0x2D, 0xCB, 0x1B, 0x53, 0x04, 0xE5, 0xFA, 0xCE, 0xDC, 0xDF, 0x4B, 
0x68, 0x38, 0x44, 0x5E, 0xEE, 0x35, 0x7B, 0x96, 0x8C, 0x3A, 0xD6, 0x65, 0x72, 0x9E, 0xA5, 0x9C, 
0x0C, 0x6E, 0x8E, 0x51, 0xD1, 0xDB, 0xD3, 0x22, 0x23, 0x11, 0x92, 0x83, 0x66, 0x15, 0x1A, 0x26, 
0x27, 0x6A, 0x9A, 0xBF, 0x4C, 0xB1, 0xFE, 0xA1, 0x3F, 0x60, 0x29, 0x2C, 0x84, 0x4E, 0xD4, 0x94, 
0xB0, 0xD9, 0x81, 0xAE, 0x9D, 0xA2, 0xC9, 0x86, 0xA8, 0xB3, 0x71, 0xE3, 0xB8, 0x2F, 0x4F, 0x5A, 
0x76, 0xB2, 0x34, 0x93, 0xC1, 0x20, 0xB5, 0x2A, 0x52, 0x5C, 0xD8, 0x33, 0xF5, 0xC5, 0x63, 0x61, 
0x6F, 0xEA, 0x87, 0x56, 0x5D, 0x55, 0x3E, 0x77, 0x59, 0x8B, 0x05, 0xFB, 0x39, 0xB6, 0x2E, 0x03, 
0x21, 0xC0, 0x0B, 0xFC, 0x37, 0x91, 0xCA, 0xDA, 0xBC, 0xCC, 0xCF, 0xD5, 0x0F, 0x3B, 0x28, 0x88, 
0x42, 0x73, 0x0D, 0x69, 0xC7, 0x64, 0x75, 0x8A, 0xD2, 0xF9, 0x4D, 0x18, 0xF6, 0x79, 0x54, 0x78, 
0xEF, 0xF0, 0x31, 0x09, 0x1D, 0xDE, 0x9B, 0x43, 0x67, 0x74, 0x08, 0x12, 0xB7, 0xD7, 0xBD, 0x41, 
0x36, 0xA4, 0xA0, 0x80, 0x46, 0x82, 0x7A, 0x62, 0x50, 0xF4, 0xBB, 0x6B, 0x0A, 0x7D, 0x97, 0x16, 
NL=104
