target sbox:
0xFC, 0x1A, 0x2B, 0xE8, 0x91, 0x9F, 0x76, 0x44, 0x08, 0x58, 0x02, 0x09, 0xCB, 0x11, 0xE2, 0xE6, 
0x5D, 0x13, 0xFA, 0x6D, 0x05, 0x8E, 0xDA, 0xE0, 0xDD, 0xEE, 0x00, 0xAF, 0xB5, 0xA1, 0xBC, 0x2E, 
0x61, 0x4D, 0xCF, 0x80, 0xF5, 0xA8, 0x0C, 0x8B, 0x82, 0x74, 0xCD, 0x0A, 0x5B, 0xEF, 0x32, 0x63, 
0xDE, 0x2C, 0x5F, 0x25, 0xFF, 0x7C, 0x12, 0xE7, 0xCC, 0x3E, 0xB1, 0x15, 0x9D, 0x23, 0x5A, 0x3F, 
0x22, 0xD2, 0x21, 0x93, 0x2D, 0x79, 0x7E, 0x42, 0xC2, 0x29, 0xB8, 0xB3, 0xB2, 0x51, 0x4F, 0x97, 
0x88, 0x4A, 0x92, 0xE3, 0x94, 0x7D, 0xCE, 0x84, 0x98, 0xA7, 0xD1, 0xB0, 0x3D, 0xF0, 0x59, 0xA3, 
0x37, 0x30, 0xE1, 0x50, 0xA6, 0x01, 0xB6, 0x0B, 0x47, 0x9C, 0x34, 0x27, 0xDF, 0x39, 0x3B, 0xD7, 
0xA0, 0x78, 0x54, 0xF8, 0x3C, 0x89, 0x07, 0x85, 0x55, 0xA2, 0x28, 0x0D, 0xFD, 0x72, 0x16, 0x45, 
0x6B, 0xD0, 0xBD, 0xE4, 0x4E, 0x9A, 0xD9, 0xDC, 0xEA, 0x8D, 0xFE, 0x5E, 0xD3, 0xBE, 0xB4, 0x03, 
0x81, 0x10, 0xE5, 0x46, 0x1E, 0x65, 0x0E, 0xA4, 0x26, 0x62, 0x66, 0xAB, 0x20, 0xFB, 0x70, 0xBA, 
0x6F, 0xF2, 0x1D, 0xF4, 0x69, 0x4B, 0x9E, 0x7F, 0xF9, 0x83, 0x8F, 0x1F, 0x36, 0xD5, 0xED, 0xD6, 
0xAA, 0x49, 0xC4, 0x56, 0x77, 0xF1, 0x33, 0x86, 0xF3, 0xC8, 0x35, 0x71, 0x2F, 0x40, 0x64, 0xA5, 
0x1B, 0x7B, 0xC1, 0x19, 0x6C, 0xD4, 0x31, 0xC0, 0x95, 0xEB, 0x18, 0x90, 0xDB, 0xAE, 0x24, 0xBB, 
0x38, 0x67, 0x1C, 0x52, 0x48, 0x53, 0x7A, 0xAD, 0x57, 0xB9, 0xF7, 0x0F, 0xEC, 0x96, 0x60, 0x17, 
0xE9, 0x6A, 0x3A, 0xC6, 0x14, 0x41, 0xBF, 0x73, 0x4C, 0xF6, 0x2A, 0x68, 0x5C, 0x87, 0x8C, 0xB7, 
0x99, 0xD8, 0x04, 0xAC, 0x43, 0xCA, 0xA9, 0xC5, 0x6E, 0xC7, 0x9B, 0x8A, 0x75, 0xC9, 0x06, 0xC3, 
NL=104
