target sbox:
0x15, 0xB7, 0x77, 0xF3, 0x5D, 0x02, 0x64, 0x04, 0xB8, 0xBC, 0xAE, 0x50, 0x83, 0x4C, 0x42, 0xEB, 
0xA1, 0xEF, 0x68, 0xCE, 0x2F, 0x31, 0xAB, 0x36, 0x55, 0x0C, 0x18, 0x61, 0xED, 0xF7, 0xC2, 0x1C, 
0xDF, 0x9E, 0x8E, 0xBB, 0x29, 0x3B, 0xD8, 0xB2, 0xDB, 0x35, 0xF9, 0xDA, 0x63, 0x14, 0x62, 0xC4, 
0x7B, 0x38, 0x99, 0x8A, 0x17, 0x97, 0xC1, 0x93, 0x20, 0x0F, 0xC5, 0xFE, 0x73, 0xB5, 0x72, 0x4B, 
0x70, 0xE3, 0xBE, 0x3A, 0xF5, 0x6F, 0xB0, 0xEE, 0x30, 0xF2, 0x2A, 0xC3, 0x08, 0xE1, 0x7D, 0x56, 
0xEC, 0xA8, 0xCB, 0x8B, 0xAD, 0xAA, 0x75, 0xCD, 0xD6, 0xBF, 0x3C, 0x39, 0x1D, 0x91, 0x07, 0xDE, 
0x4A, 0xB3, 0x5C, 0x34, 0x95, 0x1F, 0x33, 0x71, 0xE9, 0xFF, 0x32, 0xC6, 0x98, 0xDC, 0x45, 0x06, 
0x53, 0xE2, 0xF4, 0xE8, 0x6A, 0xFD, 0xE6, 0xD4, 0x60, 0xE7, 0x65, 0x52, 0x92, 0xFA, 0x47, 0x88, 
0xA4, 0x3E, 0x10, 0x00, 0xAC, 0x26, 0x1B, 0xC9, 0xFC, 0x87, 0xC7, 0x9B, 0xB6, 0x54, 0x27, 0x6E, 
0x0E, 0xB1, 0xF6, 0x84, 0xE5, 0xCF, 0x5E, 0x16, 0x79, 0x40, 0xD5, 0x24, 0x86, 0xEA, 0x46, 0x8D, 
0x59, 0xF1, 0x69, 0xA9, 0x94, 0x8C, 0xD9, 0x2C, 0xCA, 0xA2, 0xA0, 0x81, 0xD7, 0x67, 0x12, 0x9C, 
0x4F, 0x58, 0x0D, 0x0A, 0x21, 0x51, 0x13, 0x01, 0xFB, 0x0B, 0x09, 0xA7, 0x9A, 0x1A, 0x48, 0x74, 
0x7E, 0xB9, 0xF0, 0x6B, 0xBD, 0x1E, 0x28, 0xE0, 0xD1, 0x4E, 0x2D, 0x7C, 0x3F, 0xD0, 0x44, 0x76, 
0x57, 0x2B, 0x11, 0x5B, 0x3D, 0x19, 0x23, 0x9F, 0x7A, 0x8F, 0x6C, 0xD3, 0x6D, 0xE4, 0x5A, 0x96, 
0x05, 0xF8, 0x49, 0x37, 0x7F, 0xA5, 0x80, 0x41, 0xD2, 0x66, 0x9D, 0x22, 0x2E, 0xC0, 0xB4, 0xDD, 
0xCC, 0xA3, 0x03, 0x4D, 0x43, 0x25, 0xBA, 0x78, 0xA6, 0x90, 0xC8, 0xAF, 0x89, 0x82, 0x85, 0x5F, 
NL=104
