target sbox:
0x06, 0xE8, 0x47, 0x6D, 0x1C, 0xF9, 0x55, 0x84, 0x00, 0xDB, 0x86, 0xF5, 0x3B, 0xAA, 0x3A, 0xCF, 
0x75, 0x96, 0x35, 0x15, 0xDF, 0xD4, 0x8F, 0xB7, 0x01, 0xEC, 0xF3, 0xB5, 0x58, 0xFA, 0xCB, 0x08, 
0xAD, 0x7E, 0x21, 0x87, 0x3F, 0xBB, 0x03, 0x5D, 0xE3, 0xB1, 0x41, 0x64, 0x98, 0xBC, 0x28, 0x73, 
0x33, 0x53, 0x44, 0x2B, 0xE2, 0x24, 0xF0, 0x0E, 0xF7, 0x71, 0x34, 0x66, 0x8B, 0x13, 0x31, 0x3D, 
0xFD, 0x65, 0xB3, 0xC7, 0xB8, 0x1D, 0xA4, 0x2C, 0xBA, 0xAE, 0x42, 0xC1, 0xD2, 0xA2, 0xA1, 0xA9, 
0x60, 0x57, 0x0B, 0x89, 0x32, 0x7D, 0x14, 0x07, 0x4F, 0x0D, 0xD5, 0x77, 0x04, 0xDE, 0xB2, 0x9F, 
0xC5, 0x1A, 0x0A, 0xDD, 0xEE, 0x9B, 0x4B, 0x8A, 0xC4, 0x91, 0x61, 0x67, 0xEF, 0x4C, 0xFB, 0xF1, 
0x79, 0x48, 0x6A, 0x10, 0x5F, 0xF2, 0x39, 0x38, 0xEB, 0xFC, 0x68, 0x9D, 0xCC, 0xC8, 0x5E, 0x1F, 
0x99, 0xC6, 0x30, 0xD7, 0x5A, 0xE6, 0x5B, 0x69, 0x72, 0x76, 0x81, 0x8C, 0xD6, 0x70, 0xFF, 0x45, 
0xDA, 0x7C, 0xE0, 0xE1, 0x17, 0x97, 0xA6, 0x82, 0xD0, 0x3E, 0xE4, 0x6C, 0x20, 0x11, 0x93, 0x3C, 
0x16, 0x52, 0x2F, 0x43, 0x05, 0xAC, 0xD9, 0x7A, 0x40, 0x37, 0x9A, 0xA8, 0x09, 0xB6, 0xA5, 0xA3, 
0x78, 0xE9, 0x56, 0x25, 0xF8, 0xA7, 0xBD, 0xB0, 0x27, 0xC0, 0x6E, 0x49, 0xD8, 0x19, 0xEA, 0x80, 
0xAB, 0x46, 0xA0, 0x7B, 0xAF, 0x1E, 0xB9, 0x83, 0xCA, 0x02, 0x4D, 0x85, 0x2D, 0x63, 0x54, 0x9C, 
0xE7, 0xC2, 0x95, 0xF4, 0x8D, 0x6B, 0xBE, 0xCE, 0x1B, 0x0C, 0xCD, 0x26, 0x74, 0x7F, 0x5C, 0x59, 
0x2E, 0x92, 0x90, 0x6F, 0x9E, 0x18, 0x12, 0x4E, 0x8E, 0x51, 0x29, 0xE5, 0xF6, 0xC9, 0x0F, 0x4A, 
0xED, 0x50, 0xD1, 0xBF, 0x22, 0xFE, 0xB4, 0x23, 0x88, 0xC3, 0xDC, 0x2A, 0x62, 0x36, 0x94, 0xD3, 
NL=104
