target sbox:
0x88, 0x7C, 0xD9, 0x23, 0x67, 0x57, 0xC9, 0x25, 0xC2, 0xF9, 0x09, 0x85, 0x45, 0x6E, 0xAC, 0xAF, 
0xB7, 0x15, 0xE2, 0x0E, 0x53, 0x48, 0xD8, 0xE8, 0x6B, 0x04, 0xBD, 0xD3, 0xD5, 0x1C, 0xD1, 0x9A, 
0x59, 0xEF, 0x76, 0xBE, 0xFC, 0x29, 0x3A, 0xC5, 0x5D, 0x22, 0xD4, 0x70, 0x51, 0xDA, 0x64, 0x13, 
0x7E, 0xAD, 0x08, 0xAE, 0x2C, 0x12, 0x2D, 0x2A, 0x8A, 0xF1, 0x06, 0x3F, 0xC6, 0xB1, 0x20, 0x62, 
0x33, 0x86, 0x16, 0xF8, 0xA1, 0x4D, 0xA6, 0x73, 0x9E, 0x60, 0x31, 0xFD, 0x92, 0xF6, 0x10, 0x56, 
0x35, 0x55, 0xA7, 0xA5, 0xF7, 0x0B, 0x39, 0xE6, 0x26, 0xF3, 0xAB, 0x94, 0xDE, 0x2E, 0x34, 0xE3, 
0x5E, 0xA0, 0x74, 0x4C, 0x0F, 0xEB, 0xBF, 0x5C, 0x75, 0xB3, 0x9B, 0xCB, 0x6C, 0x5A, 0xD0, 0x78, 
0x17, 0x07, 0x4F, 0xE4, 0x38, 0x77, 0xF5, 0xCF, 0x90, 0xEC, 0x40, 0x9D, 0xE5, 0x97, 0xCA, 0x83, 
0x28, 0x65, 0x8B, 0x63, 0x3D, 0x42, 0x0C, 0x79, 0x7D, 0x19, 0x9C, 0xB5, 0xB2, 0x1E, 0x0A, 0xB0, 
0xD2, 0x54, 0xC0, 0x7B, 0x52, 0xF4, 0x14, 0x44, 0x30, 0x2F, 0xC1, 0x0D, 0x81, 0xA8, 0xBA, 0x3B, 
0x6D, 0x03, 0x05, 0x21, 0x50, 0xCE, 0xEE, 0xE9, 0x43, 0x41, 0xA2, 0x36, 0x80, 0x99, 0xC7, 0xA3, 
0xBB, 0xE7, 0x24, 0xC3, 0x46, 0x84, 0xE0, 0x02, 0x8F, 0xB8, 0x68, 0xCC, 0xC8, 0x87, 0x6F, 0xB4, 
0x98, 0xFA, 0xDB, 0x95, 0xBC, 0x71, 0x1B, 0x1A, 0x49, 0x01, 0xA9, 0xE1, 0x96, 0xF0, 0x5F, 0xDC, 
0x32, 0x5B, 0x7F, 0x37, 0xD7, 0xF2, 0x93, 0x3C, 0x4A, 0x69, 0xB6, 0xED, 0xB9, 0xC4, 0xD6, 0xCD, 
0xFB, 0x18, 0x61, 0xAA, 0x9F, 0x1D, 0x47, 0x00, 0x72, 0xA4, 0x3E, 0xFF, 0x91, 0x89, 0x4E, 0x1F, 
0x4B, 0x11, 0x27, 0xEA, 0x66, 0x7A, 0x82, 0x58, 0xFE, 0x8D, 0xDD, 0xDF, 0x2B, 0x8E, 0x8C, 0x6A, 
NL=104
