target sbox:
0xE3, 0xC6, 0xE4, 0xDD, 0xAE, 0xC8, 0xBD, 0xC3, 0x51, 0x93, 0x70, 0x0A, 0x90, 0xDB, 0x57, 0x22, 
0x50, 0x71, 0x14, 0xCF, 0x2F, 0xD7, 0x32, 0x39, 0x5B, 0x17, 0xB4, 0x9F, 0x19, 0x00, 0x1D, 0xE1, 
0x78, 0x2A, 0x23, 0xA3, 0xBF, 0x69, 0xF9, 0x29, 0x2D, 0xB1, 0x4A, 0x83, 0x98, 0x4D, 0x08, 0xB5, 
0x6A, 0x85, 0xCC, 0x11, 0x44, 0x38, 0x5F, 0x42, 0x7F, 0x7C, 0xA6, 0x2E, 0x54, 0x9D, 0x07, 0x8A, 
0xCD, 0xBB, 0x04, 0xA4, 0xA9, 0xEB, 0xE5, 0xEE, 0xBA, 0xB7, 0x94, 0xD6, 0x52, 0xDF, 0xF0, 0x0D, 
0xAC, 0x0B, 0x91, 0x41, 0x92, 0x7B, 0x88, 0x8F, 0x2B, 0xC2, 0x62, 0xEC, 0x5C, 0x9B, 0x3D, 0x6F, 
0x13, 0xE7, 0x56, 0x4E, 0x35, 0x5D, 0xEA, 0x3F, 0x4C, 0x20, 0x61, 0xD0, 0x89, 0xCA, 0x4F, 0x72, 
0x02, 0x79, 0x1F, 0x12, 0xE0, 0xEF, 0x15, 0xA0, 0x67, 0x3E, 0x86, 0x3A, 0xAD, 0xFB, 0x0E, 0x16, 
0x03, 0xBC, 0x58, 0xFC, 0x8C, 0x73, 0xAA, 0xC0, 0x95, 0x1E, 0x97, 0xDA, 0x6C, 0xA2, 0x60, 0x9C, 
0xB6, 0xF7, 0x43, 0x87, 0xF8, 0xFF, 0x59, 0x31, 0xED, 0xC9, 0xD4, 0x05, 0xFD, 0x9E, 0xCB, 0xF5, 
0x21, 0x5E, 0xE6, 0xE2, 0x28, 0x06, 0x99, 0x40, 0x18, 0x47, 0xDE, 0x7E, 0x75, 0xD5, 0xD9, 0xB0, 
0x25, 0x36, 0xF3, 0x84, 0xB8, 0x63, 0x0C, 0x53, 0xBE, 0x5A, 0x66, 0x2C, 0x1A, 0xD2, 0xC1, 0x6E, 
0xC5, 0xFA, 0x10, 0x7A, 0xD8, 0x49, 0x27, 0xC4, 0x4B, 0x26, 0xD3, 0x3C, 0xD1, 0x09, 0xA8, 0x0F, 
0xDC, 0x34, 0xAF, 0x64, 0x77, 0x82, 0xA7, 0x8B, 0x33, 0x48, 0xF2, 0xCE, 0x68, 0xA1, 0x80, 0x81, 
0x65, 0xB3, 0x6D, 0x45, 0xF1, 0x6B, 0xF6, 0x76, 0x74, 0x3B, 0x8E, 0x37, 0xFE, 0xE9, 0x9A, 0x30, 
0x55, 0x96, 0xF4, 0x24, 0x8D, 0xB2, 0x46, 0x1B, 0xAB, 0xA5, 0x7D, 0xE8, 0x1C, 0x01, 0xC7, 0xB9, 
NL=104
