target sbox:
0xF5, 0xAB, 0x9B, 0x52, 0x50, 0xE2, 0x53, 0xCE, 0xFD, 0x9C, 0x9F, 0xD0, 0xF0, 0xDF, 0x15, 0x85, 
0x9E, 0x87, 0x59, 0x73, 0x0E, 0x21, 0xF8, 0xF4, 0x86, 0xAC, 0x2A, 0x4F, 0x0C, 0xDA, 0x07, 0xC5, 
0x3F, 0x17, 0x2B, 0x6C, 0xBF, 0xCF, 0x7C, 0x8E, 0x56, 0x1E, 0x4B, 0xDD, 0xA8, 0x6E, 0x23, 0xE5, 
0xAF, 0x08, 0xEF, 0xC9, 0x0D, 0x5C, 0x46, 0x48, 0xB7, 0x6B, 0xB5, 0x75, 0xF3, 0xC4, 0xDC, 0xFB, 
0x7B, 0xB4, 0xCA, 0xA1, 0x1A, 0xB9, 0xF2, 0x4C, 0x40, 0xB3, 0xDE, 0xA5, 0xD5, 0x99, 0xE9, 0xA6, 
0xC1, 0xD3, 0x7A, 0xF7, 0x9D, 0x55, 0x43, 0x70, 0x44, 0x37, 0x09, 0xA0, 0xB8, 0x06, 0x80, 0x79, 
0x24, 0x7F, 0x04, 0x8F, 0xF9, 0x22, 0x71, 0xAE, 0xA4, 0xDB, 0x60, 0x16, 0x42, 0x83, 0xED, 0x3D, 
0x2D, 0xC7, 0xF1, 0xB6, 0xBB, 0xB0, 0x47, 0x34, 0xBE, 0x8A, 0xF6, 0xCB, 0x8B, 0x03, 0x0F, 0x5E, 
0x35, 0x90, 0xA2, 0x82, 0x11, 0x6F, 0x57, 0xB1, 0xD2, 0xAA, 0x66, 0xC6, 0x63, 0x01, 0x58, 0x26, 
0xE4, 0xD8, 0xC0, 0xBC, 0x3B, 0x4A, 0xEA, 0x19, 0x81, 0x13, 0x95, 0x05, 0xFE, 0x2C, 0x91, 0x14, 
0xD7, 0x28, 0xE6, 0x5F, 0x49, 0x8D, 0x33, 0x98, 0x27, 0x69, 0x30, 0xE8, 0x4D, 0x1C, 0x6A, 0xFF, 
0xBD, 0xEC, 0x77, 0x76, 0xEE, 0x39, 0x51, 0x9A, 0xCC, 0x45, 0xB2, 0x1B, 0x64, 0x41, 0x65, 0xD1, 
0xC8, 0x8C, 0x92, 0x20, 0x6D, 0x94, 0xD6, 0xC2, 0x3E, 0xE0, 0xBA, 0x2E, 0x1D, 0x4E, 0x67, 0xEB, 
0x36, 0x5B, 0x38, 0x96, 0x68, 0xA7, 0x89, 0x1F, 0x78, 0x29, 0x54, 0x5A, 0x12, 0xFA, 0x10, 0x31, 
0xE7, 0xE3, 0x5D, 0x93, 0x84, 0x00, 0xE1, 0x7D, 0x72, 0xD4, 0x32, 0x74, 0x25, 0x7E, 0x0B, 0xC3, 
0x3C, 0xA3, 0x3A, 0x62, 0x2F, 0x97, 0x18, 0xA9, 0xCD, 0xAD, 0xD9, 0x0A, 0x02, 0x88, 0x61, 0xFC, 
NL=104
