target sbox:
0xE7, 0xE5, 0x55, 0x3C, 0x37, 0x1B, 0xE8, 0x5E, 0x9E, 0x3B, 0x81, 0x21, 0xA4, 0x16, 0x0A, 0xC2, 
0x95, 0xB5, 0x8B, 0x92, 0xE0, 0x72, 0xB6, 0x5C, 0x39, 0xE1, 0x76, 0x1D, 0x0B, 0xA8, 0x83, 0x88, 
0x13, 0x38, 0x41, 0x61, 0x47, 0xD4, 0x8A, 0xFB, 0x87, 0x2C, 0xD6, 0xB0, 0xA9, 0xEA, 0x35, 0x31, 
0x9B, 0xA2, 0xF6, 0x69, 0xC6, 0xCA, 0x1F, 0xF0, 0x86, 0xB2, 0xAF, 0xE2, 0x75, 0xCC, 0x79, 0x40, 
0x63, 0x80, 0xEC, 0x5D, 0x6D, 0xF8, 0x96, 0x60, 0x11, 0x84, 0x27, 0xFE, 0x68, 0xDE, 0x0D, 0x4D, 
0x9C, 0xAA, 0x44, 0x9A, 0x46, 0xB3, 0xDB, 0x82, 0xB1, 0xDD, 0xF5, 0xC1, 0x7F, 0x15, 0xCB, 0x8F, 
0x78, 0xC5, 0xEE, 0x49, 0xCD, 0x97, 0xD5, 0xBA, 0x48, 0x08, 0xA6, 0x33, 0x73, 0xC3, 0x02, 0xF2, 
0x50, 0xAB, 0x66, 0xB4, 0xE3, 0x6F, 0x6B, 0x07, 0x28, 0x58, 0x17, 0x7E, 0xD7, 0xD8, 0x7C, 0x3D, 
0x34, 0x26, 0x51, 0xC7, 0x36, 0xD2, 0x94, 0xA7, 0x18, 0x59, 0xF9, 0x74, 0x1E, 0x42, 0x01, 0x7B, 
0x43, 0xBF, 0x1C, 0x09, 0x65, 0x93, 0x14, 0xCF, 0x5F, 0x4C, 0xEF, 0x0F, 0x9D, 0x4F, 0xE4, 0xCE, 
0x8D, 0xFA, 0x03, 0x10, 0xF1, 0x5B, 0xD9, 0x29, 0xB9, 0x67, 0x7D, 0x45, 0xAD, 0xC0, 0x06, 0x23, 
0xEB, 0x3E, 0x0C, 0xD1, 0xDA, 0xC8, 0x8E, 0x99, 0x4E, 0xBD, 0x24, 0xE9, 0xC9, 0xAC, 0x70, 0x2B, 
0xD0, 0x04, 0x1A, 0x56, 0x2D, 0xDF, 0x2E, 0x20, 0x57, 0x6A, 0x62, 0x64, 0x2F, 0xFF, 0x3A, 0xBB, 
0xBC, 0xE6, 0x00, 0x0E, 0xFD, 0x85, 0x6E, 0xBE, 0x25, 0xA0, 0x22, 0x90, 0xFC, 0x32, 0x52, 0xA1, 
0xD3, 0x7A, 0x91, 0xB8, 0x5A, 0xA3, 0x98, 0x19, 0x8C, 0x4B, 0xAE, 0x3F, 0x53, 0x77, 0x4A, 0xF3, 
0xF4, 0x05, 0x71, 0x6C, 0xED, 0x89, 0x54, 0xDC, 0x30, 0x9F, 0xA5, 0xF7, 0x2A, 0xB7, 0x12, 0xC4, 
NL=104
