target sbox:
0x61, 0xAF, 0xB5, 0xD3, 0x53, 0x12, 0x69, 0x9F, 0xD2, 0xBB, 0xBC, 0xB8, 0x01, 0xF0, 0xD7, 0x9E, 
0x0D, 0x1B, 0xE7, 0xFE, 0xB0, 0xA8, 0xC9, 0x8F, 0x52, 0x8E, 0xF4, 0x73, 0x9C, 0x80, 0x0C, 0x1E, 
0xF2, 0x1D, 0xA0, 0x3E, 0x49, 0x40, 0x17, 0xDD, 0x87, 0x3F, 0x97, 0xD4, 0xDA, 0x5B, 0xAA, 0x41, 
0xF3, 0x3A, 0xAE, 0x16, 0x86, 0x6F, 0xBE, 0xF5, 0x88, 0x60, 0xAD, 0x4F, 0x93, 0x2A, 0x84, 0x37, 
0xD6, 0x89, 0xDF, 0x46, 0xC7, 0x78, 0x8A, 0xC1, 0x7C, 0xA5, 0x85, 0x98, 0xCF, 0x02, 0x9B, 0x58, 
0xFA, 0x4E, 0x3B, 0xA9, 0xA2, 0x5C, 0xA6, 0x00, 0xD0, 0xBA, 0x13, 0x5D, 0x9D, 0x3C, 0xED, 0xDE, 
0xD5, 0x51, 0x77, 0x35, 0xCD, 0xC0, 0x36, 0x72, 0x42, 0x2C, 0x4B, 0xBD, 0x34, 0x67, 0x39, 0x66, 
0x57, 0x96, 0x65, 0x5E, 0x08, 0x5F, 0xA3, 0xC5, 0x79, 0x2F, 0xEA, 0x4D, 0x59, 0x22, 0x2D, 0xFD, 
0xE4, 0x81, 0x26, 0x38, 0x11, 0x56, 0xAB, 0x06, 0x3D, 0xB2, 0x90, 0x68, 0xFC, 0x19, 0x31, 0x15, 
0xDB, 0xE3, 0xF1, 0x23, 0x32, 0xF8, 0x27, 0x25, 0xAC, 0xB6, 0x74, 0x71, 0x70, 0x47, 0x7F, 0x18, 
0xBF, 0xE1, 0xCA, 0x07, 0xD9, 0xB3, 0x1A, 0x8B, 0xDC, 0x7A, 0xB9, 0x1F, 0x28, 0xE8, 0xE9, 0x2B, 
0x4A, 0xC8, 0x0E, 0xA4, 0x30, 0x43, 0x4C, 0xCB, 0x1C, 0xFB, 0x0F, 0x21, 0x83, 0xEF, 0xFF, 0x7B, 
0x99, 0x10, 0xE6, 0x20, 0x8C, 0x55, 0x75, 0x14, 0xF6, 0x09, 0x6E, 0xC6, 0xC3, 0x9A, 0x05, 0xD1, 
0x8D, 0x6B, 0xC4, 0x0B, 0xEE, 0xD8, 0x7D, 0xE2, 0x44, 0x50, 0x04, 0xE0, 0x45, 0xEC, 0x63, 0xCE, 
0xA1, 0x91, 0x03, 0xB4, 0xCC, 0x95, 0x64, 0xF7, 0x2E, 0xE5, 0x76, 0x5A, 0x92, 0x54, 0xF9, 0x94, 
0x48, 0x33, 0xA7, 0x62, 0x6C, 0xB7, 0x7E, 0xC2, 0x29, 0x6D, 0x24, 0xEB, 0x0A, 0x6A, 0x82, 0xB1, 
NL=104
