target sbox:
0xC2, 0xF3, 0x55, 0x98, 0xFA, 0x68, 0x66, 0x0E, 0x24, 0xCA, 0x51, 0xA8, 0xF6, 0x6E, 0x41, 0xD8, 
0xF7, 0x21, 0x45, 0x40, 0x86, 0x7C, 0xEC, 0x65, 0xBC, 0xCB, 0xEA, 0x1F, 0x5B, 0xE3, 0xD7, 0x27, 
0x5D, 0xBF, 0x32, 0x35, 0x62, 0x10, 0xF1, 0x1A, 0x4E, 0x0F, 0xAE, 0xF0, 0x9B, 0x7D, 0xE8, 0x03, 
0xBE, 0x05, 0x4D, 0x42, 0x88, 0xC8, 0x8C, 0x97, 0x43, 0x70, 0x3E, 0xFD, 0x46, 0x4B, 0x44, 0x64, 
0xA0, 0xF4, 0x9A, 0xAD, 0xF5, 0x2A, 0x7A, 0xDA, 0xA1, 0xCF, 0x80, 0xC3, 0x7E, 0xA4, 0x6B, 0x82, 
0x5A, 0xFE, 0x4A, 0x08, 0x3C, 0x8A, 0xA6, 0xD2, 0xB7, 0x60, 0x33, 0x3D, 0x49, 0xEE, 0x47, 0x13, 
0x8B, 0xC7, 0x71, 0x91, 0x7F, 0xD0, 0x4C, 0xD9, 0xBA, 0x87, 0xAC, 0x8F, 0xE6, 0x34, 0x00, 0x50, 
0x81, 0x0A, 0xD4, 0xAB, 0xDB, 0x95, 0xDF, 0xB2, 0x16, 0xA3, 0x57, 0x6D, 0x6F, 0xA9, 0x59, 0xB6, 
0xB3, 0xAA, 0x96, 0xC6, 0xA7, 0xEF, 0xCC, 0x79, 0x4F, 0x22, 0x38, 0x29, 0xA2, 0xE2, 0x5F, 0x92, 
0xBB, 0x06, 0xC0, 0x8E, 0x58, 0x84, 0x18, 0xDD, 0xC1, 0xDC, 0xEB, 0x0C, 0x15, 0x56, 0xE9, 0x94, 
0xD6, 0xBD, 0xCE, 0x83, 0x9F, 0x76, 0x7B, 0x6C, 0x1D, 0x61, 0xC5, 0xB4, 0x5E, 0xFB, 0x20, 0x53, 
0xF9, 0x36, 0x01, 0x72, 0x1B, 0x5C, 0x02, 0xFF, 0xD5, 0xE4, 0x14, 0x52, 0x2F, 0x3B, 0xB5, 0x04, 
0xD3, 0x67, 0x9E, 0x6A, 0x07, 0x48, 0xD1, 0x73, 0xE1, 0xB9, 0x26, 0x99, 0xA5, 0x0D, 0xE0, 0x31, 
0xFC, 0x85, 0x12, 0x1C, 0x77, 0x93, 0x89, 0x23, 0xF8, 0x25, 0xB1, 0xC4, 0xE7, 0xCD, 0x8D, 0x3F, 
0x2C, 0x37, 0xC9, 0x69, 0x1E, 0x30, 0x11, 0xDE, 0xB0, 0x74, 0x39, 0xED, 0xF2, 0x17, 0x2E, 0x75, 
0x54, 0x19, 0x9C, 0x9D, 0xAF, 0x09, 0xB8, 0xE5, 0x2D, 0x78, 0x3A, 0x63, 0x90, 0x2B, 0x0B, 0x28, 
NL=104
