target sbox:
0x9C, 0x8C, 0x68, 0x53, 0x12, 0x44, 0x23, 0x76, 0x0F, 0xAA, 0xD1, 0x02, 0x26, 0xF9, 0xFC, 0x3F, 
0xBA, 0x5C, 0x49, 0x99, 0x50, 0x5F, 0xC1, 0x4A, 0x58, 0xDB, 0x6E, 0x9E, 0x8A, 0x71, 0x3A, 0xEB, 
0xF2, 0x63, 0xB3, 0x9F, 0x5E, 0xBF, 0x74, 0x6A, 0xF8, 0xD8, 0xA1, 0x22, 0x7A, 0x37, 0x28, 0x80, 
0xEE, 0x61, 0x2E, 0xFB, 0x00, 0x56, 0xEA, 0x94, 0xBD, 0x59, 0xB4, 0xA8, 0x42, 0xC0, 0x5B, 0x3E, 
0x73, 0x32, 0xA0, 0x6C, 0x4E, 0x6F, 0x35, 0x90, 0xF3, 0x17, 0x4F, 0xE0, 0x8B, 0x98, 0xBB, 0x89, 
0x3D, 0xE1, 0x7D, 0xCA, 0x21, 0x30, 0x8E, 0x55, 0xDE, 0x85, 0x25, 0x27, 0x8D, 0x13, 0x75, 0x18, 
0xAB, 0xD9, 0xF6, 0xC8, 0xD3, 0xD5, 0x78, 0xFF, 0x8F, 0x33, 0x87, 0xAF, 0xAE, 0x1E, 0xC2, 0x1F, 
0x51, 0x6B, 0x2B, 0xD6, 0x5A, 0x9A, 0x67, 0xE7, 0x2D, 0x07, 0xCE, 0xA3, 0xB1, 0x66, 0xC9, 0x06, 
0x79, 0x65, 0xB5, 0x34, 0xA6, 0x0A, 0xF4, 0x95, 0x38, 0xCF, 0xAD, 0x19, 0xA2, 0x93, 0xF0, 0x47, 
0x97, 0x36, 0x3B, 0x0C, 0x2A, 0x82, 0x03, 0xE9, 0x15, 0x64, 0x83, 0x16, 0x57, 0x54, 0x45, 0xC4, 
0x5D, 0xC3, 0x70, 0x04, 0x91, 0x31, 0x84, 0x86, 0x39, 0xED, 0xB0, 0x7C, 0x1A, 0x29, 0xE2, 0xA4, 
0xCD, 0xE8, 0x0D, 0xA7, 0x77, 0xCB, 0xFD, 0x43, 0x9B, 0x88, 0x05, 0xB7, 0x0E, 0x10, 0x52, 0x62, 
0x48, 0x69, 0x41, 0xFE, 0x2C, 0xE4, 0x7B, 0xEC, 0x60, 0x24, 0x4C, 0xCC, 0x14, 0xF1, 0xEF, 0x1C, 
0xBC, 0xA5, 0xBE, 0xC5, 0x81, 0x7E, 0xB8, 0xF7, 0xFA, 0x0B, 0xE6, 0xC6, 0xDD, 0x92, 0xD2, 0x40, 
0x46, 0xDA, 0xB9, 0xA9, 0x1D, 0x6D, 0xAC, 0x4D, 0xD0, 0x2F, 0x9D, 0xE3, 0x01, 0x4B, 0x08, 0xE5, 
0xB6, 0x72, 0xB2, 0xD7, 0x11, 0xF5, 0x7F, 0x3C, 0xDF, 0x09, 0xD4, 0xC7, 0x96, 0x20, 0xDC, 0x1B, 
NL=104
