target sbox:
0xC8, 0x67, 0xA0, 0x6B, 0x47, 0xC7, 0x6A, 0x11, 0x44, 0x1A, 0x2B, 0x61, 0x9E, 0x6F, 0x78, 0x81, 
0x5E, 0x40, 0xB5, 0x45, 0x68, 0x25, 0xA6, 0x3A, 0x5F, 0x7A, 0x41, 0xE0, 0xF1, 0x3F, 0x10, 0xFA, 
0xD7, 0x09, 0x9D, 0x43, 0x83, 0xAF, 0x5D, 0x72, 0x70, 0x53, 0x93, 0xD5, 0x92, 0xEC, 0xBB, 0x96, 
0xAA, 0x8A, 0xAB, 0x9A, 0x85, 0xD9, 0x77, 0xF2, 0xDF, 0x87, 0x2C, 0x4A, 0x57, 0xC0, 0x80, 0x3E, 
0xCD, 0x79, 0xAE, 0x38, 0x52, 0xB9, 0xB8, 0xCC, 0x1B, 0xC5, 0x69, 0x18, 0x73, 0xBC, 0x6E, 0x74, 
0xA8, 0x0E, 0xB0, 0xB2, 0xCA, 0xEB, 0x33, 0x86, 0x15, 0xE7, 0xF0, 0x35, 0x98, 0xEF, 0x01, 0xC9, 
0x64, 0x7F, 0x07, 0x1D, 0x84, 0xE3, 0x17, 0xBF, 0xDA, 0x30, 0xD4, 0x3C, 0xD6, 0xA7, 0x51, 0xC1, 
0x91, 0xC3, 0x4D, 0xEA, 0xC6, 0x0C, 0xDB, 0x49, 0xD0, 0xFC, 0xE9, 0xE1, 0xA9, 0x2F, 0xFB, 0xB1, 
0xDD, 0x82, 0x12, 0xA5, 0xBA, 0x89, 0xF9, 0x31, 0x9C, 0x28, 0x4C, 0x19, 0x99, 0xBE, 0xC2, 0x21, 
0x58, 0x0D, 0x6C, 0x3B, 0xE5, 0xF3, 0x1E, 0x4B, 0x9F, 0xBD, 0x63, 0xF6, 0x48, 0x03, 0x29, 0x39, 
0xA2, 0x00, 0xCB, 0x8C, 0xD1, 0x55, 0xDE, 0xE2, 0x2E, 0x94, 0x66, 0x97, 0x2D, 0x4F, 0x59, 0x7C, 
0x56, 0x23, 0xCE, 0xB4, 0x62, 0x60, 0x7E, 0xED, 0x0B, 0x90, 0x24, 0x2A, 0x1C, 0x88, 0xD2, 0xB6, 
0x4E, 0x34, 0x8B, 0xE6, 0x8D, 0xDC, 0x20, 0x36, 0x5B, 0xAD, 0xD3, 0x13, 0xA1, 0x26, 0x8E, 0xD8, 
0xF5, 0x46, 0xE4, 0x05, 0x0A, 0x32, 0xFE, 0x27, 0x16, 0x1F, 0x54, 0x9B, 0xCF, 0xB7, 0x22, 0xA3, 
0x7D, 0xFD, 0x42, 0x06, 0x0F, 0x6D, 0xE8, 0x02, 0x08, 0xA4, 0x95, 0xF4, 0xF7, 0xAC, 0x71, 0x75, 
0xF8, 0x04, 0x8F, 0x14, 0xC4, 0xFF, 0xEE, 0x76, 0x5A, 0x7B, 0x50, 0x3D, 0xB3, 0x5C, 0x65, 0x37, 
NL=104
