target sbox:
0xEC, 0x11, 0xCF, 0xD9, 0x37, 0x63, 0x8E, 0x82, 0x51, 0x22, 0x96, 0x55, 0x20, 0xBF, 0x39, 0xB5, 
0x1E, 0xF3, 0x89, 0xFC, 0xB0, 0x98, 0xB3, 0x6A, 0x4A, 0xEE, 0x0D, 0x88, 0x91, 0x00, 0xA3, 0x28, 
0xCE, 0xF2, 0x1B, 0xD3, 0x1C, 0xE7, 0x78, 0xD4, 0xF7, 0xE1, 0x0B, 0xFD, 0xDA, 0x43, 0x77, 0x66, 
0x1D, 0x87, 0x30, 0x7D, 0xF1, 0xA7, 0xCB, 0x4E, 0x68, 0xA0, 0x72, 0x36, 0x42, 0x6D, 0x56, 0x7A, 
0x6B, 0x4C, 0x9F, 0xC8, 0xA9, 0xC2, 0x9A, 0xD1, 0x97, 0x17, 0x86, 0x74, 0xC0, 0x29, 0x2D, 0xBD, 
0xAA, 0x24, 0xC1, 0x93, 0x34, 0x57, 0xD6, 0xB2, 0x14, 0xCD, 0xA1, 0x79, 0x45, 0xFB, 0x61, 0x15, 
0x67, 0x0F, 0x25, 0xC4, 0x32, 0xF8, 0x0C, 0xEF, 0xF9, 0x10, 0xA5, 0x31, 0x8C, 0xA4, 0xDD, 0x12, 
0xE5, 0xF5, 0xDB, 0x2B, 0x8A, 0xD2, 0x0E, 0x01, 0xBA, 0x47, 0xDF, 0x23, 0x76, 0xED, 0xD5, 0xFF, 
0x58, 0x08, 0x41, 0x09, 0x71, 0xBE, 0x13, 0x35, 0x46, 0x6F, 0x38, 0x06, 0x7C, 0x99, 0x03, 0xC7, 
0x3E, 0x4F, 0xAE, 0xCC, 0x94, 0x80, 0xD0, 0x2C, 0xDE, 0xD8, 0x59, 0xBB, 0x2F, 0x9E, 0xC3, 0xF6, 
0x26, 0x90, 0xB4, 0x0A, 0x64, 0xB7, 0xE3, 0xC9, 0x7B, 0x48, 0x5B, 0xC6, 0x95, 0x02, 0x7E, 0xAC, 
0xE4, 0xB8, 0x53, 0xEB, 0x49, 0x3D, 0x2E, 0xA2, 0x5C, 0xBC, 0x8D, 0xFA, 0x52, 0xB6, 0x81, 0xDC, 
0x18, 0x21, 0x8F, 0xE9, 0x07, 0xF0, 0x8B, 0x4B, 0x5F, 0x6E, 0x4D, 0x33, 0x3F, 0x85, 0x54, 0x6C, 
0x50, 0x44, 0x7F, 0xEA, 0x9D, 0x83, 0x73, 0xE8, 0xA6, 0xAF, 0x9B, 0x62, 0x3A, 0x3C, 0x65, 0x5D, 
0x3B, 0xB9, 0x27, 0x05, 0x5A, 0xF4, 0x1F, 0xAB, 0x9C, 0x84, 0xE0, 0xD7, 0x92, 0x69, 0xB1, 0x1A, 
0xE2, 0x2A, 0xA8, 0xC5, 0xE6, 0xFE, 0x19, 0x70, 0x04, 0x5E, 0xAD, 0x40, 0x16, 0x60, 0xCA, 0x75, 
NL=104
