target sbox:
0xE7, 0x95, 0x90, 0x34, 0x1E, 0xA3, 0x93, 0xB0, 0xAB, 0x15, 0x06, 0x9E, 0xE5, 0xD6, 0x4C, 0x29, 
0x42, 0x1D, 0xB9, 0xCC, 0x00, 0xA2, 0x64, 0x9B, 0xAA, 0xF9, 0x25, 0x7C, 0xD8, 0x7E, 0x2F, 0x27, 
0xEB, 0x0D, 0xD5, 0x56, 0x43, 0x46, 0xB5, 0x58, 0x4D, 0xA9, 0x0C, 0xFC, 0xAD, 0xB6, 0x45, 0x61, 
0x74, 0x1F, 0xFB, 0xF2, 0x19, 0x0A, 0x51, 0x7F, 0xC4, 0xFA, 0xFE, 0x52, 0x59, 0xC0, 0x14, 0x33, 
0xD7, 0x09, 0xD0, 0x99, 0x30, 0xE0, 0xE3, 0x78, 0xF7, 0xC3, 0x2B, 0x83, 0x3C, 0x2C, 0x5E, 0x1B, 
0x8D, 0xBF, 0x10, 0x47, 0xE9, 0x79, 0x82, 0xCF, 0x17, 0xA6, 0x6F, 0x8A, 0x07, 0x55, 0x54, 0xED, 
0xB1, 0x84, 0x04, 0xC2, 0xA0, 0x6A, 0xDD, 0xC9, 0xCD, 0xDB, 0xF4, 0xD1, 0x21, 0x23, 0x3A, 0x2E, 
0xA7, 0x4E, 0xE4, 0xEE, 0x1A, 0x62, 0x3D, 0x71, 0xDF, 0xEA, 0x85, 0x28, 0x9C, 0x3E, 0x39, 0xFF, 
0xD4, 0xDA, 0x6C, 0x7D, 0x16, 0x65, 0x6E, 0xE1, 0x77, 0x89, 0x05, 0x81, 0x08, 0xEC, 0x92, 0x22, 
0x8C, 0x18, 0x9D, 0x5D, 0x98, 0xEF, 0x66, 0xB3, 0x8F, 0xAF, 0x1C, 0x50, 0x8E, 0xB2, 0x11, 0xD9, 
0x5C, 0x4A, 0x12, 0x5A, 0x40, 0x03, 0xA5, 0x6B, 0x4F, 0xF3, 0x37, 0x5B, 0xA4, 0x26, 0x63, 0x5F, 
0x86, 0xBA, 0x97, 0x57, 0xFD, 0xDC, 0x9F, 0x87, 0x60, 0x32, 0xC6, 0x0F, 0x2D, 0x75, 0x36, 0x31, 
0x96, 0xCB, 0x20, 0x76, 0x7B, 0x35, 0x8B, 0x02, 0x3F, 0xF8, 0x24, 0x48, 0xBC, 0xD3, 0xE6, 0x13, 
0xE8, 0xBB, 0xC8, 0x91, 0x68, 0x41, 0xAC, 0x53, 0xBD, 0x80, 0x4B, 0xB8, 0x38, 0x01, 0xC1, 0x44, 
0x3B, 0x0E, 0xAE, 0x9A, 0xF0, 0x70, 0xA1, 0xC7, 0x49, 0xA8, 0x7A, 0x0B, 0x73, 0xBE, 0xF1, 0xCA, 
0xDE, 0x2A, 0xB7, 0xF6, 0x88, 0xF5, 0xE2, 0xB4, 0xD2, 0x67, 0xCE, 0x6D, 0x72, 0x69, 0x94, 0xC5, 
NL=104
