target sbox:
0x4E, 0x5C, 0x52, 0x5A, 0x8F, 0x60, 0xB3, 0xC5, 0xF1, 0x64, 0x21, 0x73, 0x68, 0xD3, 0xA8, 0xE3, 
0x8A, 0xD9, 0xB0, 0x87, 0xCD, 0xD2, 0xB1, 0x0F, 0xA9, 0x16, 0xAA, 0x67, 0xB6, 0x8B, 0xE8, 0xCC, 
0x4B, 0xBB, 0xC2, 0x27, 0x49, 0x37, 0x6C, 0x7B, 0x79, 0x94, 0x95, 0x97, 0x59, 0xA2, 0xFF, 0xD1, 
0x81, 0xC4, 0xA1, 0x3F, 0xE0, 0x6D, 0x75, 0x9B, 0x43, 0x58, 0x34, 0x25, 0x0B, 0x9D, 0xBA, 0xF0, 
0x4D, 0x03, 0x6A, 0xAE, 0xFE, 0x46, 0x76, 0x61, 0x9F, 0x56, 0x7E, 0x98, 0xA3, 0xB9, 0x7C, 0x91, 
0xF9, 0x53, 0xF5, 0xD4, 0xEB, 0xE1, 0x33, 0x06, 0x90, 0x31, 0x78, 0x19, 0x05, 0x89, 0xC6, 0xBC, 
0x6B, 0x84, 0x86, 0xBD, 0xED, 0xCF, 0x30, 0x65, 0xEE, 0xAF, 0x20, 0x04, 0xDB, 0x5B, 0xEA, 0x66, 
0xA5, 0x2E, 0x70, 0x72, 0x39, 0xB2, 0x62, 0xB7, 0xE5, 0x2B, 0x40, 0xAB, 0x10, 0x36, 0xD7, 0xA4, 
0xD6, 0x24, 0xFB, 0x50, 0x0A, 0x85, 0xEF, 0xCE, 0x6F, 0x5E, 0x0C, 0x18, 0x1F, 0xC3, 0x09, 0x29, 
0x44, 0xE4, 0xC0, 0x28, 0xEC, 0x5F, 0x9C, 0x41, 0xF7, 0x00, 0x15, 0x23, 0x3B, 0x0D, 0x42, 0xB4, 
0xBF, 0x3A, 0x8C, 0x4F, 0x7D, 0x7F, 0xF8, 0xD5, 0xC9, 0xA6, 0xE2, 0x2D, 0xCA, 0xE9, 0xE6, 0x13, 
0x47, 0x51, 0xCB, 0x2A, 0x48, 0x8E, 0xAC, 0x71, 0x1D, 0x0E, 0xD0, 0x38, 0x77, 0xF3, 0xAD, 0xF2, 
0x3E, 0xDA, 0xFA, 0x26, 0x2F, 0x12, 0x35, 0xB5, 0x07, 0x88, 0x4A, 0xBE, 0x3C, 0xFC, 0xA7, 0xB8, 
0x14, 0x6E, 0x01, 0x93, 0x2C, 0xDF, 0x55, 0xDD, 0xC7, 0x96, 0xDE, 0x22, 0x1C, 0x17, 0x1B, 0x08, 
0xC1, 0x45, 0x1A, 0x83, 0x80, 0x9A, 0x02, 0x63, 0xA0, 0xE7, 0xC8, 0x57, 0x74, 0x3D, 0x82, 0x8D, 
0x5D, 0x32, 0x4C, 0x92, 0x99, 0xD8, 0xDC, 0xFD, 0x1E, 0x69, 0x9E, 0xF4, 0x7A, 0x11, 0xF6, 0x54, 
NL=104
