target sbox:
0x53, 0x2E, 0x46, 0x26, 0x45, 0x57, 0x18, 0x87, 0x2B, 0x67, 0xD9, 0x29, 0x0F, 0x12, 0x5A, 0xBD, 
0x0D, 0xB4, 0xEE, 0xBA, 0x1F, 0x70, 0xED, 0x3B, 0xF1, 0x09, 0xB8, 0xF7, 0x5B, 0x2F, 0xB0, 0x6A, 
0xE3, 0x54, 0x62, 0xAD, 0x4B, 0x5F, 0xD5, 0xC0, 0x01, 0xFE, 0x81, 0xC8, 0xCE, 0x7D, 0x79, 0x21, 
0xB9, 0x77, 0x02, 0x92, 0x97, 0x3A, 0xBB, 0x04, 0xF8, 0x86, 0x71, 0x2C, 0x9C, 0x41, 0xE8, 0x10, 
0x93, 0x07, 0x06, 0xF3, 0xF5, 0x38, 0xF4, 0xAF, 0x0B, 0x76, 0xB7, 0x75, 0xA9, 0xD8, 0xCB, 0x78, 
0x9F, 0xDC, 0x33, 0x27, 0xC2, 0x3C, 0x35, 0xF6, 0x5D, 0x16, 0xDF, 0x64, 0x1A, 0xE6, 0xFB, 0x32, 
0x82, 0x59, 0xA7, 0x9E, 0x3F, 0x34, 0x9A, 0x6E, 0xAC, 0xE0, 0x7B, 0x03, 0x0A, 0xA6, 0x74, 0x1B, 
0x95, 0xFD, 0x08, 0xEB, 0xDE, 0x49, 0x3E, 0x91, 0xAB, 0x20, 0x73, 0xA8, 0x69, 0x39, 0x4A, 0x7A, 
0xCD, 0xB6, 0x36, 0x8E, 0x58, 0x22, 0x48, 0xD1, 0x40, 0x52, 0xC1, 0x31, 0x8B, 0xE9, 0xF0, 0x9D, 
0x00, 0x05, 0xA5, 0x42, 0x30, 0x55, 0x84, 0x98, 0xC5, 0x94, 0xBF, 0xC3, 0xDA, 0x83, 0xE1, 0x68, 
0x8C, 0xD6, 0x63, 0x89, 0xC7, 0xEF, 0xC9, 0xD2, 0x6B, 0x6F, 0x61, 0x66, 0x8A, 0x4F, 0x4D, 0x85, 
0xBE, 0x6C, 0x28, 0x0E, 0xB1, 0xA2, 0x90, 0x56, 0x1C, 0xC6, 0x9B, 0x80, 0x13, 0xCF, 0x4E, 0xEA, 
0x15, 0x96, 0x7E, 0x4C, 0x5E, 0xAA, 0x43, 0xFA, 0x8F, 0xE4, 0x2A, 0xB2, 0x8D, 0x25, 0xB5, 0xE7, 
0x7F, 0xF9, 0x24, 0xFF, 0xEC, 0x23, 0xD3, 0x17, 0x99, 0xD4, 0x0C, 0x7C, 0x72, 0x11, 0x19, 0x47, 
0xE2, 0xDD, 0xA0, 0x1D, 0x1E, 0xA1, 0xDB, 0x14, 0xCC, 0x5C, 0x50, 0x51, 0xB3, 0x65, 0x44, 0xD0, 
0x6D, 0xD7, 0x3D, 0x2D, 0x60, 0xA3, 0xCA, 0x37, 0xE5, 0xF2, 0xA4, 0xFC, 0x88, 0xBC, 0xC4, 0xAE, 
NL=104
