target sbox:
0x64, 0x77, 0x1F, 0xFB, 0x5B, 0x52, 0x2F, 0x6F, 0x1E, 0x44, 0x69, 0xB4, 0x97, 0x81, 0x7F, 0xE2, 
0x3A, 0xC6, 0xF6, 0x61, 0x9C, 0xE4, 0x6B, 0x75, 0x95, 0xD1, 0x2D, 0x32, 0x02, 0x33, 0xB8, 0x70, 
0x98, 0x47, 0xD6, 0x3E, 0x9A, 0x51, 0xC8, 0xD9, 0x60, 0x6D, 0xEA, 0xA1, 0x43, 0xBB, 0xC2, 0xDD, 
0x3D, 0x07, 0xAA, 0x0B, 0xC4, 0x49, 0xA6, 0xAB, 0x80, 0x4E, 0xE6, 0x04, 0x36, 0xB2, 0xDE, 0xB9, 
0x18, 0x03, 0x4D, 0x68, 0x10, 0x4A, 0xBE, 0x87, 0x5A, 0x91, 0x0A, 0x46, 0xA5, 0xE0, 0xBD, 0xD3, 
0xD8, 0x90, 0x27, 0x35, 0xEF, 0xF9, 0x5D, 0x4B, 0x88, 0xAE, 0x2B, 0xCC, 0x00, 0xCB, 0x06, 0xF8, 
0xED, 0x55, 0x19, 0xFE, 0x9D, 0xB3, 0x65, 0x25, 0x5F, 0x59, 0x3C, 0x63, 0x73, 0xBC, 0x08, 0x67, 
0xFC, 0x16, 0x0E, 0x41, 0x11, 0x42, 0x8D, 0xA7, 0xC7, 0x0D, 0xC5, 0x96, 0x13, 0x85, 0x8F, 0x83, 
0xEE, 0x8A, 0xF4, 0xAC, 0x20, 0x17, 0xB6, 0xC0, 0xE8, 0xF2, 0x71, 0x2A, 0x9F, 0x1D, 0xA3, 0xB5, 
0x3B, 0x99, 0xC9, 0x93, 0x53, 0x24, 0x4F, 0x29, 0x62, 0x79, 0x4C, 0x05, 0x89, 0xE3, 0x92, 0xC3, 
0xD2, 0xA0, 0x45, 0x23, 0xDB, 0xF1, 0x5C, 0xB7, 0x6C, 0x6E, 0xAD, 0x34, 0x8C, 0xF5, 0xCE, 0xA9, 
0x14, 0x50, 0x82, 0xDF, 0xE1, 0x37, 0x40, 0x21, 0xB0, 0x3F, 0x28, 0x9B, 0x86, 0x30, 0xDC, 0xFA, 
0x6A, 0x7E, 0xF0, 0xBF, 0x74, 0xEB, 0x7B, 0x26, 0xD7, 0x48, 0x1A, 0xF3, 0x8E, 0xA4, 0x0F, 0x54, 
0x2C, 0x2E, 0x1B, 0x0C, 0x72, 0xEC, 0x09, 0x31, 0xBA, 0xE7, 0xA2, 0xCF, 0x5E, 0x22, 0xF7, 0x7C, 
0x57, 0x56, 0xD5, 0xE5, 0xAF, 0x01, 0x84, 0x39, 0x66, 0xDA, 0xE9, 0xA8, 0x15, 0x76, 0x7A, 0xFF, 
0xCA, 0x1C, 0x58, 0x94, 0xD0, 0xFD, 0x7D, 0xB1, 0x12, 0x9E, 0xCD, 0x78, 0xD4, 0x38, 0x8B, 0xC1, 
NL=104
