target sbox:
0x2D, 0x55, 0x88, 0x0B, 0xF7, 0x46, 0xF4, 0x59, 0xBB, 0x2C, 0xAE, 0x30, 0x9E, 0x3D, 0x5B, 0x0C, 
0xCC, 0x6A, 0x51, 0x05, 0x02, 0x45, 0xF1, 0x6E, 0xDB, 0x39, 0x2B, 0x6D, 0x7C, 0xAD, 0x33, 0x2E, 
0xE1, 0x50, 0xCD, 0x36, 0xC8, 0x28, 0x06, 0xEE, 0xD8, 0x83, 0x73, 0xB5, 0x7E, 0xC1, 0x26, 0x12, 
0xB0, 0xDA, 0xC7, 0x4E, 0xD0, 0x35, 0x22, 0xF0, 0xB2, 0x8E, 0x32, 0x19, 0x0F, 0xBA, 0xDC, 0x6C, 
0xA4, 0xCA, 0x54, 0x48, 0x98, 0x97, 0x3B, 0x18, 0xAA, 0x14, 0x4F, 0x27, 0xC9, 0x7D, 0x6F, 0xE4, 
0x9D, 0xEF, 0x96, 0xE8, 0x78, 0x7A, 0x3C, 0x86, 0x7B, 0x92, 0x81, 0x34, 0x8C, 0x82, 0x61, 0xD1, 
0xFC, 0xC6, 0x53, 0x84, 0xCE, 0x2F, 0xA9, 0x90, 0x24, 0xA5, 0x1D, 0x21, 0xF3, 0x5C, 0xC5, 0xD4, 
0x41, 0xFD, 0xA3, 0x44, 0x4A, 0xA6, 0x69, 0xA0, 0xF9, 0x47, 0x08, 0x91, 0x3F, 0x1B, 0x5E, 0xE9, 
0xCF, 0xF2, 0x5F, 0x15, 0x66, 0xB8, 0x9A, 0xC4, 0x8D, 0x2A, 0x20, 0x10, 0x71, 0xBD, 0x23, 0xD9, 
0x1A, 0x58, 0xDD, 0x68, 0x76, 0xD5, 0x01, 0x11, 0x25, 0x95, 0x09, 0xB1, 0x79, 0x65, 0xB4, 0x8B, 
0x9F, 0x16, 0xED, 0x37, 0x72, 0xEC, 0x4D, 0x57, 0xBC, 0x9C, 0x1C, 0x5D, 0xD6, 0x8A, 0xA8, 0xFF, 
0x85, 0xF5, 0x13, 0x75, 0xDF, 0xE5, 0xA7, 0xDE, 0xEB, 0xB9, 0x42, 0x0E, 0x87, 0x74, 0x77, 0xD7, 
0x38, 0x3A, 0x43, 0xCB, 0x0A, 0xB6, 0x29, 0x5A, 0x3E, 0x70, 0xBE, 0xFE, 0x67, 0x07, 0x4B, 0xB3, 
0xE6, 0x80, 0xD2, 0xB7, 0xFA, 0x0D, 0x4C, 0xA2, 0xE7, 0xAB, 0xF8, 0x04, 0x93, 0xC2, 0xD3, 0xA1, 
0x9B, 0x17, 0x60, 0xEA, 0x03, 0x8F, 0x94, 0xAC, 0xC0, 0xC3, 0x64, 0xBF, 0x31, 0x40, 0x7F, 0x99, 
0x6B, 0x49, 0x1F, 0xFB, 0x56, 0xAF, 0xE3, 0xF6, 0xE0, 0x89, 0x52, 0x63, 0xE2, 0x00, 0x1E, 0x62, 
NL=104
