target sbox:
0x84, 0x70, 0xA6, 0x38, 0xDE, 0x16, 0x5D, 0x06, 0xC8, 0x8F, 0xC3, 0x20, 0x40, 0xF2, 0x85, 0xFD, 
0xC7, 0x79, 0xF7, 0xDF, 0x8E, 0x02, 0x4B, 0x9D, 0xAA, 0x3C, 0x87, 0x1F, 0x34, 0xAB, 0x6C, 0x78, 
0x3B, 0xB3, 0x4F, 0xB6, 0xD2, 0xD9, 0xA8, 0xEA, 0xDA, 0xF1, 0x19, 0x4E, 0xEC, 0x21, 0xFA, 0x1E, 
0x9A, 0xDB, 0x42, 0xCF, 0xD4, 0x6B, 0x31, 0xE4, 0xC1, 0xF4, 0x57, 0x2D, 0x66, 0x7B, 0x3E, 0xB8, 
0x73, 0x76, 0x3D, 0x58, 0xE7, 0xBE, 0x61, 0xE3, 0xE9, 0xA1, 0x39, 0xFE, 0x11, 0xA9, 0xCD, 0x24, 
0x92, 0x86, 0x37, 0x0F, 0x7C, 0xBD, 0xE6, 0x63, 0x47, 0xF9, 0x00, 0x5C, 0x4A, 0xCE, 0x0C, 0xF3, 
0x89, 0x8C, 0xC5, 0x1A, 0x30, 0x6E, 0x1D, 0x01, 0xA7, 0xE0, 0x29, 0x2B, 0x69, 0xA5, 0x9B, 0xB7, 
0x22, 0x52, 0xDC, 0x8D, 0x46, 0xB9, 0x2E, 0x9C, 0x5E, 0x35, 0xAF, 0x83, 0x74, 0xEF, 0x94, 0x80, 
0xA3, 0x90, 0x68, 0x54, 0x41, 0xA4, 0xED, 0x75, 0x23, 0x97, 0x8B, 0x2A, 0x33, 0x45, 0xBF, 0x12, 
0x7D, 0xDD, 0xC4, 0x14, 0x56, 0x5B, 0x03, 0x7F, 0xC9, 0xB0, 0x64, 0x67, 0x44, 0x0A, 0xAE, 0x60, 
0xAC, 0x93, 0x6A, 0xE8, 0x4C, 0xF5, 0x95, 0x09, 0xA2, 0xCB, 0x2F, 0x4D, 0xB2, 0x88, 0xB5, 0xEB, 
0xB4, 0x6F, 0xD6, 0x27, 0x17, 0xAD, 0x10, 0x82, 0xD5, 0x7A, 0x91, 0xE1, 0x99, 0x2C, 0x48, 0x15, 
0x1C, 0xD7, 0x55, 0xEE, 0xCC, 0x07, 0x08, 0xBB, 0xD1, 0x96, 0x9F, 0x59, 0x18, 0x98, 0x65, 0x3F, 
0xFB, 0xCA, 0x49, 0xD3, 0x3A, 0xBA, 0x5A, 0xE5, 0x5F, 0xC6, 0x0B, 0xF0, 0x51, 0x9E, 0xFC, 0x25, 
0xC2, 0xD8, 0xFF, 0x71, 0x26, 0x13, 0xF6, 0x32, 0x1B, 0x77, 0x04, 0xB1, 0x05, 0xC0, 0x50, 0x62, 
0x53, 0xA0, 0xE2, 0x0E, 0x43, 0x28, 0xD0, 0x6D, 0x81, 0xBC, 0x0D, 0x7E, 0x72, 0xF8, 0x36, 0x8A, 
NL=104
