target sbox:
0x08, 0xFD, 0xBD, 0x22, 0x39, 0x2A, 0x4D, 0x67, 0x7C, 0x5C, 0x57, 0x6B, 0xB0, 0x64, 0xF4, 0x79, 
0x66, 0xB5, 0x40, 0x90, 0xE2, 0x2E, 0x16, 0xC0, 0x41, 0x36, 0x99, 0xD9, 0x38, 0x10, 0xC4, 0x9C, 
0xA7, 0x8B, 0xFF, 0x13, 0x25, 0xB4, 0x68, 0xDE, 0x59, 0x05, 0xCF, 0xA0, 0xDD, 0x62, 0xC5, 0x0E, 
0x74, 0x70, 0x1F, 0x7B, 0x04, 0xD6, 0x02, 0x0A, 0x1C, 0xB8, 0x80, 0x17, 0x63, 0x85, 0xF3, 0x45, 
0x54, 0xCC, 0xC8, 0x07, 0xD2, 0xAF, 0xED, 0x8D, 0xEF, 0x0D, 0x50, 0xC2, 0x46, 0x1B, 0xE7, 0x37, 
0x26, 0x8A, 0x69, 0x43, 0xCE, 0x9F, 0x96, 0x1E, 0xE8, 0xB6, 0x2F, 0xA2, 0xB7, 0xBE, 0x7E, 0x18, 
0x6C, 0xFB, 0x3C, 0x55, 0x11, 0x84, 0x51, 0x34, 0x95, 0xE1, 0xE9, 0x5A, 0x5F, 0xDB, 0xD7, 0x61, 
0xA5, 0x47, 0xBA, 0x53, 0xCB, 0xEA, 0x6F, 0xA1, 0xFE, 0xEC, 0xD5, 0x27, 0x1A, 0x76, 0xA4, 0xF6, 
0xE5, 0xFA, 0x4B, 0xBC, 0x75, 0x4C, 0x3B, 0x31, 0xB1, 0x7D, 0x49, 0x23, 0xA8, 0x3F, 0x42, 0xA9, 
0xEB, 0x98, 0x8E, 0x97, 0x93, 0x32, 0x1D, 0x4A, 0x9D, 0xAD, 0x58, 0xF2, 0x82, 0xF0, 0x12, 0x8C, 
0xC3, 0xBF, 0x83, 0xBB, 0x87, 0x14, 0xB2, 0x60, 0x9B, 0x21, 0x30, 0x9A, 0x9E, 0xAA, 0xDA, 0x71, 
0x3A, 0x72, 0xC6, 0x89, 0xE0, 0xB3, 0x86, 0xAB, 0xD8, 0x01, 0x28, 0x19, 0x5B, 0xA6, 0xF8, 0x77, 
0x06, 0x4E, 0xDC, 0x52, 0xDF, 0xEE, 0x2B, 0x0C, 0x73, 0x92, 0xF9, 0xFC, 0xD4, 0x8F, 0x00, 0xD3, 
0x4F, 0x91, 0x0F, 0xC1, 0xCA, 0xCD, 0x81, 0x94, 0xD1, 0x48, 0x3D, 0x6D, 0xE6, 0x20, 0xB9, 0xA3, 
0xE3, 0x88, 0x65, 0xF1, 0x24, 0x09, 0xC7, 0xAE, 0xAC, 0x2C, 0x35, 0x5D, 0x3E, 0x56, 0x15, 0xD0, 
0x0B, 0x03, 0x6A, 0xC9, 0x7F, 0xE4, 0x6E, 0x29, 0x2D, 0xF7, 0x78, 0x5E, 0x7A, 0x33, 0x44, 0xF5, 
NL=104
