target sbox:
0x09, 0x99, 0x61, 0x8D, 0xE4, 0x10, 0xA5, 0x16, 0x84, 0x06, 0x92, 0x05, 0x25, 0xF4, 0x7C, 0x5A, 
0x6A, 0xD5, 0x24, 0x89, 0xF9, 0x90, 0xFB, 0x32, 0xA9, 0x72, 0x40, 0x0B, 0x23, 0xED, 0x83, 0x2D, 
0xD6, 0x12, 0x11, 0xDB, 0x54, 0xD0, 0x1B, 0x3A, 0x3C, 0xA7, 0x47, 0x86, 0x3F, 0xCC, 0x6D, 0x37, 
0xA8, 0xBC, 0xD4, 0xCA, 0xC2, 0x21, 0x01, 0x9B, 0xDA, 0xB8, 0x38, 0xE2, 0x7E, 0xCE, 0xD7, 0xC0, 
0x1D, 0x7A, 0x00, 0xF3, 0x7D, 0xB2, 0xDD, 0xE1, 0xEC, 0x81, 0x0C, 0xDC, 0x9F, 0x0F, 0xBA, 0x3E, 
0x65, 0x4E, 0xE9, 0xD8, 0x04, 0x6C, 0xC4, 0x73, 0x5D, 0x42, 0x95, 0x78, 0x4C, 0xE5, 0x34, 0xE3, 
0x3B, 0x17, 0x97, 0x0E, 0x74, 0x2E, 0x56, 0x0D, 0x2A, 0xBB, 0xFA, 0x58, 0x66, 0xAB, 0x46, 0x52, 
0xD3, 0x2C, 0x14, 0xC7, 0xF1, 0x08, 0x27, 0xB4, 0x8A, 0xCD, 0x2F, 0xF7, 0x20, 0x5C, 0xEF, 0xA2, 
0x7B, 0xD2, 0xA3, 0xF6, 0x63, 0x07, 0x9C, 0x8C, 0xA6, 0x82, 0xD1, 0xB1, 0x88, 0xCF, 0x7F, 0x1C, 
0x03, 0x62, 0x30, 0xE0, 0xD9, 0x69, 0x59, 0x3D, 0xC9, 0xF2, 0x5E, 0xAF, 0x67, 0x85, 0x4A, 0x44, 
0xB0, 0x68, 0xC6, 0x5F, 0xA4, 0x31, 0xE8, 0xC3, 0x50, 0x76, 0x9D, 0x1A, 0x39, 0xDF, 0xE7, 0xBE, 
0x53, 0x6E, 0x8B, 0x75, 0x33, 0xC5, 0x28, 0xF0, 0xFF, 0x93, 0x51, 0x87, 0xBF, 0x96, 0x15, 0xA0, 
0x8F, 0x77, 0x49, 0xC1, 0x48, 0x94, 0x35, 0x41, 0x79, 0xB6, 0x80, 0xA1, 0x36, 0x2B, 0x57, 0x70, 
0xFC, 0xAD, 0x13, 0x18, 0xEA, 0x22, 0x9E, 0xE6, 0x4F, 0x6F, 0xAA, 0x8E, 0x1E, 0xB7, 0x91, 0x26, 
0xB9, 0xB5, 0x45, 0x5B, 0x55, 0xB3, 0x19, 0x98, 0xDE, 0xF8, 0x6B, 0xF5, 0x43, 0x29, 0xFD, 0x02, 
0x4B, 0x4D, 0xC8, 0x9A, 0x60, 0x1F, 0xFE, 0x0A, 0xAC, 0xCB, 0x71, 0xAE, 0xEB, 0x64, 0xEE, 0xBD, 
NL=104
